SubjectArea,Subject,Band,ASComponentCode,ASComponentText,Strand,Keywords,LinkedContentCodes,ConfidenceScore
English,English as an Additional Language,Level AL,VC2EALALASC27,They attempt to use different writing implements and learn how to hold and use them correctly.,Writing,"attempt,correctly,different,hold,implements,learn,writing","VC2EALALW10,VC2EALALW12,VC2EALALW02,VC2EALALW03,VC2EALALW05",High
English,English as an Additional Language,Level AL,VC2EALALASC28,They demonstrate some understanding of the left-to-right directionality of English script and the importance of spacing and writing on lines.,Writing,"demonstrate,directionality,english,importance,left-to-right,lines,script,some,spacing,understanding,writing","VC2EALALW10,VC2EALALW05,VC2EALALW06,VC2EALALW07,VC2EALALW11",High
English,English as an Additional Language,Level AL,VC2EALALASC29,They demonstrate knowledge of some phoneme–grapheme correspondences.,Writing,"correspondences,demonstrate,knowledge,phoneme–grapheme,some","VC2EALALW08,VC2EALALW05,VC2EALALW06,VC2EALALW07,VC2EALALW10",High
English,English as an Additional Language,Level AL,VC2EALALASC30,"They talk about their pictures and copied writing using simple words and sentences that draw on their developing oral English language skills, and/or their home language(s), especially when sharing with home language peers or a multilingual teacher.",Writing,"about,and/or,copied,developing,draw,english,especially,home,language,language(s),multilingual,oral,peers,pictures,sentences,sharing,simple,skills,talk,teacher,when,words,writing","VC2EALALW12,VC2EALALL13,VC2EALALW11,VC2EALALR11,VC2EALALW10",High
English,English as an Additional Language,Level A1,VC2EALA1ASC01,"By the end of Level A1, students demonstrate the following skills in English as an Additional Language.",,"additional,demonstrate,english,following,language,level,skills",,High
English,English as an Additional Language,Level A1,VC2EALA1ASC02,Students communicate in simple English phrases and sentences in routine and familiar social and classroom situations.,Listening and Speaking,"classroom,communicate,english,familiar,phrases,routine,sentences,simple,situations,social","VC2EALA1L03,VC2EALA1L01,VC2EALA1L09,VC2EALA1L02,VC2EALA1L04",High
English,English as an Additional Language,Level A1,VC2EALA1ASC03,"They follow and give simple instructions, exchange personal information, and participate in familiar and predictable activities and contexts.",Listening and Speaking,"activities,contexts,exchange,familiar,follow,give,information,instructions,participate,personal,predictable,simple","VC2EALA1L02,VC2EALA1L03,VC2EALA1L01,VC2EALA1L04,VC2EALA1L06",High
English,English as an Additional Language,Level A1,VC2EALA1ASC04,They modify their responses and manner of interaction to match the responses of others and the context.,Listening and Speaking,"context,interaction,manner,match,modify,others,responses","VC2EALA1L15,VC2EALA1L02,VC2EALA1L03,VC2EALA1L04,VC2EALA1L07",High
English,English as an Additional Language,Level A1,VC2EALA1ASC05,"They use learnt formulaic responses and patterns, and create original utterances by substituting words.",Listening and Speaking,"create,formulaic,learnt,original,patterns,responses,substituting,utterances,words","VC2EALA1L03,VC2EALA1L04,VC2EALA1L09,VC2EALA1L10,VC2EALA1L13",High
English,English as an Additional Language,Level A1,VC2EALA1ASC06,"Their utterances have a short, simplified structure with simple subject–verb–object construction and overgeneralisation of rules.",Listening and Speaking,"construction,overgeneralisation,rules,short,simple,simplified,structure,subject–verb–object,utterances","VC2EALA1L02,VC2EALA1L03,VC2EALA1L04,VC2EALA1L07,VC2EALA1L15",High
English,English as an Additional Language,Level A1,VC2EALA1ASC07,They use basic communication and learning strategies to participate in and sustain interactions in English.,Listening and Speaking,"basic,communication,english,interactions,learning,participate,strategies,sustain","VC2EALA1L03,VC2EALA1L13,VC2EALA1L14,VC2EALA1L06,VC2EALA1L09",High
English,English as an Additional Language,Level A1,VC2EALA1ASC08,"They recognise that intonation carries meaning, and they identify key words and repeated words and phrases.",Listening and Speaking,"carries,identify,intonation,meaning,phrases,recognise,repeated,words","VC2EALA1L01,VC2EALA1L09,VC2EALA1L11,VC2EALA1L05,VC2EALA1L03",High
English,English as an Additional Language,Level A1,VC2EALA1ASC09,"They use comprehensible pronunciation, stress and intonation.",Listening and Speaking,"comprehensible,intonation,pronunciation,stress","VC2EALA1L10,VC2EALA1L11,VC2EALA1L13,VC2EALA1L15,VC2EALA1L01",High
English,English as an Additional Language,Level A1,VC2EALA1ASC10,They use classroom resources such as picture cards and other visual texts to aid communication.,Listening and Speaking,"cards,classroom,communication,other,picture,resources,texts,visual","VC2EALA1L03,VC2EALA1L15,VC2EALA1L01,VC2EALA1L14,VC2EALA1L02",High
English,English as an Additional Language,Level A1,VC2EALA1ASC11,"Students read and engage with a wide range of short, simple, repetitive texts, including shared recounts and fictional and everyday texts, in print or visual form.",Reading and Viewing,"engage,everyday,fictional,form,print,range,read,recounts,repetitive,shared,short,simple,texts,visual,wide","VC2EALA1R05,VC2EALA1R12,VC2EALA1R02,VC2EALA1R06,VC2EALA1L15",High
English,English as an Additional Language,Level A1,VC2EALA1ASC12,"Students read, in context, some familiar words, phrases, numbers and signs.",Reading and Viewing,"context,familiar,numbers,phrases,read,signs,some,words","VC2EALA1R03,VC2EALA1R01,VC2EALA1R06,VC2EALA1R07,VC2EALA1R10",High
English,English as an Additional Language,Level A1,VC2EALA1ASC13,"They complete simple, structured activities such as sequencing sentences and pictures.",Reading and Viewing,"activities,complete,pictures,sentences,sequencing,simple,structured","VC2EALA1R01,VC2EALA1R12,VC2EALA1R04,VC2EALA1R02,VC2EALA1R05",High
English,English as an Additional Language,Level A1,VC2EALA1ASC14,They understand that texts are written and structured for a variety of purposes.,Reading and Viewing,"purposes,structured,texts,understand,variety,written","VC2EALA1R01,VC2EALA1R09,VC2EALA1L15,VC2EALA1R02,VC2EALA1R04",High
English,English as an Additional Language,Level A1,VC2EALA1ASC15,They recognise some common letters and letter patterns.,Reading and Viewing,"common,letter,letters,patterns,recognise,some","VC2EALA1R07,VC2EALA1L06,VC2EALA1R03,VC2EALA1R05,VC2EALA1R08",High
English,English as an Additional Language,Level A1,VC2EALA1ASC16,They name some letters of the alphabet and know the sounds commonly related to some letters and letter groups.,Reading and Viewing,"alphabet,commonly,groups,know,letter,letters,name,related,some,sounds","VC2EALA1R07,VC2EALA1R05,VC2EALA1R08,VC2EALA1R10,VC2EALA1W10",High
English,English as an Additional Language,Level A1,VC2EALA1ASC17,"They recognise features of texts, including text directionality and page order, and understand the function of titles and images.",Reading and Viewing,"directionality,features,function,images,order,page,recognise,text,texts,titles,understand","VC2EALA1R05,VC2EALA1R12,VC2EALA1R01,VC2EALA1R04,VC2EALA1R06",High
English,English as an Additional Language,Level A1,VC2EALA1ASC18,They hold and manipulate books appropriately.,Reading and Viewing,"appropriately,books,hold,manipulate","VC2EALA1R09,VC2EALA1R10,VC2EALA1R01,VC2EALA1R02,VC2EALA1R03",High
English,English as an Additional Language,Level A1,VC2EALA1ASC19,"When listening to texts being read aloud, they listen for key words and for repetition of words and phrases.",Reading and Viewing,"aloud,listen,listening,phrases,read,repetition,texts,when,words","VC2EALA1R12,VC2EALA1R06,VC2EALA1R08,VC2EALA1R01,VC2EALA1R02",High
English,English as an Additional Language,Level A1,VC2EALA1ASC20,They focus on images and other visual features that assist them to understand texts.,Reading and Viewing,"assist,features,focus,images,other,texts,understand,visual","VC2EALA1R05,VC2EALA1R01,VC2EALA1R04,VC2EALA1R10,VC2EALA1R12",High
English,English as an Additional Language,Level A1,VC2EALA1ASC21,"Students communicate their ideas and experiences through drawings, copied writing, dictated texts and their own writing, showing evidence of a developing understanding of the writing process.",Writing,"communicate,copied,developing,dictated,drawings,evidence,experiences,ideas,process,showing,texts,understanding,writing","VC2EALA1W01,VC2EALA1W10,VC2EALA1R12,VC2EALA1W02,VC2EALA1W04",High
English,English as an Additional Language,Level A1,VC2EALA1ASC22,They contribute to shared writing activities.,Writing,"activities,contribute,shared,writing","VC2EALA1W13,VC2EALA1W01,VC2EALA1R12,VC2EALA1W02,VC2EALA1W03",High
English,English as an Additional Language,Level A1,VC2EALA1ASC23,"They demonstrate awareness that written texts in English are presented through particular conventions, which change according to context and purpose.",Writing,"according,awareness,change,context,conventions,demonstrate,english,particular,presented,purpose,texts,written","VC2EALA1W10,VC2EALA1W01,VC2EALA1W11,VC2EALA1R09,VC2EALA1W04",High
English,English as an Additional Language,Level A1,VC2EALA1ASC24,"They write and draw for basic purposes and, with support, produce simple descriptions, recounts and procedural texts.",Writing,"basic,descriptions,draw,procedural,produce,purposes,recounts,simple,support,texts,write","VC2EALA1W10,VC2EALA1W01,VC2EALA1W03,VC2EALA1W02,VC2EALA1W04",High
English,English as an Additional Language,Level A1,VC2EALA1ASC25,"Students’ writing reflects their spoken structures, and they link ideas using basic conjunctions.",Writing,"basic,conjunctions,ideas,link,reflects,spoken,structures,students’,writing","VC2EALA1W04,VC2EALA1W13,VC2EALA1W02,VC2EALA1W01,VC2EALA1W03",High
English,English as an Additional Language,Level A1,VC2EALA1ASC26,They use basic punctuation in their writing.,Writing,"basic,punctuation,writing","VC2EALA1W09,VC2EALA1W01,VC2EALA1W02,VC2EALA1W03,VC2EALA1W04",High
English,English as an Additional Language,Level A1,VC2EALA1ASC27,They demonstrate knowledge of some phoneme–grapheme correspondences when writing and spelling words.,Writing,"correspondences,demonstrate,knowledge,phoneme–grapheme,some,spelling,when,words,writing","VC2EALA1W11,VC2EALA1W04,VC2EALA1W08,VC2EALA1W10,VC2EALA1W12",High
English,English as an Additional Language,Level A1,VC2EALA1ASC28,They show evidence of some basic planning for writing.,Writing,"basic,evidence,planning,show,some,writing","VC2EALA1W03,VC2EALA1W05,VC2EALA1W08,VC2EALA1W10,VC2EALA1W01",High
English,English as an Additional Language,Level A1,VC2EALA1ASC29,"They model their writing on shared writing activities and published texts, often copying words or phrases from books or vocabulary lists.",Writing,"activities,books,copying,lists,model,often,phrases,published,shared,texts,vocabulary,words,writing","VC2EALA1W01,VC2EALA1W13,VC2EALA1W11,VC2EALA1L03,VC2EALA1R01",High
English,English as an Additional Language,Level A1,VC2EALA1ASC30,They form letters and place text appropriately on a page.,Writing,"appropriately,form,letters,page,place,text","VC2EALA1W10,VC2EALA1W03,VC2EALA1W01,VC2EALA1W02,VC2EALA1W11",High
English,English as an Additional Language,Level A1,VC2EALA1ASC31,They use basic digital resources to write and present their texts.,Writing,"basic,digital,present,resources,texts,write","VC2EALA1W01,VC2EALA1W10,VC2EALA1R01,VC2EALA1R05,VC2EALA1W03",High
English,English as an Additional Language,Level A2,VC2EALA2ASC01,"By the end of Level A2, students demonstrate the following skills in English as an Additional Language.",,"additional,demonstrate,english,following,language,level,skills",,High
English,English as an Additional Language,Level A2,VC2EALA2ASC02,Students communicate in a range of predictable and familiar social and learning situations.,Listening and Speaking,"communicate,familiar,learning,predictable,range,situations,social","VC2EALA2L03,VC2EALA2L04,VC2EALA2L07,VC2EALA2L12,VC2EALA2L02",High
English,English as an Additional Language,Level A2,VC2EALA2ASC03,"They express ideas and identify key points of information in classroom discussions about familiar topics, and about new topics when they are well supported by visual material, an appropriate pace of delivery, and discussion that links their prior knowledge to the new context.",Listening and Speaking,"about,appropriate,classroom,context,delivery,discussion,discussions,express,familiar,ideas,identify,information,knowledge,links,material,pace,points,prior,supported,topics,visual,well,when","VC2EALA2L03,VC2EALA2L01,VC2EALA2L02,VC2EALA2L09,VC2EALA2L12",High
English,English as an Additional Language,Level A2,VC2EALA2ASC04,They follow a short sequence of instructions related to classroom procedures and learning activities.,Listening and Speaking,"activities,classroom,follow,instructions,learning,procedures,related,sequence,short","VC2EALA2L04,VC2EALA2L01,VC2EALA2L03,VC2EALA2L02,VC2EALA2L06",High
English,English as an Additional Language,Level A2,VC2EALA2ASC05,"They negotiate familiar social and learning situations, using English appropriate to the situation.",Listening and Speaking,"appropriate,english,familiar,learning,negotiate,situation,situations,social","VC2EALA2L03,VC2EALA2L12,VC2EALA2L01,VC2EALA2L02,VC2EALA2L04",High
English,English as an Additional Language,Level A2,VC2EALA2ASC06,They adjust their speech choices in response to audiences and topics.,Listening and Speaking,"adjust,audiences,choices,response,speech,topics","VC2EALA2L03,VC2EALA2L15,VC2EALA2L01,VC2EALA2L06,VC2EALA2L09",High
English,English as an Additional Language,Level A2,VC2EALA2ASC07,"They combine known conversational formulas and vocabulary, including some from texts read in class, and apply grammatical rules to make original utterances of varying grammatical accuracy.",Listening and Speaking,"accuracy,apply,class,combine,conversational,formulas,grammatical,known,make,original,read,rules,some,texts,utterances,varying,vocabulary","VC2EALA2L04,VC2EALA2L02,VC2EALA2L11,VC2EALA2R10,VC2EALA2W13",High
English,English as an Additional Language,Level A2,VC2EALA2ASC08,"They sustain communication by negotiating turn-taking and by using strategies such as asking a speaker to repeat or to speak slowly, or by asking what a word means.",Listening and Speaking,"asking,communication,means,negotiating,repeat,slowly,speak,speaker,strategies,sustain,turn-taking,what,word","VC2EALA2L13,VC2EALA2L14,VC2EALA2L03,VC2EALA2L15,VC2EALA2L02",High
English,English as an Additional Language,Level A2,VC2EALA2ASC09,"Students read and respond to a wide range of familiar print or digital texts, including visual, multimodal and interactive texts.",Reading and Viewing,"digital,familiar,interactive,multimodal,print,range,read,respond,texts,visual,wide","VC2EALA2R11,VC2EALA2R01,VC2EALA2R03,VC2EALA2R04,VC2EALA2R06",High
English,English as an Additional Language,Level A2,VC2EALA2ASC10,"They predict, ask questions, retell and talk about texts read and viewed in class.",Reading and Viewing,"about,class,predict,questions,read,retell,talk,texts,viewed","VC2EALA2R02,VC2EALA2R10,VC2EALA2R12,VC2EALA2R03,VC2EALA2R04",High
English,English as an Additional Language,Level A2,VC2EALA2ASC11,"With support, students read a range of topic-related classroom texts.",Reading and Viewing,"classroom,range,read,support,texts,topic-related","VC2EALA2R01,VC2EALA2R10,VC2EALA2R06,VC2EALA2R11,VC2EALA2W11",High
English,English as an Additional Language,Level A2,VC2EALA2ASC12,They can read familiar texts with some fluency.,Reading and Viewing,"familiar,fluency,read,some,texts","VC2EALA2R10,VC2EALA2R01,VC2EALA2R03,VC2EALA2R04,VC2EALA2R06",High
English,English as an Additional Language,Level A2,VC2EALA2ASC13,They read back their own writing or their own sentences recorded by another student.,Reading and Viewing,"another,back,read,recorded,sentences,student,writing","VC2EALA2R02,VC2EALA2R11,VC2EALA2R01,VC2EALA2R03,VC2EALA2R04",High
English,English as an Additional Language,Level A2,VC2EALA2ASC14,"They use texts purposefully, following simple procedural texts and finding basic information in texts.",Reading and Viewing,"basic,finding,following,information,procedural,purposefully,simple,texts","VC2EALA2R05,VC2EALA2R02,VC2EALA2R03,VC2EALA2R01,VC2EALA2W10",High
English,English as an Additional Language,Level A2,VC2EALA2ASC15,They discuss the events and characters’ feelings and actions in texts.,Reading and Viewing,"actions,characters’,discuss,events,feelings,texts","VC2EALA2R04,VC2EALA2R12,VC2EALA2L03,VC2EALA2R01,VC2EALA2R02",High
English,English as an Additional Language,Level A2,VC2EALA2ASC16,"They identify the purposes of familiar text types, including classroom text, simple story and factual text.",Reading and Viewing,"classroom,factual,familiar,identify,purposes,simple,story,text,types","VC2EALA2R03,VC2EALA2R12,VC2EALA2R01,VC2EALA2R02,VC2EALA2R05",High
English,English as an Additional Language,Level A2,VC2EALA2ASC17,"They use their developing knowledge of context, phoneme–grapheme correspondences, word patterns and text structure to read simple texts, both familiar and unfamiliar.",Reading and Viewing,"context,correspondences,developing,familiar,knowledge,patterns,phoneme–grapheme,read,simple,structure,text,texts,unfamiliar,word","VC2EALA2R01,VC2EALA2R04,VC2EALA2R06,VC2EALA2R10,VC2EALA2R11",High
English,English as an Additional Language,Level A2,VC2EALA2ASC18,They interpret simple images and identify the layout of a range of text types.,Reading and Viewing,"identify,images,interpret,layout,range,simple,text,types","VC2EALA2R05,VC2EALA2R01,VC2EALA2R03,VC2EALA2R10,VC2EALA2R02",High
English,English as an Additional Language,Level A2,VC2EALA2ASC19,"Students communicate ideas, events and experiences through simple texts based on familiar spoken and written language.",Writing,"based,communicate,events,experiences,familiar,ideas,language,simple,spoken,texts,written","VC2EALA2W10,VC2EALA2W13,VC2EALA2W01,VC2EALA2W02,VC2EALA2L12",High
English,English as an Additional Language,Level A2,VC2EALA2ASC20,"They write for a variety of personal and classroom purposes, using known and modelled structures and features.",Writing,"classroom,features,known,modelled,personal,purposes,structures,variety,write","VC2EALA2W10,VC2EALA2W01,VC2EALA2W13,VC2EALA2W03,VC2EALA2W04",High
English,English as an Additional Language,Level A2,VC2EALA2ASC21,"They write everyday texts and simple stories, recounts and factual texts based on their own and shared class experiences.",Writing,"based,class,everyday,experiences,factual,recounts,shared,simple,stories,texts,write","VC2EALA2W13,VC2EALA2W01,VC2EALA2W04,VC2EALA2W10,VC2EALA2W11",High
English,English as an Additional Language,Level A2,VC2EALA2ASC22,They use their developing oral and reading skills when writing their own texts.,Writing,"developing,oral,reading,skills,texts,when,writing","VC2EALA2W01,VC2EALA2W11,VC2EALA2W13,VC2EALA2R11,VC2EALA2W02",High
English,English as an Additional Language,Level A2,VC2EALA2ASC23,"They write texts using simple but coherently linked sentences, basic structures and well-known vocabulary.",Writing,"basic,coherently,linked,sentences,simple,structures,texts,vocabulary,well-known,write","VC2EALA2W03,VC2EALA2W04,VC2EALA2W06,VC2EALA2W10,VC2EALA2W01",High
English,English as an Additional Language,Level A2,VC2EALA2ASC24,"They use some common irregular past tense verbs correctly, and link clauses using basic conjunctions and connectives.",Writing,"basic,clauses,common,conjunctions,connectives,correctly,irregular,link,past,some,tense,verbs","VC2EALA2W05,VC2EALA2L07,VC2EALA2W04,VC2EALA2W08,VC2EALA2W06",High
English,English as an Additional Language,Level A2,VC2EALA2ASC25,"They make plausible attempts to spell unfamiliar words, based on known spelling patterns and base words.",Writing,"attempts,base,based,known,make,patterns,plausible,spell,spelling,unfamiliar,words","VC2EALA2W04,VC2EALA2W08,VC2EALA2W10,VC2EALA2W12,VC2EALA2R01",High
English,English as an Additional Language,Level A2,VC2EALA2ASC26,"They use vocabulary lists, modelled texts and familiar books to find out how to write unfamiliar words.",Writing,"books,familiar,find,lists,modelled,texts,unfamiliar,vocabulary,words,write","VC2EALA2W12,VC2EALA2R11,VC2EALA2W01,VC2EALA2W10,VC2EALA2W11",High
English,English as an Additional Language,Level A2,VC2EALA2ASC27,"They write letters legibly, include some punctuation and make some changes to their texts when editing.",Writing,"changes,editing,include,legibly,letters,make,punctuation,some,texts,when,write","VC2EALA2W09,VC2EALA2W11,VC2EALA2W13,VC2EALA2W04,VC2EALA2R06",High
English,English as an Additional Language,Level A2,VC2EALA2ASC28,They use digital resources to write and present their texts.,Writing,"digital,present,resources,texts,write","VC2EALA2W11,VC2EALA2W01,VC2EALA2W04,VC2EALA2W10,VC2EALA2W02",High
English,English as an Additional Language,Level BL,VC2EALBLASC01,"By the end of Level BL, students demonstrate the following skills in English as an Additional Language.",,"additional,demonstrate,english,following,language,level,skills",,High
English,English as an Additional Language,Level BL,VC2EALBLASC02,"Students communicate in familiar social and classroom contexts, using simple formulaic and some creative structures.",Listening and Speaking,"classroom,communicate,contexts,creative,familiar,formulaic,simple,social,some,structures","VC2EALBLL03,VC2EALBLL15,VC2EALBLW02,VC2EALBLL05,VC2EALBLL10",High
English,English as an Additional Language,Level BL,VC2EALBLASC03,They understand spoken English that is supported by teacher direction and cues from classroom context.,Listening and Speaking,"classroom,context,cues,direction,english,spoken,supported,teacher,understand","VC2EALBLL02,VC2EALBLL11,VC2EALBLL13,VC2EALBLL15,VC2EALBLL03",High
English,English as an Additional Language,Level BL,VC2EALBLASC04,"They contribute relatively complex ideas through simple spoken English, and use simple English to respond to the ideas of others.",Listening and Speaking,"complex,contribute,english,ideas,others,relatively,respond,simple,spoken","VC2EALBLL02,VC2EALBLL04,VC2EALBLL12,VC2EALBLL15,VC2EALBLL05",High
English,English as an Additional Language,Level BL,VC2EALBLASC05,This is achieved through continuing support and scaffolding from teachers and English-speaking peers who provide authentic interactions and space to practise English.,Listening and Speaking,"achieved,authentic,continuing,english,english-speaking,interactions,peers,practise,provide,scaffolding,space,support,teachers","VC2EALBLL15,VC2EALBLL03,VC2EALBLL14,VC2EALBLL06,VC2EALBLL11",High
