SubjectArea,Subject,Band,AssessmentType,AssessmentInformationDetails,AssessmentYears,UnitASCode,ExamReportCode,SectionCode,StrategyType,StrategyHeader,StrategySkill,StrategyExplanation,StrategyExample,BulletLevel,Sequence
English,English,Year 12,Final Exam,Post Exam Report,2024,VCEEU4AS2,VCEEEARC,VCEEEARCLR,LimitedStrategies,,Only describing the visual,"Described the visual only. For example, ‘visual one shows two lollies walking arm in arm. The lollies are happy, and one makes the peace sign with its hand’",,2,23
English,English,Year 12,Final Exam,Post Exam Report,2024,VCEEU4AS2,VCEEEARC,VCEEEARCLR,LimitedStrategies,,Only describing the visual,"Indicated an incomplete understanding of the analytical thinking process by leaving out key elements. For example, ‘the peace sign made by the heart-shaped lolly convinces the listener that their values align and thus persuades them’",,2,24
English,English,Year 12,Final Exam,Post Exam Report,2024,VCEEU4AS2,VCEEEARC,VCEEEARCLR,LimitedStrategies,,Only describing the visual,"Spent half their essay analysing the visual; while the analysis might be sound, this reduces the student’s opportunity to demonstrate other skills",,2,25
English,English,Year 12,Final Exam,Post Exam Report,2024,VCEEU4AS2,VCEEEARC,VCEEEARCLR,LimitedStrategies,,Only describing the visual,Omitted any reference to the visual.,,2,26
English,English,Year 12,Final Exam,Post Exam Report,2024,VCEEU4AS2,VCEEEARC,VCEEEARCLR,LimitedStrategies,,Ignoring the links between the text’s elements,A response may have:,,1,27
English,English,Year 12,Final Exam,Post Exam Report,2024,VCEEU4AS2,VCEEEARC,VCEEEARCLR,LimitedStrategies,,Ignoring the links between the text’s elements,Analysed elements of the text without exploring their interplay with the text’s other elements.,,2,28
English,English,Year 12,Final Exam,Post Exam Report,2024,VCEEU4AS2,VCEEEARC,VCEEEARCLR,LimitedStrategies,,Overlooking the need for clear expression,Factors that might have impeded communication include:,,1,29
English,English,Year 12,Final Exam,Post Exam Report,2024,VCEEU4AS2,VCEEEARC,VCEEEARCLR,LimitedStrategies,,Overlooking the need for clear expression,"Poor vocabulary choices, including the misapplication of vocabulary",,2,30
English,English,Year 12,Final Exam,Post Exam Report,2024,VCEEU4AS2,VCEEEARC,VCEEEARCLR,LimitedStrategies,,Overlooking the need for clear expression,Struggles with grammar,,2,31
English,English,Year 12,Final Exam,Post Exam Report,2024,VCEEU4AS2,VCEEEARC,VCEEEARCLR,LimitedStrategies,,Overlooking the need for clear expression,Incoherence.,,2,32
English,English,Year 12,Final Exam,Post Exam Report,2024,VCEEU4AS2,VCEEEARC,VCEEEARCLC,Closing,"In Section C, as in other sections of the exam, assessors looked to reward evidence of skill in analysing and explaining the text’s elements and their interplay. Students approached this task in various ways that enabled success.",,,,,33
