SubjectArea,Subject,SubjectStreamCode,SubjectStreamName,Band,Unit,UnitASCode,StreamUnitASCode,AreaofStudy,ContentCode,ContentType,StreamHeader,ContentHeader,ContentDescription,Elaboration,Sequence
Humanities,History,VCEHRV,Revolutions,Year 12,Units 3 and 4,VCEHRVU34AS1,,Area of Study 1 - Causes of revolution,VCEHRVU34AS1CR06,Elaboration,,Causes of revolution,,These ideologies were utilised by individuals and popular movements to justify revolutionary action and change.,9
Humanities,History,VCEHRV,Revolutions,Year 12,Units 3 and 4,VCEHRVU34AS1,,Area of Study 1 - Causes of revolution,VCEHRVU34AS1CR06,Elaboration,,Causes of revolution,,"In the American Revolution and French Revolution, students analyse the degree to which the influence of Enlightenment ideas were instrumental in promoting change in the American colonies and in French society.",10
Humanities,History,VCEHRV,Revolutions,Year 12,Units 3 and 4,VCEHRVU34AS1,,Area of Study 1 - Causes of revolution,VCEHRVU34AS1CR06,Elaboration,,Causes of revolution,,"In Russia, they consider to what extent Marxist ideas challenged Tsarist Autocracy.",11
Humanities,History,VCEHRV,Revolutions,Year 12,Units 3 and 4,VCEHRVU34AS1,,Area of Study 1 - Causes of revolution,VCEHRVU34AS1CR07,Descriptor,,Causes of revolution,Revolutions can be caused by the motivations and the intended and unintended actions of individuals who have shaped and influenced the course of revolution.,,12
Humanities,History,VCEHRV,Revolutions,Year 12,Units 3 and 4,VCEHRVU34AS1,,Area of Study 1 - Causes of revolution,VCEHRVU34AS1CR07,Elaboration,,Causes of revolution,,"Individuals including 
Louis XVI and Emmanuel Joseph Sieyès in France, and Tsar Nicholas II and Vladimir Lenin in Russia had a significant impact on the course of revolution.",13
Humanities,History,VCEHRV,Revolutions,Year 12,Units 3 and 4,VCEHRVU34AS1,,Area of Study 1 - Causes of revolution,VCEHRVU34AS1CR07,Elaboration,,Causes of revolution,,Popular movements such as the Sons and Daughters of Liberty in America and the Red Army in China showed that collective action could be transformed into revolutionary forces that could contribute to or hinder revolution as they sought to destroy the old order and/or established order.,14
Humanities,History,VCEHRV,Revolutions,Year 12,Units 3 and 4,VCEHRVU34AS1,,Area of Study 1 - Causes of revolution,VCEHRVU34AS1CR08,Descriptor,,Causes of revolution,"Students evaluate historical sources about the causes of revolution and explain why differing emphases are placed on the role of events, ideas, individuals and popular movements.",,15
Humanities,History,VCEHRV,Revolutions,Year 12,Units 3 and 4,VCEHRVU34AS1,,Area of Study 1 - Causes of revolution,VCEHRVU34AS1CR09,Descriptor,,Causes of revolution,The key knowledge for this area of study in Units 3 and 4 comes from the following timeframes:,,16
Humanities,History,VCEHRV,Revolutions,Year 12,Units 3 and 4,VCEHRVU34AS1,,Area of Study 1 - Causes of revolution,VCEHRVU34AS1CR10,Descriptor,,Causes of revolution,The American Revolution (1754–4 July 1776),,17
Humanities,History,VCEHRV,Revolutions,Year 12,Units 3 and 4,VCEHRVU34AS1,,Area of Study 1 - Causes of revolution,VCEHRVU34AS1CR11,Descriptor,,Causes of revolution,The French Revolution (1774–4 August 1789),,18
Humanities,History,VCEHRV,Revolutions,Year 12,Units 3 and 4,VCEHRVU34AS1,,Area of Study 1 - Causes of revolution,VCEHRVU34AS1CR12,Descriptor,,Causes of revolution,The Russian Revolution (1896– 26 October 1917),,19
Humanities,History,VCEHRV,Revolutions,Year 12,Units 3 and 4,VCEHRVU34AS1,,Area of Study 1 - Causes of revolution,VCEHRVU34AS1CR13,Descriptor,,Causes of revolution,The Chinese Revolution (1912–1 October 1949).,,20
Humanities,History,VCEHRV,Revolutions,Year 12,Units 3 and 4,VCEHRVU34AS1,,Area of Study 1 - Causes of revolution,VCEHRVU34AS1CR14,Descriptor,,Causes of revolution,"On completion of this unit the student should be able to analyse the causes of revolution, and evaluate the contribution of significant events, ideas, individuals and popular movements.",,21
Humanities,History,VCEHRV,Revolutions,Year 12,Units 3 and 4,VCEHRVU34AS1,,Area of Study 1 - Causes of revolution,VCEHRVU34AS1CR15,Descriptor,,Causes of revolution,"To achieve this outcome the student will draw on key knowledge and key skills outlined in Area 
of Study 1.",,22
Humanities,History,VCEHRV,Revolutions,Year 12,Units 3 and 4,VCEHRVU34AS2,,Area of Study 2 - Consequences of revolution,VCEHRVU34AS2CR01,Descriptor,,Consequences of revolution,What were the consequences of revolution?,,1
Humanities,History,VCEHRV,Revolutions,Year 12,Units 3 and 4,VCEHRVU34AS2,,Area of Study 2 - Consequences of revolution,VCEHRVU34AS2CR02,Descriptor,,Consequences of revolution,How did the new regime consolidate its power?,,2
Humanities,History,VCEHRV,Revolutions,Year 12,Units 3 and 4,VCEHRVU34AS2,,Area of Study 2 - Consequences of revolution,VCEHRVU34AS2CR03,Descriptor,,Consequences of revolution,What were the experiences of those who lived through the revolution?,,3
Humanities,History,VCEHRV,Revolutions,Year 12,Units 3 and 4,VCEHRVU34AS2,,Area of Study 2 - Consequences of revolution,VCEHRVU34AS2CR04,Descriptor,,Consequences of revolution,To what extent was society changed and revolutionary ideas achieved or compromised?,,4
Humanities,History,VCEHRV,Revolutions,Year 12,Units 3 and 4,VCEHRVU34AS2,,Area of Study 2 - Consequences of revolution,VCEHRVU34AS2CR05,Descriptor,,Consequences of revolution,In this area of study students focus on the consequences of the revolution and evaluate the extent to which the consequences of the revolution maintained continuity and/or brought about change to society.,,5
Humanities,History,VCEHRV,Revolutions,Year 12,Units 3 and 4,VCEHRVU34AS2,,Area of Study 2 - Consequences of revolution,VCEHRVU34AS2CR05,Elaboration,,Consequences of revolution,,The success of the revolution was not guaranteed or inevitable.,6
Humanities,History,VCEHRV,Revolutions,Year 12,Units 3 and 4,VCEHRVU34AS2,,Area of Study 2 - Consequences of revolution,VCEHRVU34AS2CR05,Elaboration,,Consequences of revolution,,Students analyse the significant challenges that confronted the new regime after the initial outbreak of revolution.,7
Humanities,History,VCEHRV,Revolutions,Year 12,Units 3 and 4,VCEHRVU34AS2,,Area of Study 2 - Consequences of revolution,VCEHRVU34AS2CR05,Elaboration,,Consequences of revolution,,"They evaluate the success and outcomes of the new regime’s responses to these challenges, and the extent to which the revolution resulted in dramatic and wide-reaching political, social, cultural and economic change, progress or decline.",8
Humanities,History,VCEHRV,Revolutions,Year 12,Units 3 and 4,VCEHRVU34AS2,,Area of Study 2 - Consequences of revolution,VCEHRVU34AS2CR06,Descriptor,,Consequences of revolution,"As new political regimes attempted to consolidate power, post-revolutionary regimes were often challenged by those who opposed change.",,9
Humanities,History,VCEHRV,Revolutions,Year 12,Units 3 and 4,VCEHRVU34AS2,,Area of Study 2 - Consequences of revolution,VCEHRVU34AS2CR06,Elaboration,,Consequences of revolution,,"They may have unleashed civil war and counter-revolutions, making the survival and consolidation of the revolution the principle concern of the revolutionary state.",10
Humanities,History,VCEHRV,Revolutions,Year 12,Units 3 and 4,VCEHRVU34AS2,,Area of Study 2 - Consequences of revolution,VCEHRVU34AS2CR06,Elaboration,,Consequences of revolution,,Challenges such as the creation of a new political system in America and the Civil War in Russia had profound consequences for the revolutionaries trying to establish a new order.,11
Humanities,History,VCEHRV,Revolutions,Year 12,Units 3 and 4,VCEHRVU34AS2,,Area of Study 2 - Consequences of revolution,VCEHRVU34AS2CR06,Elaboration,,Consequences of revolution,,Revolutionary ideologies were sometimes modified and compromised as the leaders became more authoritarian and responded to opposition with violence.,12
Humanities,History,VCEHRV,Revolutions,Year 12,Units 3 and 4,VCEHRVU34AS2,,Area of Study 2 - Consequences of revolution,VCEHRVU34AS2CR06,Elaboration,,Consequences of revolution,,"In some cases there were policies of terror and repression, and the initiation of policies of social control as a strategy to maintain power.",13
Humanities,History,VCEHRV,Revolutions,Year 12,Units 3 and 4,VCEHRVU34AS2,,Area of Study 2 - Consequences of revolution,VCEHRVU34AS2CR06,Elaboration,,Consequences of revolution,,This was seen in The Terror in France and in China with the Great Proletarian Cultural Revolution.,14
Humanities,History,VCEHRV,Revolutions,Year 12,Units 3 and 4,VCEHRVU34AS2,,Area of Study 2 - Consequences of revolution,VCEHRVU34AS2CR07,Descriptor,,Consequences of revolution,Individuals such as George Washington in America had the task of leading the Continental Army to victory.,,15
Humanities,History,VCEHRV,Revolutions,Year 12,Units 3 and 4,VCEHRVU34AS2,,Area of Study 2 - Consequences of revolution,VCEHRVU34AS2CR07,Elaboration,,Consequences of revolution,,Vladimir Lenin and Leon Trotsky in Russia attempted to create significant changes to the system of government and the fabric of society.,16
Humanities,History,VCEHRV,Revolutions,Year 12,Units 3 and 4,VCEHRVU34AS2,,Area of Study 2 - Consequences of revolution,VCEHRVU34AS2CR07,Elaboration,,Consequences of revolution,,"These revolutionary leaders could not predict some of the consequences of their social, political, economic and cultural actions.",17
Humanities,History,VCEHRV,Revolutions,Year 12,Units 3 and 4,VCEHRVU34AS2,,Area of Study 2 - Consequences of revolution,VCEHRVU34AS2CR07,Elaboration,,Consequences of revolution,,"This often resulted in opposition, unforeseen reactions and unintended consequences.",18
Humanities,History,VCEHRV,Revolutions,Year 12,Units 3 and 4,VCEHRVU34AS2,,Area of Study 2 - Consequences of revolution,VCEHRVU34AS2CR08,Descriptor,,Consequences of revolution,"In analysing the past, students examine the historical perspectives of those who lived in the post-revolutionary society and their experiences of everyday conditions of life that were affected by the revolution, such as the peasants and workers in Russia and the Red Guards in China.",,19
Humanities,History,VCEHRV,Revolutions,Year 12,Units 3 and 4,VCEHRVU34AS2,,Area of Study 2 - Consequences of revolution,VCEHRVU34AS2CR09,Descriptor,,Consequences of revolution,"Students evaluate historical sources about the success and outcomes of the revolution, the new regime’s consolidation of power, the degree to which they achieved and/or compromised their revolutionary ideology, and the extent of continuity and change in the society.",,20
Humanities,History,VCEHRV,Revolutions,Year 12,Units 3 and 4,VCEHRVU34AS2,,Area of Study 2 - Consequences of revolution,VCEHRVU34AS2CR10,Descriptor,,Consequences of revolution,The revolution selected for Area of Study 2 in Unit 3 and Unit 4 must be the same revolution that was chosen for Area of Study 1 in Unit 3 and Unit 4.,,21
Humanities,History,VCEHRV,Revolutions,Year 12,Units 3 and 4,VCEHRVU34AS2,,Area of Study 2 - Consequences of revolution,VCEHRVU34AS2CR10,Elaboration,,Consequences of revolution,,The key knowledge for this area of study in Units 3 and 4 comes from the following timeframes:,22
Humanities,History,VCEHRV,Revolutions,Year 12,Units 3 and 4,VCEHRVU34AS2,,Area of Study 2 - Consequences of revolution,VCEHRVU34AS2CR11,Descriptor,,Consequences of revolution,The American Revolution (4 July 1776–1789),,23
Humanities,History,VCEHRV,Revolutions,Year 12,Units 3 and 4,VCEHRVU34AS2,,Area of Study 2 - Consequences of revolution,VCEHRVU34AS2CR12,Descriptor,,Consequences of revolution,The French Revolution (5 August 1789–1795),,24
Humanities,History,VCEHRV,Revolutions,Year 12,Units 3 and 4,VCEHRVU34AS2,,Area of Study 2 - Consequences of revolution,VCEHRVU34AS2CR13,Descriptor,,Consequences of revolution,The Russian Revolution (26 October 1917–1927),,25
Humanities,History,VCEHRV,Revolutions,Year 12,Units 3 and 4,VCEHRVU34AS2,,Area of Study 2 - Consequences of revolution,VCEHRVU34AS2CR14,Descriptor,,Consequences of revolution,The Chinese Revolution (October 1949–1976).,,26
Humanities,History,VCEHRV,Revolutions,Year 12,Units 3 and 4,VCEHRVU34AS2,,Area of Study 2 - Consequences of revolution,VCEHRVU34AS2CR15,Descriptor,,Consequences of revolution,On completion of this unit the student should be able to analyse the consequences of revolution and evaluate the extent of continuity and change in the post-revolutionary society.,,27
Humanities,History,VCEHRV,Revolutions,Year 12,Units 3 and 4,VCEHRVU34AS2,,Area of Study 2 - Consequences of revolution,VCEHRVU34AS2CR16,Descriptor,,Consequences of revolution,"To achieve this outcome the student will draw on key knowledge and key skills outlined in Area 
of Study 2.",,28
Humanities,History,VCEHRV,Revolutions,Year 12,Units 3 and 4,VCEHRVU34AS2,,Area of Study 2 - Consequences of revolution,VCEHRVU34AS2CR17,Descriptor,,Consequences of revolution,The examination will be set by a panel appointed by the VCAA.,,29
Humanities,History,VCEHRV,Revolutions,Year 12,Units 3 and 4,VCEHRVU34AS2,,Area of Study 2 - Consequences of revolution,VCEHRVU34AS2CR17,Elaboration,,Consequences of revolution,,All the key knowledge and key skills that underpin the outcomes in Units 3 and 4 are examinable.,30
Humanities,History,VCEHRV,Revolutions,Year 12,Units 3 and 4,VCEHRVU34AS2,,Area of Study 2 - Consequences of revolution,VCEHRVU34AS2CR18,Descriptor,,Consequences of revolution,Duration: 2 hours.,,31
Humanities,History,VCEHRV,Revolutions,Year 12,Units 3 and 4,VCEHRVU34AS2,,Area of Study 2 - Consequences of revolution,VCEHRVU34AS2CR19,Descriptor,,Consequences of revolution,"Date: end-of-year, on a date to be published annually by the VCAA.",,32
Humanities,History,VCEHRV,Revolutions,Year 12,Units 3 and 4,VCEHRVU34AS2,,Area of Study 2 - Consequences of revolution,VCEHRVU34AS2CR20,Descriptor,,Consequences of revolution,VCAA examination rules will apply.,,33
Humanities,History,VCEHRV,Revolutions,Year 12,Units 3 and 4,VCEHRVU34AS2,,Area of Study 2 - Consequences of revolution,VCEHRVU34AS2CR20,Elaboration,,Consequences of revolution,,"Details of these rules are published annually in the 
VCE Administrative Handbook.",34
Humanities,History,VCEHRV,Revolutions,Year 12,Units 3 and 4,VCEHRVU34AS2,,Area of Study 2 - Consequences of revolution,VCEHRVU34AS2CR21,Descriptor,,Consequences of revolution,The examination will be marked by assessors appointed by the VCAA.,,35
