SubjectArea,Subject,Band,Unit,UnitASCode,AreaofStudy,ContentCode,ContentType,ContentHeader,ContentDescription,Elaboration,Sequence
English,English,Year 11,Unit 2,VCEEU2AS2,Area of Study 2 - Exploring argument,VCEEU2AS2EA05,Descriptor,Creating point of view,Students employ their understanding of argument to create their own point of view text.,,16
English,English,Year 11,Unit 2,VCEEU2AS2,Area of Study 2 - Exploring argument,VCEEU2AS2EA05,Elaboration,Creating point of view,,"They construct this text for oral presentation, and learn about the conventions of oral presentation for persuasive purposes.",17
English,English,Year 11,Unit 2,VCEEU2AS2,Area of Study 2 - Exploring argument,VCEEU2AS2EA06,Descriptor,Framework of Ideas,"For Unit 3, Area of Study 2, students must read and study three mentor texts aligned with an idea from the Framework of Ideas (List 2 of the VCAA VCE English and EAL Text List).",,18
English,English,Year 11,Unit 2,VCEEU2AS2,Area of Study 2 - Exploring argument,VCEEU2AS2EA07,Descriptor,Mentor text opportunities,"The mentor texts provide opportunities for teachers to explore effective and cohesive writing through vocabulary, text structures and language features, and to consider the purpose, context and audience of the texts.",,19
English,English,Year 11,Unit 2,VCEEU2AS2,Area of Study 2 - Exploring argument,VCEEU2AS2EA07,Elaboration,Mentor text opportunities,,"Teachers can use the entire mentor text to provide insight into the overall intention and integrity of the text, and can use extracts to unpack the text structures, language features and vocabulary employed by the author, exploring how these elements successfully interweave with the ideas of the text.",20
English,English,Year 12,Unit 3,VCEEU3AS1,Area of Study 1 - Reading and responding to texts,VCEEU3AS1RRT01,Descriptor,Applying reading skills,"In this area of study, students apply reading and viewing strategies to critically engage with a text, considering its dynamics and complexities and reflecting on the motivations of its characters.",,1
English,English,Year 12,Unit 3,VCEEU3AS1,Area of Study 1 - Reading and responding to texts,VCEEU3AS1RRT01,Elaboration,Applying reading skills,,"They analyse the ways authors construct meaning through vocabulary, text structures, language features and conventions, and the presentation of ideas.",2
English,English,Year 12,Unit 3,VCEEU3AS1,Area of Study 1 - Reading and responding to texts,VCEEU3AS1RRT01,Elaboration,Applying reading skills,,"They are provided with opportunities to understand and explore the historical context, and the social and cultural values of a text, and recognise how these elements influence the way a text is read or viewed, is understood by different audiences, and positions its readers in different ways.",3
English,English,Year 12,Unit 3,VCEEU3AS1,Area of Study 1 - Reading and responding to texts,VCEEU3AS1RRT02,Descriptor,Sustained analytical writing,"Sustained analytical writing about a text provides students with opportunities to further develop skills to engage with and challenge ideas, to refine their application of appropriate metalanguage, to integrate evidence from a text to support key points, and to improve their use of organisational structures such as formal essays.",,4
English,English,Year 12,Unit 3,VCEEU3AS1,Area of Study 1 - Reading and responding to texts,VCEEU3AS1RRT02,Elaboration,Sustained analytical writing,,"Through participation in discussion, students test their thinking, clarify ideas and form views about a text that can be further developed in their writing.",5
English,English,Year 12,Unit 3,VCEEU3AS1,Area of Study 1 - Reading and responding to texts,VCEEU3AS1RRT03,Descriptor,Practice,"All students are provided with opportunities to practise and extend their writing about texts, and EAL students are provided with a contextual framing of the text through a listening task that explores historical, cultural and/or social values relevant to the text (such as an interview, episode of a podcast, lecture or presentation).",,6
English,English,Year 12,Unit 3,VCEEU3AS1,Area of Study 1 - Reading and responding to texts,VCEEU3AS1RRT03,Elaboration,Practice,,"Prior to summative assessment, they are given time and support to extend their writing through reflection, editing and feedback.",7
English,English,Year 12,Unit 3,VCEEU3AS1,Area of Study 1 - Reading and responding to texts,VCEEU3AS1RRT04,Descriptor,Set text study,Students study one text selected from the annual VCAA VCE English and EAL Text List.,,8
English,English,Year 12,Unit 3,VCEEU3AS1,Area of Study 1 - Reading and responding to texts,VCEEU3AS1RRT04,Elaboration,Set text study,,This text must be of a different text type from that which is selected for study in Unit 4.,9
English,English,Year 12,Unit 3,VCEEU3AS2,Area of Study 2 - Creating texts,VCEEU3AS2CT01,Descriptor,Overview,"In this area of study, students build on the knowledge and skills developed through Unit 1.",,1
English,English,Year 12,Unit 3,VCEEU3AS2,Area of Study 2 - Creating texts,VCEEU3AS2CT01,Elaboration,Overview,,"They read and engage imaginatively and critically with mentor texts, and effective and cohesive writing within identified contexts.",2
English,English,Year 12,Unit 3,VCEEU3AS2,Area of Study 2 - Creating texts,VCEEU3AS2CT01,Elaboration,Overview,,"Through close reading, students expand their understanding of the diverse ways that vocabulary, text structures, language features, conventions and ideas can interweave to create compelling texts.",3
English,English,Year 12,Unit 3,VCEEU3AS2,Area of Study 2 - Creating texts,VCEEU3AS2CT01,Elaboration,Overview,,"They further consider mentor texts through their understanding of the ways that purpose, context (including mode), and specific and situated audiences influence and shape writing.",4
English,English,Year 12,Unit 3,VCEEU3AS2,Area of Study 2 - Creating texts,VCEEU3AS2CT02,Descriptor,Working with mentor texts,"Students work with mentor texts to inspire their own creative processes, to generate ideas for their writing, and as models for effective writing.",,5
English,English,Year 12,Unit 3,VCEEU3AS2,Area of Study 2 - Creating texts,VCEEU3AS2CT02,Elaboration,Working with mentor texts,,"They experiment with adaptation and individual creation, and demonstrate insight into ideas and effective writing strategies in their texts.",6
English,English,Year 12,Unit 3,VCEEU3AS2,Area of Study 2 - Creating texts,VCEEU3AS2CT02,Elaboration,Working with mentor texts,,They reflect on the deliberate choices they have made through their writing processes in their commentaries.,7
English,English,Year 12,Unit 3,VCEEU3AS2,Area of Study 2 - Creating texts,VCEEU3AS2CT03,Descriptor,Collaborative learning,"Students participate in collaborative class work and discuss the ways that vocabulary, text structures and language features can enliven ideas.",,8
English,English,Year 12,Unit 3,VCEEU3AS2,Area of Study 2 - Creating texts,VCEEU3AS2CT03,Elaboration,Collaborative learning,,"They read, explore and revisit examples of text, including extracts, to stimulate structural innovation and to inspire ideas when developing individual writing.",9
English,English,Year 12,Unit 3,VCEEU3AS2,Area of Study 2 - Creating texts,VCEEU3AS2CT03,Elaboration,Collaborative learning,,"They also make connections with experiences and events in their own lives, observing and recording to enrich their writing, and to extend their ideas.",10
English,English,Year 12,Unit 3,VCEEU3AS2,Area of Study 2 - Creating texts,VCEEU3AS2CT04,Descriptor,Vocabulary experimentation,"Students use and experiment with vocabulary, text structures, language features, and standard and non-standard conventions of language, including the use of colloquial and idiomatic language such as slang or dialect where appropriate.",,11
English,English,Year 12,Unit 3,VCEEU3AS2,Area of Study 2 - Creating texts,VCEEU3AS2CT04,Elaboration,Vocabulary experimentation,,"Through this engagement they deepen their understanding of how writing can move, provoke and/or inspire when constructed in consideration of a specific and situated audience, purpose and context (including mode).",12
English,English,Year 12,Unit 3,VCEEU3AS2,Area of Study 2 - Creating texts,VCEEU3AS2CT04,Elaboration,Vocabulary experimentation,,"They play with language as they explore ideas and aim for aesthetic appeal, to expand their writing into the possibilities of emotion, imagination, explanation and perspective.",13
English,English,Year 12,Unit 3,VCEEU3AS2,Area of Study 2 - Creating texts,VCEEU3AS2CT05,Descriptor,Framework of Ideas,The Framework of Ideas to support this area of study can be found on pages 23 and 24.,,14
English,English,Year 12,Unit 3,VCEEU3AS2,Area of Study 2 - Creating texts,VCEEU3AS2CT05,Elaboration,Framework of Ideas,,Schools must select one idea from the Framework for study.,15
English,English,Year 12,Unit 3,VCEEU3AS2,Area of Study 2 - Creating texts,VCEEU3AS2CT05,Elaboration,Framework of Ideas,,Mentor texts for each idea will be listed in the annual VCAA VCE English and EAL Text List (List 2).,16
English,English,Year 12,Unit 3,VCEEU3AS2,Area of Study 2 - Creating texts,VCEEU3AS2CT05,Elaboration,Framework of Ideas,,"Schools select three mentor texts to support students’ study and should augment this area of study with other print and digital texts, in consultation with their students.",17
English,English,Year 12,Unit 3,VCEEU3AS2,Area of Study 2 - Creating texts,VCEEU3AS2CT05,Elaboration,Framework of Ideas,,"Consideration should be given to the context of the student cohort, including their wider community, when selecting the idea and the mentor texts.",18
English,English,Year 12,Unit 3,VCEEU3AS2,Area of Study 2 - Creating texts,VCEEU3AS2CT05,Elaboration,Framework of Ideas,,"Teachers are encouraged to create meaningful and authentic connections with the selected idea and the experiences of their students, and to work with students to develop strategies to empower them to write confidently and intentionally.",19
English,English,Year 12,Unit 4,VCEEU4AS1,Area of Study 1 - Reading and responding to texts,VCEEU4AS1RRT01,Descriptor,Overview,"In this area of study, students further sharpen their skills of reading and viewing texts, developed in the corresponding area of study in Unit 3.",,1
English,English,Year 12,Unit 4,VCEEU4AS1,Area of Study 1 - Reading and responding to texts,VCEEU4AS1RRT01,Elaboration,Overview,,Students consolidate their capacity to critically analyse texts and deepen their understanding of the ideas and values a text can convey.,2
English,English,Year 12,Unit 4,VCEEU4AS1,Area of Study 1 - Reading and responding to texts,VCEEU4AS1RRT02,Descriptor,Applying reading skills,"Students apply reading and viewing strategies to engage with a text, and discuss and analyse the ways authors construct meaning in a text through the presentation of ideas, concerns and conflicts, and the use of vocabulary, text structures and language features.",,3
English,English,Year 12,Unit 4,VCEEU4AS1,Area of Study 1 - Reading and responding to texts,VCEEU4AS1RRT02,Elaboration,Applying reading skills,,They engage with the dynamics of a text and explore the explicit and implicit ideas and values presented in a text.,4
English,English,Year 12,Unit 4,VCEEU4AS1,Area of Study 1 - Reading and responding to texts,VCEEU4AS1RRT02,Elaboration,Applying reading skills,,"They recognise and explain the ways the historical context, and social and cultural values can affect a reader, and analyse how these social and cultural values are presented.",5
English,English,Year 12,Unit 4,VCEEU4AS1,Area of Study 1 - Reading and responding to texts,VCEEU4AS1RRT02,Elaboration,Applying reading skills,,"They establish how these values can influence the way a text is read or viewed, can be understood by different audiences, and can position readers in different ways.",6
English,English,Year 12,Unit 4,VCEEU4AS1,Area of Study 1 - Reading and responding to texts,VCEEU4AS1RRT03,Descriptor,Sustained analytical writing,"Sustained analytical writing about a text provides students with opportunities to refine skills to engage with and challenge ideas, to confidently apply appropriate metalanguage, to deftly integrate evidence from a text to support key points, and to enhance their use of organisational structures such as formal essays.",,7
English,English,Year 12,Unit 4,VCEEU4AS1,Area of Study 1 - Reading and responding to texts,VCEEU4AS1RRT03,Elaboration,Sustained analytical writing,,"Through participation in discussion, students test their thinking, clarify ideas and form views about a text that are clearly developed in their writing.",8
English,English,Year 12,Unit 4,VCEEU4AS1,Area of Study 1 - Reading and responding to texts,VCEEU4AS1RRT04,Descriptor,Practice,Students are provided with opportunities to practise and extend their writing about texts.,,9
English,English,Year 12,Unit 4,VCEEU4AS1,Area of Study 1 - Reading and responding to texts,VCEEU4AS1RRT04,Elaboration,Practice,,"Prior to summative assessment, they are given time and support to extend their writing through reflection, editing and feedback.",10
English,English,Year 12,Unit 4,VCEEU4AS1,Area of Study 1 - Reading and responding to texts,VCEEU4AS1RRT05,Descriptor,Set text study,Students study one text selected from the annual VCE English and EAL Text List.,,11
English,English,Year 12,Unit 4,VCEEU4AS1,Area of Study 1 - Reading and responding to texts,VCEEU4AS1RRT05,Elaboration,Set text study,,The text selected for study must be of a different text type from that which is selected for study in Unit 3.,12
English,English,Year 12,Unit 4,VCEEU4AS2,Area of Study 2 - Analysing argument,VCEEU4AS2AA01,Descriptor,Analysing argument,"In this area of study, students analyse the use of argument and language, and visuals in texts that debate a contemporary and significant national or international issue.",,1
English,English,Year 12,Unit 4,VCEEU4AS2,Area of Study 2 - Analysing argument,VCEEU4AS2AA01,Elaboration,Analysing argument,,The texts must have appeared in the media since 1 September of the previous year and teachers are advised to work with their students to select an issue of relevance to the cohort.,2
English,English,Year 12,Unit 4,VCEEU4AS2,Area of Study 2 - Analysing argument,VCEEU4AS2AA01,Elaboration,Analysing argument,,"Students read, view and/or listen to a variety of texts from the media, including print and digital, and audio and audio visual, and develop their understanding of the ways in which arguments and language complement one another to position an intended audience in relation to a selected issue.",3
English,English,Year 12,Unit 4,VCEEU4AS2,Area of Study 2 - Analysing argument,VCEEU4AS2AA02,Descriptor,Language analysis,"Students consider the purpose, audience and context of each text, the arguments, and the ways written and spoken language, and visuals are employed for effect.",,4
English,English,Year 12,Unit 4,VCEEU4AS2,Area of Study 2 - Analysing argument,VCEEU4AS2AA02,Elaboration,Language analysis,,They analyse the ways all these elements work together to influence and/or convince an intended audience.,5
English,English,Year 12,Unit 4,VCEEU4AS2,Area of Study 2 - Analysing argument,VCEEU4AS2AA02,Elaboration,Language analysis,,Consideration and time should be given to explicit teaching of the contextual and cultural background of the selected issue and the texts explored.,6
English,English,Year 12,Unit 4,VCEEU4AS2,Area of Study 2 - Analysing argument,VCEEU4AS2AA03,Descriptor,Exploring and analysing,"Students must explore and analyse the structures and features of argument presented in audio and/or audio visual texts, and consider the unique structures and features that enhance argument in these contexts.",,7
English,English,Year 12,Unit 4,VCEEU4AS2,Area of Study 2 - Analysing argument,VCEEU4AS2AA03,Elaboration,Exploring and analysing,,They plan and develop written analyses in response to their explorations.,8
English,English,Year 12,Unit 4,VCEEU4AS2,Area of Study 2 - Analysing argument,VCEEU4AS2AA03,Elaboration,Exploring and analysing,,Students practise the skills of revision and editing for clarity and coherence.,9
English,English,Year 12,Unit 4,VCEEU4AS2,Area of Study 2 - Analysing argument,VCEEU4AS2AA04,Descriptor,Applying understanding,Students apply their understanding of the use of argument and language to create a point of view text for oral presentation.,,10
English,English,Year 12,Unit 4,VCEEU4AS2,Area of Study 2 - Analysing argument,VCEEU4AS2AA04,Elaboration,Applying understanding,,"Through active listening, reading and viewing, students monitor and evaluate arguments on a topic of their choice, and then plan and develop their own point of view text on that topic.",11
English,English,Year 12,Unit 4,VCEEU4AS2,Area of Study 2 - Analysing argument,VCEEU4AS2AA04,Elaboration,Applying understanding,,"They present their points of view as a discussion, dialogue or debate, or in a presentation mode that best suits their context, purpose and audience.",12
