SubjectArea,Subject,SubjectStreamCode,SubjectStreamName,Band,AssessmentType,AssessmentInformationDetails,AssessmentYears,UnitASCode,ExamReportCode,EQCode,SectionCode,StrategyType,ExamQuestion,ResponseSource,Content,Example,Sequence
English,English,,,Year 12,Final Exam,Post Exam Report,2024,"VCEEU3AS1,VCEEU4AS1",VCEENG24ERA,,VCEENGERA,LimitedStrategies,,ExaminerCommentary,Argument construction,"used a flawed understanding or definition of the terms of a topic, leading to irrelevance.",65
English,English,,,Year 12,Final Exam,Post Exam Report,2024,"VCEEU3AS1,VCEEU4AS1",VCEENG24ERA,,VCEENGERA,LimitedStrategies,,ExaminerCommentary,Argument substantiation,Responses might have:,66
English,English,,,Year 12,Final Exam,Post Exam Report,2024,"VCEEU3AS1,VCEEU4AS1",VCEENG24ERA,,VCEENGERA,LimitedStrategies,,ExaminerCommentary,Argument substantiation,suggested the task was a discussion of ‘facts’ rather than of the strategies/vehicles the author had used to convey ideas,67
English,English,,,Year 12,Final Exam,Post Exam Report,2024,"VCEEU3AS1,VCEEU4AS1",VCEENG24ERA,,VCEENGERA,LimitedStrategies,,ExaminerCommentary,Argument substantiation,tried to ‘twist’ a topic so that they could discuss more familiar textual material,68
English,English,,,Year 12,Final Exam,Post Exam Report,2024,"VCEEU3AS1,VCEEU4AS1",VCEENG24ERA,,VCEENGERA,LimitedStrategies,,ExaminerCommentary,Argument substantiation,"referenced only a specific part of a text (for example, only the opening) and thus reduced their capacity to discuss the way in which ideas are developed",69
English,English,,,Year 12,Final Exam,Post Exam Report,2024,"VCEEU3AS1,VCEEU4AS1",VCEENG24ERA,,VCEENGERA,LimitedStrategies,,ExaminerCommentary,Argument substantiation,"demonstrated a limited or incomplete understanding of the author’s ideas, indicated by the way in which the response attempted to substantiate the ideas",70
English,English,,,Year 12,Final Exam,Post Exam Report,2024,"VCEEU3AS1,VCEEU4AS1",VCEENG24ERA,,VCEENGERA,LimitedStrategies,,ExaminerCommentary,Argument substantiation,used quotes merely to serve as description rather than as the basis for analysis,71
English,English,,,Year 12,Final Exam,Post Exam Report,2024,"VCEEU3AS1,VCEEU4AS1",VCEENG24ERA,,VCEENGERA,LimitedStrategies,,ExaminerCommentary,Argument substantiation,"exclusively used a particular aspect of the text. For example, characters’ experiences to substantiate a reading, thus indicating a limited understanding of the text.",72
English,English,,,Year 12,Final Exam,Post Exam Report,2024,"VCEEU3AS1,VCEEU4AS1",VCEENG24ERA,,VCEENGERA,LimitedStrategies,,ExaminerCommentary,Capacity to conclude essay,Responses might have:,73
English,English,,,Year 12,Final Exam,Post Exam Report,2024,"VCEEU3AS1,VCEEU4AS1",VCEENG24ERA,,VCEENGERA,LimitedStrategies,,ExaminerCommentary,Capacity to conclude essay,stopped at the end of their body paragraphs without attempting to conclude,74
English,English,,,Year 12,Final Exam,Post Exam Report,2024,"VCEEU3AS1,VCEEU4AS1",VCEENG24ERA,,VCEENGERA,LimitedStrategies,,ExaminerCommentary,Capacity to conclude essay,been limited to merely restating the argument in the conclusion.,75
English,English,,,Year 12,Final Exam,Post Exam Report,2024,"VCEEU3AS1,VCEEU4AS1",VCEENG24ERA,,VCEENGERA,LimitedStrategies,,ExaminerCommentary,Capacity to communicate ideas,The effectiveness of a response may have been limited by:,76
English,English,,,Year 12,Final Exam,Post Exam Report,2024,"VCEEU3AS1,VCEEU4AS1",VCEENG24ERA,,VCEENGERA,LimitedStrategies,,ExaminerCommentary,Capacity to communicate ideas,"poor vocabulary choices, including using vocabulary inappropriately",77
English,English,,,Year 12,Final Exam,Post Exam Report,2024,"VCEEU3AS1,VCEEU4AS1",VCEENG24ERA,,VCEENGERA,LimitedStrategies,,ExaminerCommentary,Capacity to communicate ideas,struggles with grammar,78
English,English,,,Year 12,Final Exam,Post Exam Report,2024,"VCEEU3AS1,VCEEU4AS1",VCEENG24ERA,,VCEENGERA,LimitedStrategies,,ExaminerCommentary,Capacity to communicate ideas,incoherence.,79
English,English,,,Year 12,Final Exam,Post Exam Report,2024,VCEEU3AS2,VCEENG24ERB,,VCEENGERB,,Section B: Creating a text,,,,134
English,English,,,Year 12,Final Exam,Post Exam Report,2024,VCEEU3AS2,VCEENG24ERB,,VCEENGERB,EnhancedStrategies,,,Strategies that enhanced responses,,135
English,English,,,Year 12,Final Exam,Post Exam Report,2024,VCEEU3AS2,VCEENG24ERB,,VCEENGERB,EnhancedStrategies,,ExaminerCommentary,Using the title as a central component in the text’s creation.,,136
English,English,,,Year 12,Final Exam,Post Exam Report,2024,VCEEU3AS2,VCEENG24ERB,,VCEENGERB,EnhancedStrategies,,ExaminerCommentary,Strategically developing ideas throughout the text.,,137
English,English,,,Year 12,Final Exam,Post Exam Report,2024,VCEEU3AS2,VCEENG24ERB,,VCEENGERB,EnhancedStrategies,,ExaminerCommentary,Revisiting imagery from the stimulus as a way of creating cohesion through the text.,,138
English,English,,,Year 12,Final Exam,Post Exam Report,2024,VCEEU3AS2,VCEENG24ERB,,VCEENGERB,EnhancedStrategies,,ExaminerCommentary,Establishing a voice that strategically connected to the reader to achieve the text’s purpose.,,139
English,English,,,Year 12,Final Exam,Post Exam Report,2024,VCEEU3AS2,VCEENG24ERB,,VCEENGERB,EnhancedStrategies,,ExaminerCommentary,Using linguistic strategies to amplify and develop ideas.,,140
English,English,,,Year 12,Final Exam,Post Exam Report,2024,VCEEU3AS2,VCEENG24ERB,,VCEENGERB,LimitedStrategies,,,Strategies that limited responses,,141
English,English,,,Year 12,Final Exam,Post Exam Report,2024,VCEEU3AS2,VCEENG24ERB,,VCEENGERB,LimitedStrategies,,ExaminerCommentary,"Free writing – some planning is essential, given the limited time available to produce and develop a text.",,142
English,English,,,Year 12,Final Exam,Post Exam Report,2024,VCEEU3AS2,VCEENG24ERB,,VCEENGERB,LimitedStrategies,,ExaminerCommentary,Presenting ideas that were unrelated or minimally related to the Framework.,,143
English,English,,,Year 12,Final Exam,Post Exam Report,2024,VCEEU3AS2,VCEENG24ERB,,VCEENGERB,LimitedStrategies,,ExaminerCommentary,Contorting previously prepared responses in an attempt to connect with the exam title and stimulus.,,144
English,English,,,Year 12,Final Exam,Post Exam Report,2024,VCEEU3AS2,VCEENG24ERB,,VCEENGERB,LimitedStrategies,,ExaminerCommentary,"Writing for self, rather than for the reader.",,145
English,English,,,Year 12,Final Exam,Post Exam Report,2024,VCEEU3AS2,VCEENG24ERB,,VCEENGERB,LimitedStrategies,,ExaminerCommentary,Relying solely on plot to convey ideas.,,146
English,English,,,Year 12,Final Exam,Post Exam Report,2024,VCEEU3AS2,VCEENG24ERB,,VCEENGERB,LimitedStrategies,,ExaminerCommentary,"Some students appropriated the intellectual or moral status of others, possibly to add a sense of legitimacy to their views.",,147
English,English,,,Year 12,Final Exam,Post Exam Report,2024,VCEEU3AS2,VCEENG24ERB,,VCEENGERB,LimitedStrategies,,ExaminerCommentary,"For example, a student may have appropriated the voice of a psychologist when writing about mental health issues.",,148
English,English,,,Year 12,Final Exam,Post Exam Report,2024,VCEEU3AS2,VCEENG24ERB,,VCEENGERB,LimitedStrategies,,ExaminerCommentary,"While students are free to adopt a voice within this section, appropriate elaboration of an idea tends to be more compelling than simply claiming expert status.",,149
English,English,,,Year 12,Final Exam,Post Exam Report,2024,VCEEU3AS2,VCEENG24ERB,,VCEENGERB,LimitedStrategies,,ExaminerCommentary,Students are encouraged to consider the many ways in which a position can be legitimised.,,150
English,English,,,Year 12,Final Exam,Post Exam Report,2024,VCEEU3AS2,VCEENG24ERB,,VCEENGERB,StudentResponse,Framework of Ideas 1: Country — Example 1,StudentResponse,"Connections
My country is a land sewn together by connections. A patchwork quilt of fenced-off paddocks, connecting on the edges to make patterns across acres of rural land. Train lines and roads that wind across endless stretches of country to connect one place to another. People’s minds and hearts alike connecting in a flourishing society built on red earth bordered by crashing turquoise waves.
These are the connections of today. But there were more back before – in a time before my people came to this great southern land.
In that ancient time, connections were harboured in the body of the land. The first people lived as one with their country, their every action done to preserve the land and foster spiritual connections. Rivers carved through the land to connect one body of water to another. People and culture were tied to the land, minds and hearts alike interwoven with the fabric of this great, vast land.
But those connections were cut when my people came along. We severed the cords, cut the strings, laid waste to the links between a fellow man and his country.
The land tried to connect with us. Its people extended a welcoming hand – like a grandfather trying to coax their grandchild to join them on the path in the middle of a sprawling field. But we refused to accept. We cut back the land and slapped away the hands. We were too ignorant, too naive to see the error in our action.
And now here we stand, atop a broken land.
When we cut down the connections that sew together this great land, the connections that stood tall and proud like a forest of towering trees, the land withdrew. It formed a layer of glass, a barrier to keep us out and protect itself from our corrupted hands. The land had already begun to feel the effects of our mistakes on its battered skin: our way of life snuck sucked it of life, tore out its trees and left mired holes miles wide blooming open like grey wounds on green flesh. So we were cut off. The glass kept us out.
But we didn’t learn. We brought along a hammer of destruction, and we gripped it tighter with the strength of a million hands. Together, we brought the steel head slamming down into the land, and we s h a t t e r e d the glass beneath our feet. A layer of sand was formed, and we were balance, precariously atop it,
a house rested on sand.
We could be blamed for our ignorance. We could be blamed for neglecting to ignore the effects our capitalist way of life had on the land – from bleaching corals to deforestation to rising sea levels to raging fires. My people have destroyed this land. And now we are left with the monster we raised from our destruction:
Climate Change.
Climate Change has come to this country like we did before. It has cut our connections, and, like a picked flower sat in a vase, we and the land only have so much time left before we are lost to existence.
We are toppling like a great tree cut down at the base: our axe cut down the land, and now we with it are falling
down.
down
down
to the darkness of oblivion.
And all because we didn’t care to notice or treasure the connections that held the land together at the seams.
The first people still hold tight to those connections. The threads are fraying, but they still hold on. They have been here through it all, witnessed our shortcomings, wept for our sake. They stand like the grandparent on the path in a field, watching us as we tear through the tall grass like a small child, hopelessly lost because we lack the height to see over the swampy blades surrounding us like the unavoidable consequences of our misguided actions.
We are a flower uprooted and stuck in a vase. We are running out of time. We cut connections and brought about Climate Change. Climate Change cut connections and brought us face to face with the inevitable fate looming around the corner: if the land falls, if it topples down into oblivion, all those rested atop, it, my people, and the first people alike, will fall too.
It is a fated connection, to be linked in death with a country we destroyed. But it is one we can avoid.
The first people. They are our hope for redemption. Back before we came to this land and cut their connection, they cared for the land as part of themselves. They took fire to underbrush to burn away the bush that would smoke under the sun and send fire spilling across the land. They took care to preserve sacred flora – Marnong and Wattle and Kangaroo Grass. They took only what they needed and made sure to give back to the land in turn.
All these connections kept the land alive. And we need to help rebuild them.
The time for ignorance is gone. It is time to face what we have done head on and look to the future with hope. Let us run out from the tall grass and take the hand of the first people and let them lead us down the path.
Let us form a connection. A connection founded in reconciliation. A connection based on forgiveness and acceptance and a willingness to preserve the land we live on.
My country is a land that needs to be sewn back together with connections. We need to extend a hand to the first people, whom we owe so much, and let them guide us as a wiser people to a future in which our tree is uprighted, and our land is cared for.
Reconciliation is key. Connection between two peoples, and two cultures is key.","A metaphor used throughout the piece was established in the opening.
Imagery was used to further convey this figurative association.
Short paragraphs were used to create connections between ideas.
Metaphor was applied here to Aboriginal and Torres Strait Islander peoples to endorse their cultural association with land.
The endorsement was continued.
The use of the pronoun ‘we’ established the authorial voice directly connecting with the reader and was used to suggest a shared responsibility. This foreshadowed the moral imperative of the call to action at the end of the text.
Imagery was used to amplify ideas.
A biblical allusion re-enforced the feeling of foreboding.
The association between Western economies and climate change was assumed, rather than explained here.
Layout re-enforced the communication of ideas.
The student returned to motifs used previously to extend a consideration of ideas.
Repetition was used to create a sense of urgency.
The short sentence was used as a pivot between tones.
A call to action was used to end the piece purposefully.
Cohesion was achieved and ideas developed by a return to the imagery used in the text’s opening paragraph.",151
English,English,,,Year 12,Final Exam,Post Exam Report,2024,VCEEU3AS2,VCEENG24ERB,,VCEENGERB,StudentResponse,Framework of Ideas 2: Protest — Example 2,StudentResponse,"Resist and Persist
Introduction:
Welcome ‘Oppose & Persevere’! Today we will embark on a journey to craft a dish that not only tantalises the taste buds but resists the mainstream diet and persists against conforming to a bland dish held ‘normal’ by the majority. The name of this dish? This is the Stoppage Stew. Oppose the cascade of neutral tasting food swept by the harsh conditions of the current environment, forcing struggling individuals to comply and cook to survive, not to thrive.
Ingredients:
2 kilograms of corrupt tyrannical leadership
8 kilograms of enraged starving lower class voices
A dash of resistance
2 teaspoons of inequality
25mL of resilience
1 big loaf of hierarchical distancing
A sprinkle of revolutionary ideals
100 grams of supporters
Method:
History:
A lack of historical knowledge in the unrelenting craft of the Stoppage Stew masterpiece is a brewing disaster. Without knowledge of a previous recipe a dish can be devoid of flavour or coherence; in the absence of an influencing historical antecedent the resulting dish is shallow in ideological clarity, fundamental motivation, complacency resistance, persevering power and organisational structure. So … the numerous cookbooks at your disposal, to negate mistakes and be consistent in positive impacts. Let the past fail and fall whilst you stand and achieve, a wonderful dish like this one.
Preparation:
i. Readying the sociopolitical cauldron:
Begin by setting the robust societal pot over the huge fires of discontentment. The smokey taste being derived from the addition of the 2 lumpy kilograms of corrupt tyrannical leadership used as a fuel. Allow this to naturally heat infusing the atmosphere with a palpable taste of disillusionment and injustice. Careful with this aroma as if not resisted disillusionment will cloud the cook.
ii. Marinating the masses:
At an appropriate heat mix in the 8 pungent kilograms of starving enraged lower class voices. As a season mix in the dash of resistance and the 2 crystalline teaspoons of injustice. Ensuring each voice is evenly coated with this bitter sensation, the sensation of social disparity. A good indicator of this success, is the ‘hushing’ noise coming from the flames, the leadership will hush the sound of resistance.
iii. Forming the stock of Hate:
Grab the big loaf of hierarchical distancing and tournee it into manageable sizes, symbolising the barriers erected by the status quo. Fold this into the simmering cauldron incorporating them as oppressive structures to constrain social mobility. Calm the hasted urgency of the voices as they are not fully ready with the 25 mL of resilience, allowing them to persist the seemingly boiling climate by suppressing it to a mere shimmer. Allow this mixture to reconstitute.
iv. Adding a distinct revolutionary taste:
Add a sprinkle of herbal ideals, exciting the mixture to a boil. Allowing this to permeate the concoction will imbue a sense of gritty courage and determination. This is where this seemingly active stew will transform into the Stoppage Stew. Empowering the voices enough to act as binding agents, to break the swirling forces of society which oppress the weak, halting this cascading effect of corruption.
Cooking:
Let this slow cook for 8 excruciating injustices. When an aroma of growing solidarity is present mix in the 100 grams of supporting revolutionaries who enrich the voices through; unity, strength and resolve. Reacting in magnitudes powerful enough to bubble out the pot, the cohesive force of voices attacks for total societal transformation.
Serving:
Now to serve your ‘protestable’ dish. A few key messages before presenting this publicly are; serving sizes, portion control is a volatile balancing act. Too much can disturb the peace of a meal. The aesthetics of the dish are crucial as well, garnishes that alienate a population are unhelpful to the message of the meal. Lastly, the dish will obtain a optimal temperature, but this is subjective depending on the environment, if this dish is aimed at families a boiling pot may end in a hospital visit.","The writer was perhaps working on the metaphor ‘a recipe for disaster/success’.
The necessity of resistance was introduced in this opening.
The style of a recipe was mimicked for effect and worked to establish voice, exploring the idea (by implication) that protest follows predictable patterns.
The ingredient list was a concise way to present the reader with sophisticated ideas relating to the causes of protest and allude to historically significant events that enriched the readers’ understanding. The student harnessed the predictable stages of a recipe as a tool to develop ideas.
The use of effective puns lightened the mood when discussing serious ideas. However, the allusions also added complexity and sophistication to the ideas discussed with an assured control of language.
This mixture of humour and adoption of a confiding tone achieved a voice that drew the reader into the text.
The last line of section 1 contained a clear metaphoric reference to stimulus 2.
The text’s style was maintained, and the use of imagery indicated strategic authorial choices to achieve purpose.
The ideas relating to the concept of protest, the reasons why ‘resistance’ flourishes, and the historical patterns of social injustice that require this behaviour to be repeated (or ‘persisted’ with) in different times and places were introduced in a succinct and effective way. These ideas were developed through each stage of the recipe.
The humour deriving from the style works as a very elegant invitation into the text. This voice was appealing and established a relationship with the reader.
There was evidence of sustained style, through fresh and relevant imagery.
The response achieved a conclusion by association with the logical end of the cooking process. This also supported the text’s cohesion.",152
