SubjectArea,Subject,SubjectStreamCode,SubjectStreamName,Band,AssessmentType,AssessmentYears,ListNumber,ListName,TextType,FrameworkIdea,TextCode,Title,Author,Role,Publisher,PublicationYear,ISBN,IsAustralian,YearsOnList,SelectionSubset,Annotation,AdviceToSchools,Sequence
English,English,,,Year 12,Text List,2026,1,List 1 - Reading and responding to texts,Novels,,VCEENG26TXT011,Ghost Wall,"Moss, Sarah",,Granta Books,2021,9781783787852,0,2,,"The works of contemporary novelist Sarah Moss, which intersect with the social and political issues of our day alongside the complexities of human nature, culture and legacy, have gained literary recognition in recent years. Ghost Wall finds its setting in rural Northumberland, UK, and centres on a family that has joined an immersive archaeological re-enactment of Iron Age life. A coming-of-age novel of sorts, it depicts teenage protagonist Silvie, accompanied by a menacing father with a capacity for violence and a cowed and compliant mother. This interpersonal tension is overlaid on the setting and brought to the fore as the novel progresses.

When a young female university student also on the field trip notices the true nature of her companions' family dynamic, she shows courage and conviction in bringing it to light. It is in this assertion of agency and voice that an otherwise bleak recount of family violence finds its resolution. In its setting amid historical recount and reconstruction, the novel makes suggestions about cyclical violence and the intersection of the past and present. It also explores themes of identity, class and gender relations, power dynamics, nationalism and the impact of history on the present, all while maintaining a sense of foreboding and tension that propels the narrative.

Ghost Wall seamlessly weaves together literary and stylistic elements to create a haunting yet optimistic parable. Moss employs a first-person perspective, offering readers an intimate glimpse into the thoughts and experiences of Silvie, in a distinctive stream-of-consciousness style and northern patois. Characterised by its brevity, the novel's language is spare yet evocative, allowing readers to feel the weight of the ancient English landscape and the oppressive atmosphere of the story, amplified by supernatural overtones. Moss' writing is characterised by its rich descriptions of nature, drawing parallels between the harsh beauty of the natural world and the brutality of the human characters. She employs symbolism, particularly the 'ghost wall' itself, to add depth and complexity to the narrative, making it a thought-provoking and intricately crafted work of fiction.",,11
English,English,,,Year 12,Text List,2026,1,List 1 - Reading and responding to texts,Novels,,VCEENG26TXT012,The Memory Police,"Ogawa, Yōko",,Vintage,2020,9781784700447,0,3,,"Acclaimed Japanese novelist Yōko Ogawa's most recent novella, The Memory Police, tells the story of an island where everyday items begin to disappear from the lives of the residents. Memory and knowledge are adjusted with each disappearance, affecting words and language and how individuals can communicate. These disappearances are designed and facilitated by the shadowy Memory Police. The narrator of the novella, herself a novelist, acts to resist the activities of the Memory Police and hides the editor of her books - one of the few people who can remember historical events, despite the actions of the Memory Police. The events begin to take a darker turn when the residents start to lose parts of their bodies.

Tapping into current experiences of cognitive dissonance - where the losses of species and glaciers seem to go unnoticed - and harking back to George Orwell's 'memory hole' in 1984, Ogawa provides the reader with a surreal landscape in which to explore contemporary anxieties and issues. The beauty of the writing and her delicate use of language heighten the poignancy of the message of how our stories, our language, our words and our memories not only make us human but can also offer solutions to what confronts and challenges us. Without stories and memories, we risk extinction.",,12
English,English,,,Year 12,Text List,2026,1,List 1 - Reading and responding to texts,Other,,VCEENG26TXT013,Requiem for a Beast,"Ottley, Matt",,Lothian Children's Books,2007,9780734407962,1,4,,"Matt Ottley is the author, illustrator and composer of this rich multimodal work, which he describes as consisting of a graphic novel, a picture book, a novella and music. Requiem for a Beast contains two narratives: a young stockman embarks on a journey to understand himself as he pursues a wild bull through outback Queensland, and an older Aboriginal and Torres Strait Islander woman vividly reflects on her experience of the Stolen Generations. The past and present are woven together in both the written text and Ottley's paintings, with landscapes drawing on generations of Australian oil painting tradition sitting alongside prose and sections laid out as a contemporary graphic novel.

When the Children's Book Council of Australia awarded the 2008 Picture Book of the Year award to Requiem for a Beast, it evoked controversy due to the challenging and complex nature of the work, which asks the reader to consider the ways in which history impacts on Australian society and individuals today. The young man must confront his past as well as his family's and community's history of violence against Aboriginal and Torres Strait Islander people before he is able to see a way to move forward with his own life. The bull motif appears repeatedly in the imagery, both compelling the man to pursue it and threatening him with a raw power no individual can control. Readers are asked to consider their place in contemporary Australian society and how individual and collective pasts shape our present experiences, as well as the conflict between personal ethics and living as part of a community.

Music is included on a CD, incorporating a chamber orchestra, Latin hymns and traditional Aboriginal and Torres Strait Islander music. Teachers may find the music supports their classroom practice, but for the purposes of internal and external assessment, it will not be considered part of the text.",,13
English,English,,,Year 12,Text List,2026,1,List 1 - Reading and responding to texts,Plays,,VCEENG26TXT014,Rainbow's End,"Harrison, Jane",,Currency Press,2007,9780868197951,1,4,,"Set on the fringes of the Victorian town of Shepparton in the 1950s, Jane Harrison's play illuminates the consequences of dispossession and colonisation for Koorie Peoples. The play opens on the Dear family, who are living with few possessions and in inadequate housing, listening to reports of the Queen's tour of Australia. From here, Harrison explores the various ways in which the Dear family struggles to secure housing and physical safety, contrasting the Menzies era of enabling the great Australian dream of home ownership with the realities of systemic discrimination and racism.

While the men in the Dear family are often absent (such as Papa Dear, who is away seeking justice and a voice for his people) or dangerous (such as Dolly's cousin), the women of 3 generations work to maintain and protect their family and to find purpose, joy and love in their lives.

Harrison's play provides context, understanding, compassion and a way towards reclamation and reconciliation. As Larissa Behrendt suggests in her introduction to the collection, Rainbow's End 'is a durable, resilient stone that both builds upon Indigenous traditions but also lays the foundation for the generations that will follow'.",,14
English,English,,,Year 12,Text List,2026,1,List 1 - Reading and responding to texts,Plays,,VCEENG26TXT015,Twelfth Night,"Shakespeare, William",,New Cambridge Shakespeare,2017,9781107565463,0,2,,"Believed to have been written around 1600 as a celebration of the end of the Christmas festivities, Twelfth Night is a Shakespearean comedy. However, much as the end of the Christmas revelry in its European setting is both a celebration and a foreshadowing of a bleaker time ahead, Twelfth Night is an ambiguous mix of celebration and melancholy. The play is a complicated tale of requited and unrequited love, in which a lovelorn prince becomes entangled with shipwrecked twins in various disguises, and the antics of those understairs create further chaos. But it is a traditional comedy, and the escapades of misrepresentations, misunderstandings and deliberate inversions eventually culminate in true love, rightful roles and reinstated identities.

The power of Shakespeare's language and its classic five-act structure all offer opportunities for students to explore the rich possibilities of dialogue as a communication mechanism.

The play explores the nature of both love and loss in many forms. It addresses questions of identity, and the fluid notion of gender has particular relevance today. As always, the bard demonstrates a compelling insight into human nature.",,15
English,English,,,Year 12,Text List,2026,1,List 1 - Reading and responding to texts,Plays,,VCEENG26TXT016,Oedipus the King,Sophocles,,Penguin Classics,1984,9780140444254,0,3,,"Arguably the most famous of the surviving Greek tragedies, Sophocles' masterpiece centres on an unbearable tension: the crimes Oedipus is determined to uncover are crimes that he himself has unwittingly committed. In his quest to rid the city of the plague by identifying what had displeased the gods, he must destroy himself. And, of course, the crimes in question are not 'ordinary'. Oedipus has broken two of our greatest cultural and social taboos: he has murdered his own father and married his own mother. With such shocking events and a memorable protagonist who seeks truth at any cost, this play offers many entry points to explore character, concerns and language, and contains strong threads of imagery and symbolism.

The translation by Robert Fagles has been selected for its richness and authority. This edition has some interesting supporting material, including a detailed introduction.",,16
English,English,,,Year 12,Text List,2026,1,List 1 - Reading and responding to texts,Poetry/songs,,VCEENG26TXT017,Selected Poems,"Hughes, Langston",,Serpent's Tail,2020,9781788164511,0,1,"Poems for study: All poems from 'Afro-American fragments', 'Magnolia Flowers', 'Montage of a Dream Deferred' and 'Words Like Freedom'","Reflecting the complexities of Black identity and the richness of African-American culture in the 20th century, Langston Hughes' poetry invites readers into a world where the struggles and triumphs of the Black experience are brought to life with boldness and lyricism. As a leading figure of the Harlem Renaissance, Hughes embraced the rhythms of jazz and blues, weaving them into his verse to capture the vibrancy of urban Black life in the 20th century. His work is characterised by a deep empathy for those who have been marginalised, a fierce commitment to social justice, and an unwavering belief in the resilience of the human spirit.

Hughes' extensive body of work often employs a conversational tone that resonates with the voices of everyday people. He skilfully blends personal narrative with collective history, illustrating the interconnectedness of individual and communal experiences. Hughes often experiments with free verse, jazz-influenced rhythms, and traditional African-American folk forms, such as the blues and spirituals. His ability to capture the essence of the ordinary and elevate it to the realm of the profound is a hallmark of his poetry. Hughes' work not only entertains but is also thought-provoking, encouraging readers to confront issues of race, inequality and the enduring quest for justice. By focusing on themes such as love, despair, hope and the quest for identity, Hughes creates an exploration of the complexities of the African-American experience, while also challenging the societal norms of his time.

As one of the most significant voices in American literature, Hughes' impact continues to resonate, inspiring generations of writers and activists. His legacy is a testament to the power of poetry as a tool for social change, offering a lens through which to explore the narratives of Black life in America.","Teachers should be aware that some poems depict racial violence and use racial slurs. However, the poems contextualise Hughes' life experiences as an African-American man growing up and living in racially segregated Jim Crow-era America and represent the lived experience of his contemporaries.",17
English,English,,,Year 12,Text List,2026,1,List 1 - Reading and responding to texts,Poetry/songs,,VCEENG26TXT018,"New and Selected Poems, Volume One","Oliver, Mary",,Beacon Press,2004,9780807068779,0,2,Poems for study: All poems from 'Dream Work' and 'American Primitive',"One of the most popular American poets of recent times, and a bestseller - a genuine rarity for a poet - Mary Oliver brings some of our most important contemporary concerns to her poetry: the value of nature and the natural world, our place in the larger ecosystem, compassion for and understanding of the other, respect for First Peoples, the power of imagination and the importance of history. These two shorter collections within the larger volume cover the period of the 1980s, and some of Oliver's most beloved and celebrated work.

The beauty of Oliver's poetry is not just in its lyricism and imagery, but also in its accessibility. Her poems read like vignettes - little stories that take the reader into visceral landscapes and recognisable events with wry humour and humanity. Oliver also examines the refuge that nature, dreams and the subconscious can offer.

This volume of poetry won the National Book Award (USA) in 1992. There are many recordings available of Oliver reading her poetry.

All poems included in the 'Dream Work (1986)' and 'American Primitive (1983)' sections of the collection are set for study.",Teachers should be aware that the poem 'Rage' contains references to sexual abuse. They can choose to remove this poem from study in their classrooms.,18
English,English,,,Year 12,Text List,2026,1,List 1 - Reading and responding to texts,Short stories,,VCEENG26TXT019,Bad Dreams and Other Stories,"Hadley, Tessa",,Vintage,2018,9781784704049,0,4,Stories for study: All,"Contemporary British author Tessa Hadley appeared on The New York Times Notable Book of the Year list for her short story collection Bad Dreams and Other Stories. Hadley's short stories are praised for their ability to illuminate ordinary life. This collection captures characters as they face a crucial moment of transition, highlighting ordinary acts and events, and elevating them into the extraordinary. The real things that happen to her characters are often as mysterious as their dreams. Hadley explores the large consequences of small actions through mostly female protagonists in the 20th and 21st centuries, capturing their inner thoughts as they face a turning point in their lives, often without realising it.

Hadley's collection interrogates the lives of characters both young and old. Themes of identity, transformation, social self-awareness, the power of knowledge, and the consequences of everyday actions are explored through Hadley's distinct voice. Her writing is easily accessible and clear-sighted as she beautifully captures both the predictable and unpredictable nature of people. Students will find that her writing stimulates rich discussion on topics faced in the 21st century.",,19
English,English,,,Year 12,Text List,2026,1,List 1 - Reading and responding to texts,Short stories,,VCEENG26TXT020,The Complete Stories,"Malouf, David",,Penguin,2018,9780143790853,1,2,"Stories for study: 'The Valley of Lagoons', 'Every Move You Make', 'War Baby', 'Towards Midnight', 'Elsewhere', 'Mrs Porter and the Rock', 'The Domestic Cantata'","One of the finest Australian writers, David Malouf is a master of the short story form, and this collection showcases some of his best stories. From a pig hunt that inevitably highlights the fractures of a childhood friendship shifting into early adulthood, to the tensions that arise from a lived experience of war that can never be shared, these stories tell of the complexities of human relationships, and how our changing social and political landscapes inform our actions and behaviours.

Malouf weaves Australian vernacular with rich imagery to locate his stories in familiar landscapes and to build characters we might recognise and identify with, and that might challenge and repel us. In these representations and relationships, Malouf shows the depth and breadth of human frailties, and how the silences between us and the gaps in human connections are the sites of our greatest grief. He does offer the reader places of hope in reconciliation and return, but there are always ambiguities that cannot be breached and words that can never be said. Often tragic, these stories can also remind us to value that which
unites us.

All stories included in the 'Every Move You Make' section of the collection are set for study ('The Valley of Lagoons', 'Every Move You Make', 'War Baby', 'Towards Midnight', 'Elsewhere', 'Mrs Porter and the Rock', 'The Domestic Cantata').",,20
English,English,,,Year 12,Text List,2026,2,List 2 - Creating texts,,Writing about country,VCEENG26TXT021,'Gooseberries',"Chekhov, Anton",,The Project Gutenberg eBook of The Wife and Other Stories (updated 10 September),2016,,0,3,,"Considered an early Modernist, Anton Chekhov was concerned with the social mores and class interactions prior to the turn of the 20th century. Considered a master of the short story form, he developed many of the formal innovations that characterise contemporary short fiction. Laced with understatement, Chekhov's works at times abandon an identifiable narrative arc in favour of feeling and internalised character development.

In 'Gooseberries', Chekhov recounts the story of two men travelling together and staying overnight at the estate of a third man. Written in 1898, 'Gooseberries' interrogates ideas of happiness and fulfilment, enlivened by imagination of the pastoral.

In this story-within-a-story, the narrator Ivan recounts the experience of his brother Nikolai, who lives a frugal life in pursuit of his tree-change dream of a smallholding where he might grow the eponymous gooseberries. Yet, as his dream is fulfilled, his manner and attitude become decidedly bitter, illuminating a critique of the nobility and land ownership, suggesting a hypothesis of humility being a true source of happiness.

In the story, students will find ample opportunity to identify hallmarks of the modern short story form and may be encouraged to adopt elements of Chekhov's style, such as the employment of pathetic fallacy, imagery and sensory description. With the story posing more questions than it does answers, students may be intrigued to experiment with engendering depth and complexity in their own writing through the use of extended metaphor or embedded narrative.",,21
English,English,,,Year 12,Text List,2026,2,List 2 - Creating texts,,Writing about country,VCEENG26TXT022,"Chapter 2, The Hate Race","Clarke, Maxine Beneba",,Hachette,2018,9780733640421,1,3,,"Maxine Beneba Clarke's writing is concerned with the experience of the 'other' in contemporary Australia. Drawn from her memoir The Hate Race, this chapter details her parents' arrival in Australia and settlement in the newly developed suburb of Kellyville in 1976. Throughout the collection, Clarke exposes the weaponry of language to show its power to hurt, maim and isolate those who are considered different in Australian society. Her migration and settlement story draws on her West Indian British heritage, and her ideas about belonging and inclusion in a land and country dissimilar to that of her parents' heritage and experience are a core concern of this piece.

The register of Clarke's writing reflects her slam poetry roots, the patois of her forebears and refrains and elements of Batuque. Written in the third person about Bordeaux and Cleopatra, her work contains language that is rich and evocative, injected with superlatives and adjectival artistry to capture the magnitude of the experience for the young couple, and the ongoing dislocation of their settlement. The ominously named touchpoints of their unfamiliar environment signal the exclusion and disempowerment they are met with.

Students will recognise the universality of the experience of encountering something new and overwhelming and may be inspired by Clarke's writing to explore stories of their own forebears, or personal experiences of encountering an unfamiliar landscape or culture. This text is aptly named The Hate Race because it reflects Clarke's experience and the visceral effects of growing up in modern Australia, and the racism, prejudice and exclusion that have shaped her.",,22
English,English,,,Year 12,Text List,2026,2,List 2 - Creating texts,,Writing about country,VCEENG26TXT023,"'An Open Letter to the Man Who Yelled ""Go Back to Africa!"" at Me'","Dillard, JD",,,2019,,0,1,,"JD Dillard is a writer and actor based in Los Angeles, and a person of colour living in the contemporary milieu of the United States of America. His online presence makes visible his work and commentary, which demonstrate his engagement with a range of creative forms and media. The 'open letter' crafted by JD Dillard takes as its focus a slur directed at the narrator persona, and extrapolates this concept in a literal and thereby ludicrous manner. Adopting a satirical formal register with a subject matter addressing 'the man who yelled ""Go back to Africa"" at me', the piece documents a series of actions undertaken by the narrator in striving to reach his likely country of origin.

The open letter provides students with a clearly identifiable form and purpose to model their own responses on. It includes conventions such as a salutation and closing sign-off. In the letter, language features such as exclamation, sarcasm and irony, vernacular language, direct address, hyperbole and anaphora are present. The letter is peppered with contemporary references such as the 'Ford F-150 Raptor' and 'Ancestry.com'.

Linking to the Framework of country, this piece invites students to reflect on concepts of origin and identity, prejudice and racism, and authenticity. Students are invited to consider the notion of what it is to belong. The closing envoi of the letter, 'My man!... You sent me on this wild ride just to show me I was already home', poignantly conveys this.",,23
English,English,,,Year 12,Text List,2026,2,List 2 - Creating texts,,Writing about country,VCEENG26TXT024,'The Conquest of Land and Dream',"Kassab, Yumna",,Meanjin (Spring),2021,,1,3,,"Yumna Kassab is an Australian writer who often writes about the interaction between place and identity. In 'The Conquest of Land and Dream', published in 2021 in the Melbourne-based literary magazine Meanjin, she explores ideas of possession and sovereignty, naming and words, farming and mining. The piece deals with the attempts of migrants to exploit, control and understand new lands, and, in the case of Australia, the impacts on First Nations Peoples.

A sense of unease permeates the piece, as Kassab writes from a second-person perspective with an almost accusatory 'you' to detail the homogenisation and horrors wrought by colonisation on this vast and varied land. She paints a stark and dark picture of dispossession: it is a 'burial site ... covered with denial'.

There are five subheadings that structure the piece: Terra nullius; Marks and lines; Homogenous; The supremacy of tongue; Conquest the ideal. These subheadings move the piece through time and subject matter, from the arrival of the British to more modern migration involving asylum seekers. The metaphor of the tower is used to show the ways in which claims about possessing Australia are maintained: 'You build a structure ... ignore the knock on the door ... The tower is now a fortress and ... your control is complete.'

Students could experiment with the use of second-person narration and reflect on their family's stories of migration, dispossession or connection to place, as well as their own relationship with and understanding of Australian history.",,24
