SubjectArea,Subject,Band,TaskType,Grade,RFASCode,Sequence,RFASDescription
English,English,VCE Unit 3,Analytical Response - Film,A,VCE3RFASA03,3,"Their contention and focused arguments are developed with precision and clarity, effectively addressing the demands of the topic and guiding the reader through a coherent and compelling argumentative structure."
English,English,VCE Unit 3,Analytical Response - Film,A,VCE3RFASA04,4,They analyse highly relevant and nuanced textual evidence to support their response to the topic.
English,English,VCE Unit 3,Analytical Response - Film,A,VCE3RFASA05,5,"They explain how plot structure and/or characterisation contribute to the expression of values, ideas, and concerns."
English,English,VCE Unit 3,Analytical Response - Film,A,VCE3RFASA06,6,"Their writing maintains coherence and cohesion through the effective use of transitional phrases, which seamlessly guide the reader through the overall structure and reinforce the central argument."
English,English,VCE Unit 3,Analytical Response - Film,A,VCE3RFASA07,7,They consistently maintain a sophisticated academic analytical tone throughout their writing.
English,English,VCE Unit 3,Analytical Response - Film,A,VCE3RFASA08,8,"They employ a variety of sentence structures with skill and precision, including complex forms, to sequence and emphasise ideas."
English,English,VCE Unit 3,Analytical Response - Film,B/B+,VCE3RFASBB+01,1,"At this level, students demonstrate a solid understanding of textual analysis and writing skills, showing progress in their ability to engage with the text critically."
English,English,VCE Unit 3,Analytical Response - Film,B/B+,VCE3RFASBB+02,2,"They attempt to explain how values, ideas, and concerns (VICs) are presented in the text."
English,English,VCE Unit 3,Analytical Response - Film,B/B+,VCE3RFASBB+03,3,Their contention addresses the demands of the topic.
English,English,VCE Unit 3,Analytical Response - Film,B/B+,VCE3RFASBB+04,4,They provide detailed textual evidence that supports each paragraph's argument.
English,English,VCE Unit 3,Analytical Response - Film,B/B+,VCE3RFASBB+05,5,"They explain how relevant text features shape the audience's understanding and response to the text, indicating a growing understanding of literary techniques and their impact on interpretation."
English,English,VCE Unit 3,Analytical Response - Film,B/B+,VCE3RFASBB+06,6,Their body paragraphs are structured to clearly convey each argument.
English,English,VCE Unit 3,Analytical Response - Film,B/B+,VCE3RFASBB+07,7,They maintain a formal analytical tone throughout their writing.
English,English,VCE Unit 3,Analytical Response - Film,B/B+,VCE3RFASBB+08,8,"Their spelling is accurate across a broad vocabulary, including more challenging words, with minimal errors."
English,English,VCE Unit 3,Analytical Response - Film,B/B+,VCE3RFASBB+09,9,"They correctly and effectively use a wide range of punctuation marks, including more advanced ones like square brackets and ellipses where appropriate."
English,English,VCE Unit 3,Analytical Response - Film,C/C+,VCE3RFASCC+01,1,"At this level, students demonstrate a developing understanding of textual analysis and writing skills."
English,English,VCE Unit 3,Analytical Response - Film,C/C+,VCE3RFASCC+02,2,"They list values, ideas, and concerns (VICs) present in the text."
English,English,VCE Unit 3,Analytical Response - Film,C/C+,VCE3RFASCC+03,3,"They state a contention that attempts to address the demands of the topic, including command words and VICs, though it may lack depth."
English,English,VCE Unit 3,Analytical Response - Film,C/C+,VCE3RFASCC+04,4,They select textual evidence that is relevant to the topic.
English,English,VCE Unit 3,Analytical Response - Film,C/C+,VCE3RFASCC+05,5,"They provide examples of text features such as vocabulary choices, conventions of form, and literary techniques."
English,English,VCE Unit 3,Analytical Response - Film,C/C+,VCE3RFASCC+06,6,They explain how characterisation contributes to the expression of VICs.
English,English,VCE Unit 3,Analytical Response - Film,C/C+,VCE3RFASCC+07,7,"Their introduction expresses a clear contention in response to the topic, and body paragraphs contain one argument each."
English,English,VCE Unit 3,Analytical Response - Film,C/C+,VCE3RFASCC+08,8,"While they attempt to use transitional words and phrases to create smooth transitions between paragraphs and ideas, their use of these may lack consistency or sophistication."
English,English,VCE Unit 3,Analytical Response - Film,C/C+,VCE3RFASCC+09,9,"Their syntax demonstrates a mix of simple and complex sentence structures, with occasional grammatical errors that do not significantly impact clarity."
English,English,VCE Unit 3,Analytical Response - Film,C/C+,VCE3RFASCC+10,10,"They spell most common and high-frequency words correctly and attempt higher vocabulary with identifiable target words, although errors may still occur."
English,English,VCE Unit 3,Analytical Response - Film,C/C+,VCE3RFASCC+11,11,"They apply punctuation, such as commas and quotation marks, effectively, enhancing readability and clarity in their writing."
English,English,VCE Unit 3,Analytical Response - Film,D/D+,VCE3RFASDD+01,1,"At this level, students demonstrate a basic understanding of textual analysis and writing skills."
English,English,VCE Unit 3,Analytical Response - Film,D/D+,VCE3RFASDD+02,2,They are able to refer to key moments from the text and use evidence by directly quoting the text or referencing relevant moments.
English,English,VCE Unit 3,Analytical Response - Film,D/D+,VCE3RFASDD+03,3,They can identify basic text features such as form and basic literary techniques.
English,English,VCE Unit 3,Analytical Response - Film,D/D+,VCE3RFASDD+04,4,"They organise paragraphs into a clear introduction, body paragraphs, and conclusion."
English,English,VCE Unit 3,Analytical Response - Film,D/D+,VCE3RFASDD+05,5,They use basic transitional words and phrases to connect ideas.
English,English,VCE Unit 3,Analytical Response - Film,D/D+,VCE3RFASDD+06,6,"They attempt to maintain an appropriate tone in their writing, although this may still be inconsistent."
English,English,VCE Unit 3,Analytical Response - Film,D/D+,VCE3RFASDD+07,7,"Their syntax is characterised by basic sentences with limited variety, reflecting a developing command of sentence structure."
English,English,VCE Unit 3,Analytical Response - Film,D/D+,VCE3RFASDD+08,8,"Their word choice is limited, prioritising correct spelling, and they generally apply basic punctuation effectively, including capital letters and full stops."
English,English,VCE Unit 3,Analytical Response - Film,E/E+,VCE3RFASEE+01,1,"At this level, students demonstrate limited proficiency in various aspects of textual analysis and writing."
English,English,VCE Unit 3,Analytical Response - Film,E/E+,VCE3RFASEE+02,2,"There is insufficient evidence of their understanding of the values, ideas, and concerns (VICs) of the text, as well as inadequate responses to the topic."
English,English,VCE Unit 3,Analytical Response - Film,E/E+,VCE3RFASEE+03,3,Their use of evidence is characterised by gross inaccuracies in references or quotes.
English,English,VCE Unit 3,Analytical Response - Film,E/E+,VCE3RFASEE+04,4,They can state the text type and outline main events and characters at a basic level without demonstrating deeper analysis.
English,English,VCE Unit 3,Analytical Response - Film,E/E+,VCE3RFASEE+05,5,"While they use paragraphs to organise their writing, cohesion is lacking."
English,English,VCE Unit 3,Analytical Response - Film,E/E+,VCE3RFASEE+06,6,"Grammatical errors significantly impact the clarity of their ideas, and they struggle with spelling, particularly with sight and high-frequency words."
