SubjectArea,Subject,Band,Unit,UnitASCode,AreaofStudy,Outcome,ExampleType,ContentType,ExampleText,ParentText,URLTitle,URL,Sequence
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS1,Area of Study 1 - Legal foundations,Outcome 1,Activity,Bullet,"Equality: that all citizens receive identical treatment by our laws and legal systems irrespective of their personal characteristics: gender, religion, wealth, race, nationality, disabilities, sexuality.","Learn about the principles of justice: fairness, equality and access. Create a glossary of these principles to use throughout the VCE Legal Studies course (Units 1-4). Consider the Black Lives Matter protest movement as an illustration of the importance of these principles.",,,11
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS1,Area of Study 1 - Legal foundations,Outcome 1,Activity,Bullet,Research the symbolism of the 'lady of justice'. Consider this alongside the three principles of justice.,,,,12
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS1,Area of Study 1 - Legal foundations,Outcome 1,Activity,Bullet,"Use current media reports of court cases to evaluate how effectively our laws and legal systems achieve the principles of justice: fairness, equality and access. In doing this, decide whether the principles of justice are achieved in the Victorian legal system, or are they simply ideals that our legal system seeks to achieve?",,,,13
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS1,Area of Study 1 - Legal foundations,Outcome 1,Activity,Bullet,"Develop an understanding of the characteristics of an effective law by comparing laws restricting blood alcohol content for drivers and the fines for breaches of COVID-19 lockdown regulations. What is meant by a law being enforceable, known, clear, understood and stable? Why were the COVID-19 fines not universally enforced?",,,,14
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS1,Area of Study 1 - Legal foundations,Outcome 1,Activity,Bullet,"Once an understanding of the importance of laws, the principles of justice and the characteristics of effective laws has been developed, consider the institutions that create laws and the types of laws they make in our society. Create a table comparing the role of parliaments and courts in Australia: the parliament being the principal law-making institution and the courts being institutions that resolve disputes in our society between individuals, and enforce and interpret the law.",,,,15
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS1,Area of Study 1 - Legal foundations,Outcome 1,Activity,Bullet,Design a flow diagram outlining the steps taken by parliament in passing legislation.,,,,16
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS1,Area of Study 1 - Legal foundations,Outcome 1,Activity,Bullet,"Illustrate the creation of common law by courts, using the Snail in a Bottle case (Donohue vs Stevenson).",,,,17
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS1,Area of Study 1 - Legal foundations,Outcome 1,Activity,Bullet,"Create a diagram depicting the Victorian court hierarchy, including the High Court. On this diagram, show the jurisdiction of each court (both civil and criminal). Learn about the importance of a court hierarchy in terms of specialisation, appeals and the application of common law within the hierarchy, using the Snail in a Bottle case and Grant v Australian Knitting Mills as illustration.",,,,18
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS1,Area of Study 1 - Legal foundations,Outcome 1,Activity,Bullet,Read a statute from the Victorian Parliament (such as the Crimes Act) and extracts from a law report recording a common law decision. Rewrite sections in plain English or present an interpretation orally.,,,,19
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS1,Area of Study 1 - Legal foundations,Outcome 1,Activity,Bullet,"Explain the relationship between the parliament and the courts in law-making, focusing on parliamentary sovereignty and the interactive relationship between the two institutions. Use the Studded Belt case to illustrate this relationship.",,,,20
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS1,Area of Study 1 - Legal foundations,Outcome 1,Activity,Bullet,"Learn the key distinctions between criminal law and civil law. Create a table showing the key differences and similarities between the two. Differences should include the following: the parties involved in each type of dispute, the burdens and standards of proof, the roles of judges and juries in each type of dispute and sanctions and remedies.",,,,21
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS1,Area of Study 1 - Legal foundations,Outcome 1,Activity,Bullet,"Research a current civil law dispute in the court system and a current criminal trial through media reports. Use these to illustrate how the State prosecutes criminal offences, whereas civil law disputes are between two individuals or groups; also explaining how companies and governments can each be a party to a civil dispute.",,,,22
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS1,Area of Study 1 - Legal foundations,Outcome 1,DetailedExample,Paragraph,Identify the range of laws in a society,,,,23
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS1,Area of Study 1 - Legal foundations,Outcome 1,DetailedExampleStep,Bullet,"Students should be able to 'explain the role of individuals, laws and the legal system in achieving social cohesion and protecting the rights of individuals'.",,,,24
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS1,Area of Study 1 - Legal foundations,Outcome 1,DetailedExampleStep,Paragraph,"""explain the role of the legal system in both protection of rights and achievement of social cohesion...""",,,,25
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS1,Area of Study 1 - Legal foundations,Outcome 1,DetailedExampleStep,Bullet,"Working in groups students identify a list of different laws, both Commonwealth and State, that affect the daily lives of Victorians.",,,,26
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS1,Area of Study 1 - Legal foundations,Outcome 1,DetailedExampleStep,Paragraph,Possible laws for study could include,,,,27
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS1,Area of Study 1 - Legal foundations,Outcome 1,DetailedExampleStep,Bullet,"Criminal laws: students research those laws applicable to them personally; for example: laws governing drivers licences, wearing of bike helmets, travel on public transport, as well as criminal laws for both summary and indictable offences.",,,,28
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS1,Area of Study 1 - Legal foundations,Outcome 1,DetailedExampleStep,Bullet,Equal opportunity laws: students research the Victorian Equal Opportunity Act to identify the types of discrimination outlawed. A focus of the study could be amendments to the Summary Offences Amendment (Nazi Symbol Prohibition) Act 2022 that bans use of the Nazi salute as an example of a law that seeks to promote social cohesion.,,,,29
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS1,Area of Study 1 - Legal foundations,Outcome 1,DetailedExampleStep,Bullet,Workplace laws: students research the recent introduction of the 'workplace manslaughter laws' in Victoria.,,,,30
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS1,Area of Study 1 - Legal foundations,Outcome 1,DetailedExampleStep,Bullet,Taxation laws: students identify the types of taxes levied by both Commonwealth and State governments on Victorians.,,,,31
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS1,Area of Study 1 - Legal foundations,Outcome 1,DetailedExampleStep,Bullet,Consumer laws: students research Federal and Victorian laws that aim to protect consumers from misleading conducts by businesses.,,,,32
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS1,Area of Study 1 - Legal foundations,Outcome 1,DetailedExampleStep,Paragraph,Students should:,,,,33
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS1,Area of Study 1 - Legal foundations,Outcome 1,DetailedExampleStep,Bullet,Identify the social and moral reasons for each law group,,,,34
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS1,Area of Study 1 - Legal foundations,Outcome 1,DetailedExampleStep,Bullet,Identify the values of society reflected in each law group,,,,35
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS1,Area of Study 1 - Legal foundations,Outcome 1,DetailedExampleStep,Bullet,Discuss how restrictions placed on individuals through each law promote social cohesion,,,,36
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS1,Area of Study 1 - Legal foundations,Outcome 1,DetailedExampleStep,Bullet,Explain what rights and protections each law creates for individuals,,,,37
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS1,Area of Study 1 - Legal foundations,Outcome 1,DetailedExampleStep,Bullet,Create a graphic illustrating the different categories or types of law they are subject to as Victorian citizens.,,,,38
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS2,Area of Study 2 - Proving guilt,Outcome 2,Activity,Bullet,"With reference to the purposes of criminal law, consider why criminal law cases attract such significant media and social interest in comparison with civil cases. Write a response to the following statement, use dot points: 
Criminal cases are much fewer in number than civil disputes but receive much greater media attention.",,,,1
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS2,Area of Study 2 - Proving guilt,Outcome 2,Activity,Bullet,Using the Crime Statistics website list the categories of crime.,,,,2
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS2,Area of Study 2 - Proving guilt,Outcome 2,Activity,Bullet,Make a list of the major purposes of criminal law and link these to the purposes of law and the role of law in promoting social cohesion.,,,,3
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS2,Area of Study 2 - Proving guilt,Outcome 2,Activity,Bullet,Conduct a class debate on the following proposition: It is better to let one hundred guilty people walk free than have one innocent person go to jail. After the debate make a summary of the philosophical and practical importance of the presumption of innocence within the criminal justice system.,,,,4
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS2,Area of Study 2 - Proving guilt,Outcome 2,Activity,Bullet,"Research the case of DPP v Borce Ristevski, a Victorian criminal case (Sentencing appeal heard by Supreme Court of Victoria Appeal Division in 2019) to develop an understanding of the concepts of mens rea and actus reus.",,,,5
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS2,Area of Study 2 - Proving guilt,Outcome 2,Activity,Bullet,"Discuss the difference between a guilty mind (mens rea) and a guilty act (actus reus). With reference to the crimes of murder and manslaughter, explain why certain crimes require both mens rea and actus reus and some only actus reus.",,,,6
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS2,Area of Study 2 - Proving guilt,Outcome 2,Activity,Bullet,Research what criminal law says about people committing crimes when under the influence of either drugs or alcohol. Discuss the topic: Are those people able to form criminal intent?,,,,7
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS2,Area of Study 2 - Proving guilt,Outcome 2,Activity,Bullet,"With reference to drug and driving offences, explain what is meant by strict liability. Discuss why strict liability offences are justifiable exceptions within the criminal law to the requirement that intent be shown for an offence to be proven.",,,,8
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS2,Area of Study 2 - Proving guilt,Outcome 2,Activity,Bullet,Prepare a 'Commonwealth Map' noting the age of criminal responsibility in each Australian state and territory.,,,,9
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS2,Area of Study 2 - Proving guilt,Outcome 2,Activity,Bullet,"Research the attempts to raise the age of criminal responsibility to fourteen and higher in different parts of Australia, identifying the moral and social issues inherent in the debate.",,,,10
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS2,Area of Study 2 - Proving guilt,Outcome 2,Activity,Bullet,Research and discuss what is meant by burden of proof. Explain the relationship of the burden of proof to the presumption of innocence. Research the role of the Office of Public Prosecutions and the role of the Director of Public Prosecutions (DPP).,,,,11
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS2,Area of Study 2 - Proving guilt,Outcome 2,Activity,Bullet,Learn about standard of proof by discussing the relationship of the burden of proof of 'beyond reasonable doubt' to the presumption of innocence. Discuss the topic: Why is there such a high standard of proof for criminal offences?,,,,12
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS2,Area of Study 2 - Proving guilt,Outcome 2,Activity,Bullet,Identify and list the major categories and different types of crime against properties and person. (Shakespeare called murder the 'crime most foul'.) Make a list of the major crimes within each category of crime according to a hierarchy of seriousness. Research the concept of a 'victimless crime' and whether there is such a thing.,,,,13
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS2,Area of Study 2 - Proving guilt,Outcome 2,Activity,Bullet,Use the hierarchy of seriousness to understand the distinction between summary and indictable offences. Classify specific crimes as either a 'summary' or 'indictable' offence.,,,,14
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS2,Area of Study 2 - Proving guilt,Outcome 2,Activity,Bullet,"Using a scenario involving a criminal offence committed by a principal offender and an accessory, explain the distinction between 'principal offender' and 'accessory' with reference to the scenario.",,,,15
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS2,Area of Study 2 - Proving guilt,Outcome 2,Activity,Bullet,Undertake a research assignment to investigate two types of criminal offence. Investigate one summary offence and one indictable offence. For each offence summarise: the elements of the offence; possible defences; potential sanctions; trends and statistics in relation to the offence in Victoria and in one other Australian criminal jurisdiction.,,,,16
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS2,Area of Study 2 - Proving guilt,Outcome 2,Activity,Bullet,Collect a series of case studies that identify and illustrate the difference between both summary and indictable offences and indictable offences heard summarily. For each case study:,,,,17
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS2,Area of Study 2 - Proving guilt,Outcome 2,Activity,Bullet,Identify the category or type of criminal law,Collect a series of case studies that identify and illustrate the difference between both summary and indictable offences and indictable offences heard summarily. For each case study:,,,18
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS2,Area of Study 2 - Proving guilt,Outcome 2,Activity,Bullet,Outline the purpose of the criminal law,Collect a series of case studies that identify and illustrate the difference between both summary and indictable offences and indictable offences heard summarily. For each case study:,,,19
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS2,Area of Study 2 - Proving guilt,Outcome 2,Activity,Bullet,"Identify the elements of the crime: actus reus and mens rea and whether it was a summary, indictable or indictable offence heard summarily.",Collect a series of case studies that identify and illustrate the difference between both summary and indictable offences and indictable offences heard summarily. For each case study:,,,20
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS2,Area of Study 2 - Proving guilt,Outcome 2,Activity,Bullet,Use the NSW Bureau of Crime Statistics and Research and the Victorian Crimes Statistics Agency to research a range of offences against the individual in NSW (such as homicide and assault) and then compare the statistics of these offences between Victoria and NSW in relation to each crime category.,,,,21
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS2,Area of Study 2 - Proving guilt,Outcome 2,DetailedExample,Paragraph,Difference between key concepts of criminal law: mens rea and actus reus,,,,22
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS2,Area of Study 2 - Proving guilt,Outcome 2,DetailedExampleStep,Paragraph,"Students research the case of DPP v Borce Ristevski, a Victorian criminal case (Sentencing appeal heard by Supreme Court of Victoria Appeal Division in 2019) to develop an understanding of the concepts of mens rea and actus reus.",,,,23
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS2,Area of Study 2 - Proving guilt,Outcome 2,DetailedExampleStep,Paragraph,Suggested focus questions:,,,,24
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS2,Area of Study 2 - Proving guilt,Outcome 2,DetailedExampleStep,Bullet,What were the facts of the case? Why did this case attract so much community and media interest?,,,,25
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS2,Area of Study 2 - Proving guilt,Outcome 2,DetailedExampleStep,Bullet,Why did the DPP accept a plea negotiation from Mr Ristevski to plead guilty for manslaughter on the eve of his trial for murder?,,,,26
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS2,Area of Study 2 - Proving guilt,Outcome 2,DetailedExampleStep,Bullet,What was the important practical consequence for Mr Ristevski of the DPP accepting a guilty plea for the lesser charge?,,,,27
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS2,Area of Study 2 - Proving guilt,Outcome 2,DetailedExampleStep,Bullet,What was Mr Ristevski' s original sentence for manslaughter? Why was this sentence changed after an appeal by the DPP against the leniency of the sentence?,,,,28
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS2,Area of Study 2 - Proving guilt,Outcome 2,DetailedExampleStep,Bullet,Explain how this case reinforces the importance of mens rea and actus reus as elements of a crime.,,,,29
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS2,Area of Study 2 - Proving guilt,Outcome 2,DetailedExampleStep,Bullet,"Research the previous criminal law in Victoria in relation to the effects of intoxication and hallucination, the formation of mens rea and why this law was changed by the Victorian parliament. Outline the current law on the effects of intoxication and hallucination regarding formation of mens rea.",,,,30
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS2,Area of Study 2 - Proving guilt,Outcome 2,DetailedExampleStep,Paragraph,As a follow-up to the research conduct a class debate on the following topic:,,,,31
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS2,Area of Study 2 - Proving guilt,Outcome 2,DetailedExampleStep,Paragraph,Proof of actus reus for an alleged crime is all that should be required to establish guilt.,,,,32
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS3,Area of Study 3 - Sanctions,Outcome 3,Activity,Paragraph,The principles of justice and experiences of the Victorian criminal justice system,,,,1
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS3,Area of Study 3 - Sanctions,Outcome 3,Activity,Bullet,"Discuss the principles of justice (fairness, equality and access) using plain English, to reinforce understanding of the three concepts.",,,,2
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS3,Area of Study 3 - Sanctions,Outcome 3,Activity,Bullet,Create a glossary of terms associated with sanctions and sentencing.,,,,3
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS3,Area of Study 3 - Sanctions,Outcome 3,Activity,Bullet,"Reinforce the reasons for the involvement of the State in the investigation and prosecution of alleged criminal acts, and identify the non-judicial institutions given authority to investigate and enforce alleged breaches of criminal law. Focus on the major role of police and the lesser criminal authority of delegated bodies, such as Worksafe Victoria and the Environment Protection Authority. Prepare a table or graphic representation depicting this.",,,,4
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS3,Area of Study 3 - Sanctions,Outcome 3,Activity,Bullet,Conduct a class debate on the following topic: There should be no limits to the investigative powers of police given the seriousness of crime. Consider this in relation to the principles of justice.,,,,5
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS3,Area of Study 3 - Sanctions,Outcome 3,Activity,Bullet,"Summarise the rights of individuals in the Victorian criminal justice system, noting the rights relating to police questioning, entering private property, recording of telephone conversations, formal interviews, committal proceedings and criminal trials. Link as many of these rights as possible to the three principles of justice (fairness, equality and access). Consider the balance between institutional powers and individual rights in Victoria and discuss whether this is an appropriate balance.",,,,6
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS3,Area of Study 3 - Sanctions,Outcome 3,Activity,Bullet,"Using diagrams of the Victorian court hierarchy, highlight the criminal jurisdiction of each court in relation to summary and indictable offences. Take note of both the original and appellate criminal jurisdictions of Victorian courts.",,,,7
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS3,Area of Study 3 - Sanctions,Outcome 3,Activity,Bullet,"Consider the role of the jury in a criminal trial. To gain an Australian perspective, view scenes of the jury's deliberation in the film Evil Angels depicting the trial of Lindy Chamberlain. These scenes are instructive about the debates and discussion that typically occur in a jury room. Selective viewing to reinforce important considerations of the effectiveness of a jury is recommended.",,,,8
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS3,Area of Study 3 - Sanctions,Outcome 3,Activity,Bullet,"Research and develop notes about each of the following: the historical significance of the jury dating from the Magna Carta; the principles underlying the selection of juries for indictable offences including the grounds for exemption for jury service; the processes of jury selection, including preemptory and other forms of challenges to jury service; the key responsibilities of the jury in a criminal trial including listening to legal directions of the judge, listening to evidence objectively and reaching a verdict; the difference between unanimous and majority verdicts; when majority verdicts can be used in Victoria.",,,,9
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS3,Area of Study 3 - Sanctions,Outcome 3,Activity,Bullet,"Research a well-known trial and refer to it in a written essay on the following topic: Too much faith is placed in the ability of juries to be expert and impartial finders of guilt or innocence.
In the essay, discuss the accuracy of this statement with reference to recent jury trials. It is important to respond accurately to the 'command' word 'Discuss'.",,,,10
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS3,Area of Study 3 - Sanctions,Outcome 3,Activity,Bullet,"Select at least two of the following groups and investigate the difficulties they face in the criminal justice system: First Nations people, young people, culturally and linguistically diverse people, people with mental health issues, people with disabilities. Research the particular matters affecting each group; for example, overrepresentation of First Nations people in the nation's prisons. For each group, identify which principles of justice are not achieved within the criminal justice system as a result of the difficulties faced.",,,,11
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS3,Area of Study 3 - Sanctions,Outcome 3,Activity,Paragraph,Sentencing,,,,12
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS3,Area of Study 3 - Sanctions,Outcome 3,Activity,Bullet,"Create a glossary covering the five key purposes of sanctions, ensuring that the definition of each term is pitched in the context of sentencing. Consider why purposes are prima facie contradictory; for example, punishment and rehabilitation.",,,,13
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS3,Area of Study 3 - Sanctions,Outcome 3,Activity,Bullet,"Prepare a sanctions summary booklet for each of: fines, community corrections orders (CCOs) and imprisonment. Note the likely purposes of each sanction and what each sanction involves; for example: What are the terms of a community corrections order? What is a non-parole period of imprisonment? Look at the sanctions imposed in individual criminal cases and consider what the likely purpose of each is and whether they would likely achieve this purpose in each case.",,,,14
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS3,Area of Study 3 - Sanctions,Outcome 3,Activity,Bullet,"Conduct a class discussion about the likelihood of specific criminal sanctions achieving their purposes. First, ensure that the concept of recidivism is understood, as well as the effectiveness of recovery of fines issued during Victoria's COVID-19 lockdowns.",,,,15
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS3,Area of Study 3 - Sanctions,Outcome 3,Activity,Bullet,"Research recent County Court and Supreme Court sentencing decisions and present an oral presentation to the class about the factors that were relevant to each sentence: aggravating factors, mitigating factors, the making of a guilty plea and the role of victim impact statements.",,,,16
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS3,Area of Study 3 - Sanctions,Outcome 3,Activity,Bullet,"Prepare and present oral presentations about the aims of alternative approaches to sentencing as used in Victoria's Drug Courts, Koori Courts and diversion program.",,,,17
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS3,Area of Study 3 - Sanctions,Outcome 3,Activity,Bullet,Participate in and discuss the cases on You Be the Judge Sentencing Council of Victoria.,,,,18
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS3,Area of Study 3 - Sanctions,Outcome 3,Activity,Bullet,Research different approaches to sentencing practices in another jurisdiction. Summarise the comparison in a table.,,,,19
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS3,Area of Study 3 - Sanctions,Outcome 3,DetailedExample,Paragraph,Sanctions and sentencing,,,,20
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS3,Area of Study 3 - Sanctions,Outcome 3,DetailedExampleStep,Paragraph,Students undertake the following activities to develop their core knowledge of sanctions and sentencing:,,,,21
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS3,Area of Study 3 - Sanctions,Outcome 3,DetailedExampleStep,Bullet,"Create a glossary of the purposes of sanctions, defining each of the following terms in the context of sanctioning a convicted criminal:",,,,22
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS3,Area of Study 3 - Sanctions,Outcome 3,DetailedExampleStep,Bullet,Denunciation,"Create a glossary of the purposes of sanctions, defining each of the following terms in the context of sanctioning a convicted criminal:",,,23
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS3,Area of Study 3 - Sanctions,Outcome 3,DetailedExampleStep,Bullet,Deterrence - general and specific,"Create a glossary of the purposes of sanctions, defining each of the following terms in the context of sanctioning a convicted criminal:",,,24
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS3,Area of Study 3 - Sanctions,Outcome 3,DetailedExampleStep,Bullet,Protection,"Create a glossary of the purposes of sanctions, defining each of the following terms in the context of sanctioning a convicted criminal:",,,25
Business and Economics,Legal Studies,Year 11,Unit 1,VCELSU1AS3,Area of Study 3 - Sanctions,Outcome 3,DetailedExampleStep,Bullet,Punishment,"Create a glossary of the purposes of sanctions, defining each of the following terms in the context of sanctioning a convicted criminal:",,,26
