Band,Subject,Unit,AreaofStudy,Code,Outcome,OutcomeStudentType,OutcomeDescription,Type,Statement,ParentStatement,Level,Sequence
Year 11,English,Unit 1,Area of Study 1 - Reading and exploring texts,VCEE11AS1OSE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,"Ideas, concerns and tensions presented in a text",consider and explore:,2,3
Year 11,English,Unit 1,Area of Study 1 - Reading and exploring texts,VCEE11AS1OSEAL,Outcome 1,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,"Ideas, concerns and tensions presented in a text",consider and explore:,2,3
Year 11,English,Unit 1,Area of Study 1 - Reading and exploring texts,VCEE11AS1OSE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,"Characters, settings and plot, and point of view and voice",consider and explore:,2,4
Year 11,English,Unit 1,Area of Study 1 - Reading and exploring texts,VCEE11AS1OSEAL,Outcome 1,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,"Characters, settings and plot, and point of view and voice",consider and explore:,2,4
Year 11,English,Unit 1,Area of Study 1 - Reading and exploring texts,VCEE11AS1OSE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,"How vocabulary, text structures and language features create meaning",consider and explore:,2,5
Year 11,English,Unit 1,Area of Study 1 - Reading and exploring texts,VCEE11AS1OSEAL,Outcome 1,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,"How vocabulary, text structures and language features create meaning",consider and explore:,2,5
Year 11,English,Unit 1,Area of Study 1 - Reading and exploring texts,VCEE11AS1OSE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,"Engage productively in small group and class discussion, including listening to others",,1,6
Year 11,English,Unit 1,Area of Study 1 - Reading and exploring texts,VCEE11AS1OSEAL,Outcome 1,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,"Engage productively in small group and class discussion, including listening to others",,1,6
Year 11,English,Unit 1,Area of Study 1 - Reading and exploring texts,VCEE11AS1OSE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,"Develop, share and clarify ideas with peers and teachers employing appropriate strategies for discussion and debate",,1,7
Year 11,English,Unit 1,Area of Study 1 - Reading and exploring texts,VCEE11AS1OSEAL,Outcome 1,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,"Develop, share and clarify ideas with peers and teachers employing appropriate strategies for discussion and debate",,1,7
Year 11,English,Unit 1,Area of Study 1 - Reading and exploring texts,VCEE11AS1OSE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,"Plan and develop personal and analytical writing about a text, including the use of appropriate metalanguage to discuss vocabulary, text structures and language features",,1,8
Year 11,English,Unit 1,Area of Study 1 - Reading and exploring texts,VCEE11AS1OSEAL,Outcome 1,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,"Plan and develop personal and analytical writing about a text, including the use of appropriate metalanguage to discuss vocabulary, text structures and language features",,1,8
Year 11,English,Unit 1,Area of Study 1 - Reading and exploring texts,VCEE11AS1OSE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,"Use textual evidence, where appropriate, to support writing",,1,9
Year 11,English,Unit 1,Area of Study 1 - Reading and exploring texts,VCEE11AS1OSEAL,Outcome 1,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,"Use textual evidence, where appropriate, to support writing",,1,9
Year 11,English,Unit 1,Area of Study 1 - Reading and exploring texts,VCEE11AS1OSE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,Use appropriate strategies to review and edit writing,,1,10
Year 11,English,Unit 1,Area of Study 1 - Reading and exploring texts,VCEE11AS1OSEAL,Outcome 1,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,Use appropriate strategies to review and edit writing,,1,10
Year 11,English,Unit 1,Area of Study 1 - Reading and exploring texts,VCEE11AS1OSE,Outcome 1,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,"Apply the conventions of syntax, punctuation and spelling of Standard Australian English.",,1,11
Year 11,English,Unit 1,Area of Study 1 - Reading and exploring texts,VCEE11AS1OSEAL,Outcome 1,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,"Apply the conventions of syntax, punctuation and spelling of Standard Australian English.",,1,11
Year 11,English,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS2OKE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key knowledge,"Vocabulary, text structures and language features used in effective writing",,1,1
Year 11,English,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS2OKEAL,Outcome 2,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key knowledge,"Vocabulary, text structures and language features used in effective writing",,1,1
Year 11,English,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS2OKE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key knowledge,Different strategies to generate and develop ideas,,1,2
Year 11,English,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS2OKEAL,Outcome 2,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key knowledge,Different strategies to generate and develop ideas,,1,2
Year 11,English,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS2OKE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key knowledge,"The ways purpose, context and audience shape writing",,1,3
Year 11,English,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS2OKEAL,Outcome 2,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key knowledge,"The ways purpose, context and audience shape writing",,1,3
Year 11,English,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS2OKE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key knowledge,Different language modes and their effects on structure and meaning,,1,4
Year 11,English,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS2OKEAL,Outcome 2,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key knowledge,Different language modes and their effects on structure and meaning,,1,4
Year 11,English,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS2OKE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key knowledge,The power of language when deployed by an author to achieve their aims,,1,5
Year 11,English,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS2OKEAL,Outcome 2,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key knowledge,The power of language when deployed by an author to achieve their aims,,1,5
Year 11,English,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS2OKE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key knowledge,The range of ideas presented in various ways in mentor texts,,1,6
Year 11,English,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS2OKEAL,Outcome 2,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key knowledge,The range of ideas presented in various ways in mentor texts,,1,6
Year 11,English,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS2OKE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key knowledge,"Writing processes including drafting, refining and considering feedback",,1,7
Year 11,English,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS2OKEAL,Outcome 2,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key knowledge,"Writing processes including drafting, refining and considering feedback",,1,7
Year 11,English,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS2OKE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key knowledge,The value of collaboration and discussion,,1,8
Year 11,English,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS2OKEAL,Outcome 2,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key knowledge,The value of collaboration and discussion,,1,8
Year 11,English,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS2OKE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key knowledge,"Standard and non-standard conventions of language, including syntax, punctuation and spelling.",,1,9
Year 11,English,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS2OKEAL,Outcome 2,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key knowledge,"Standard and non-standard conventions of language, including syntax, punctuation and spelling.",,1,9
Year 11,English,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS2OSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,"Employ and experiment with vocabulary, text structures and language features for effective writing",,1,1
Year 11,English,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS2OSEAL,Outcome 2,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,"Employ and experiment with vocabulary, text structures and language features for effective writing",,1,1
Year 11,English,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS2OSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,"Write with a clear purpose (to express, to reflect, to explain or to argue) and an awareness of context (including mode) and audience",,1,2
Year 11,English,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS2OSEAL,Outcome 2,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,"Write with a clear purpose (to express, to reflect, to explain or to argue) and an awareness of context (including mode) and audience",,1,2
Year 11,English,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS2OSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,Develop and employ writing processes,,1,3
Year 11,English,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS2OSEAL,Outcome 2,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,Develop and employ writing processes,,1,3
Year 11,English,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS2OSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,"Generate ideas, and discuss, develop and elaborate on these ideas",,1,4
Year 11,English,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS2OSEAL,Outcome 2,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,"Generate ideas, and discuss, develop and elaborate on these ideas",,1,4
Year 11,English,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS2OSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,"Explore voices appropriate to audience, purpose and context (including mode)",,1,5
Year 11,English,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS2OSEAL,Outcome 2,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,"Explore voices appropriate to audience, purpose and context (including mode)",,1,5
Year 11,English,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS2OSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,Experiment with vocabulary for effective writing,,1,6
Year 11,English,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS2OSEAL,Outcome 2,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,Experiment with vocabulary for effective writing,,1,6
Year 11,English,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS2OSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,"Plan, create, draft, refine and complete individual writing",,1,7
Year 11,English,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS2OSEAL,Outcome 2,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,"Plan, create, draft, refine and complete individual writing",,1,7
Year 11,English,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS2OSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,Collaborate on the processes of writing with peers and teachers through discussion and feedback,,1,8
Year 11,English,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS2OSEAL,Outcome 2,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,Collaborate on the processes of writing with peers and teachers through discussion and feedback,,1,8
Year 11,English,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS2OSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,"Recognise and comment on vocabulary, text structures, language features and ideas used in effective writing",,1,9
Year 11,English,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS2OSEAL,Outcome 2,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,"Recognise and comment on vocabulary, text structures, language features and ideas used in effective writing",,1,9
Year 11,English,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS2OSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,Reflect on and share the implications of authorial choices made in their own writing and in the writings of others,,1,10
Year 11,English,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS2OSEAL,Outcome 2,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,Reflect on and share the implications of authorial choices made in their own writing and in the writings of others,,1,10
Year 11,English,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS2OSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,"Apply standard and non-standard conventions of language, including syntax, punctuation and spelling, as appropriate.",,1,11
Year 11,English,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS2OSEAL,Outcome 2,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,"Apply standard and non-standard conventions of language, including syntax, punctuation and spelling, as appropriate.",,1,11
Year 11,English,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS2OSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,Assessment,,1,12
Year 11,English,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS2OSEAL,Outcome 2,EAL Students,"On completion of this unit the student should be able to make personal connections with, and identify selected vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,Assessment,,1,12
Year 11,English,Unit 1,Area of Study 2 - Crafting texts,VCEE11AS2OSE,Outcome 2,English Students,"On completion of this unit the student should be able to make personal connections with, and explore the vocabulary, text structures, language features and ideas in, a text.
To achieve this outcome the student will draw on key knowledge and key skills outlined in Area of Study 1.",Key skills,The award of satisfactory completion for a unit is based on whether the student has demonstrated the set of outcomes specified for the unit. Teachers should use a variety of learning activities and assessment tasks that provide a range of opportunities for students to demonstrate the key knowledge and key skills in the outcomes.,,1,13
