SubjectArea,Subject,SubjectStreamCode,SubjectStreamName,Band,Unit,UnitASCode,AreaofStudy,Outcome,OutcomeCode,ExampleType,ContentType,ExampleText,ParentText,URLTitle,URL,Sequence
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS1,Area of Study 1 - Exploring theatre styles and conventions pre-1945,Outcome 1,VCETSU1AS1O1KK,Activity,Paragraph,Theatrical infographic and excerpt analysis,,,,13
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS1,Area of Study 1 - Exploring theatre styles and conventions pre-1945,Outcome 1,VCETSU1AS1O1KK,Activity,Bullet,"Create an infographic that visually represents the distinguishing features of two or more theatre styles from pre-1945. The infographic should include visuals, timelines and concise descriptions. Other elements may include:",,,,14
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS1,Area of Study 1 - Exploring theatre styles and conventions pre-1945,Outcome 1,VCETSU1AS1O1KK,Activity,Bullet,Influence on the style,"Create an infographic that visually represents the distinguishing features of two or more theatre styles from pre-1945. The infographic should include visuals, timelines and concise descriptions. Other elements may include:",,,15
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS1,Area of Study 1 - Exploring theatre styles and conventions pre-1945,Outcome 1,VCETSU1AS1O1KK,Activity,Bullet,Historical impact of the style,"Create an infographic that visually represents the distinguishing features of two or more theatre styles from pre-1945. The infographic should include visuals, timelines and concise descriptions. Other elements may include:",,,16
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS1,Area of Study 1 - Exploring theatre styles and conventions pre-1945,Outcome 1,VCETSU1AS1O1KK,Activity,Bullet,"Key practitioners, playwrights and theorists.","Create an infographic that visually represents the distinguishing features of two or more theatre styles from pre-1945. The infographic should include visuals, timelines and concise descriptions. Other elements may include:",,,17
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS1,Area of Study 1 - Exploring theatre styles and conventions pre-1945,Outcome 1,VCETSU1AS1O1KK,Activity,Paragraph,"Additionally, select an excerpt from a script associated with each theatre style and provide a written analysis of the themes, structures and stylistic elements present in the excerpts.",,,,18
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS1,Area of Study 1 - Exploring theatre styles and conventions pre-1945,Outcome 1,VCETSU1AS1O1KK,Activity,Paragraph,Oral presentation,,,,19
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS1,Area of Study 1 - Exploring theatre styles and conventions pre-1945,Outcome 1,VCETSU1AS1O1KK,Activity,Bullet,"Prepare a five-minute presentation that summarises research on the selected theatre styles. The presentation should include historical context, key characteristics and notable plays. It should be supported by visual aids such as slides, images and/or short video clips.

Explore two pre-1945 theatre styles in detail, comparing their distinguishing features. Work in small groups towards an oral presentation of findings. Reflect on the distinguishing features in folios/digital journals.",,,,20
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS1,Area of Study 1 - Exploring theatre styles and conventions pre-1945,Outcome 1,VCETSU1AS1O1KK,Activity,Paragraph,Research report,,,,21
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS1,Area of Study 1 - Exploring theatre styles and conventions pre-1945,Outcome 1,VCETSU1AS1O1KK,Activity,Bullet,"Write a detailed research report that explores two or more theatre styles from pre-1945, analysing scripts associated with these styles. The report should include an introduction, background on each theatre style, detailed analysis of scripts, and a conclusion that summarises findings, supported by at least five academic sources.",,,,22
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS1,Area of Study 1 - Exploring theatre styles and conventions pre-1945,Outcome 1,VCETSU1AS1O1KK,Activity,Paragraph,Structured questions,,,,23
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS1,Area of Study 1 - Exploring theatre styles and conventions pre-1945,Outcome 1,VCETSU1AS1O1KK,Activity,Bullet,"Answer a set of structured questions, each requiring short to medium-length responses. The questions will cover historical context, key characteristics, playwrights and script analysis. Provide specific examples from researched scripts to support answers.",,,,24
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS1,Area of Study 1 - Exploring theatre styles and conventions pre-1945,Outcome 1,VCETSU1AS1O1KK,DetailedExample,Paragraph,Oral presentation of theatre styles,,,,25
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS1,Area of Study 1 - Exploring theatre styles and conventions pre-1945,Outcome 1,VCETSU1AS1O1KK,DetailedExampleStep,Paragraph,"Students research, develop and present an oral presentation on Greek Theatre, focusing on its historical context, key conventions, and its influence in theatre. This detailed example includes lesson activities and examples to support the oral presentation.",,,,26
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS1,Area of Study 1 - Exploring theatre styles and conventions pre-1945,Outcome 1,VCETSU1AS1O1KK,DetailedExampleStep,Paragraph,Introduction to Greek Theatre and Chorus,,,,27
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS1,Area of Study 1 - Exploring theatre styles and conventions pre-1945,Outcome 1,VCETSU1AS1O1KK,DetailedExampleStep,Paragraph,"Students begin exploring the social and cultural context by watching a video excerpt of a Greek chorus performance to observe the physicality and vocal techniques used. In groups, students then select a chorus passage from a Greek play (e.g. Antigone by Sophocles) and practise reciting it together, focusing on synchronisation and projection. This practice will help them understand the collective nature of the chorus. They document their experiences and insights in their folios/digital journals, focusing on the challenges and techniques of working as a chorus.",,,,28
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS1,Area of Study 1 - Exploring theatre styles and conventions pre-1945,Outcome 1,VCETSU1AS1O1KK,DetailedExampleStep,Paragraph,Analysing Greek tragedy and comedy,,,,29
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS1,Area of Study 1 - Exploring theatre styles and conventions pre-1945,Outcome 1,VCETSU1AS1O1KK,DetailedExampleStep,Paragraph,"Students conduct a comparative analysis of Greek tragedy and Greek comedy by working in groups with assigned plays (e.g. The Oresteia by Aeschylus for tragedy and Lysistrata by Aristophanes for comedy). Each group creates a presentation highlighting the structure, key themes and stylistic elements of their assigned play. In their groups, they discuss the use of space, physicality and facial expression while creating a series of tableaux depicting key moments from these plays. Finally, students perform selected excerpts from their assigned plays, focusing on delivering lines with the appropriate emotional weight and comedic timing. They then participate in peer feedback sessions to refine their performances.",,,,30
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS1,Area of Study 1 - Exploring theatre styles and conventions pre-1945,Outcome 1,VCETSU1AS1O1KK,DetailedExampleStep,Paragraph,Comparing two script excerpts,,,,31
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS1,Area of Study 1 - Exploring theatre styles and conventions pre-1945,Outcome 1,VCETSU1AS1O1KS,DetailedExampleStep,Paragraph,"Students compare two script excerpts, one from a Greek tragedy and one from a Greek comedy. They analyse the language, themes and character dynamics in each excerpt. This comparison will help students understand the differences and similarities between the two genres. In pairs, students discuss how the playwrights use dialogue and dramatic structure to convey their messages. They also explore how different staging and performance techniques can enhance the meaning of each excerpt. Students document their findings and reflections in their folios/digital journals.",,,,32
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS1,Area of Study 1 - Exploring theatre styles and conventions pre-1945,Outcome 1,VCETSU1AS1O1KK,DetailedExampleStep,Paragraph,Research and preparation for oral presentations,,,,33
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS1,Area of Study 1 - Exploring theatre styles and conventions pre-1945,Outcome 1,VCETSU1AS1O1KK,DetailedExampleStep,Paragraph,"Students engage in thorough research on the historical context and key conventions of Greek Theatre, focusing on elements such as the use of chorus, structure of plays, and thematic content. They prepare visual aids, such as slides or posters, to support their oral presentations. Students develop a structured outline for their presentation, ensuring it includes an introduction, detailed discussion of key points, and a conclusion. They rehearse their presentations in pairs or small groups, focusing on clear articulation, engaging delivery, and effective use of visual aids.",,,,34
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS1,Area of Study 1 - Exploring theatre styles and conventions pre-1945,Outcome 1,VCETSU1AS1O1KK,DetailedExampleStep,Paragraph,Final presentation and reflection,,,,35
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS1,Area of Study 1 - Exploring theatre styles and conventions pre-1945,Outcome 1,VCETSU1AS1O1KK,DetailedExampleStep,Paragraph,"Students deliver their final oral presentations to the class, demonstrating a comprehensive understanding of Greek Theatre. Following their presentations, they engage in a Q&A session with the audience, responding to questions and further explaining key points. Finally, students reflect on the preparation process and their presentation with reference to Outcome 1. They do this in their folios/digital journals, also considering what was challenging, what was successful, and what could be improved for future presentations.",,,,36
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS2,Area of Study 2 - Interpreting scripts,Outcome 2,,,OutcomeHeading,Outcome 2:,,,,1
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS2,Area of Study 2 - Interpreting scripts,Outcome 2,,,OutcomeDescription,Work effectively in production roles to interpret scripts from two or more pre-1945 theatre styles.,,,,2
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS2,Area of Study 2 - Interpreting scripts,Outcome 2,VCETSU1AS2O2KK,Activity,Paragraph,Example of learning activities,,,,3
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS2,Area of Study 2 - Interpreting scripts,Outcome 2,VCETSU1AS2O2KK,Activity,Paragraph,Planning and brainstorming,,,,4
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS2,Area of Study 2 - Interpreting scripts,Outcome 2,VCETSU1AS2O2KK,Activity,Bullet,"In the initial stage of the production process, engage in a collaborative brainstorming session to plan an interpretation of selected scripts from pre-1945 theatre styles. Discuss key themes, characters, settings, and stylistic elements of the scripts. Generate ideas and develop a unified vision for the production.",,,,5
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS2,Area of Study 2 - Interpreting scripts,Outcome 2,VCETSU1AS2O2KK,Activity,Paragraph,Script annotations,,,,6
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS2,Area of Study 2 - Interpreting scripts,Outcome 2,VCETSU1AS2O2KK,Activity,Bullet,"To deepen understanding of the selected scripts, annotate the texts by marking important lines, noting directorial and design ideas, and highlighting areas requiring further research or clarification. This activity will encourage deeper engagement with the scripts, enabling connections to be made between the textual elements and production concepts. Annotations serve as a valuable reference during rehearsals and provide a foundation for detailed character and scene development.",,,,7
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS2,Area of Study 2 - Interpreting scripts,Outcome 2,VCETSU1AS2O2KK,Activity,Paragraph,Development exercises in style,,,,8
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS2,Area of Study 2 - Interpreting scripts,Outcome 2,VCETSU1AS2O2KK,Activity,Bullet,"Participate in exercises where specific styles of the selected scripts from the pre-1945 period are explored in detail. Engage in physical and vocal warm-ups, movement exercises, and improvisations based on stylistic conventions of the chosen styles. Use these exercises to assist in interpreting the scripts and understanding the stylistic conventions of the period.",,,,9
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS2,Area of Study 2 - Interpreting scripts,Outcome 2,VCETSU1AS2O2KK,Activity,Paragraph,Development of rehearsal techniques,,,,10
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS2,Area of Study 2 - Interpreting scripts,Outcome 2,VCETSU1AS2O2KK,Activity,Bullet,"During rehearsals of the selected scripts, focus on developing the interpretation of the scripts through techniques such as blocking, character development, and integrating design elements. Use peer and teacher feedback to refine performances, ensuring a cohesive and polished production. Rehearsals provide opportunities to experiment with different approaches.",,,,11
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS2,Area of Study 2 - Interpreting scripts,Outcome 2,VCETSU1AS2O2KK,Activity,Paragraph,Dress rehearsal,,,,12
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS2,Area of Study 2 - Interpreting scripts,Outcome 2,VCETSU1AS2O2KK,Activity,Bullet,"In one of the final stages of presentation, conduct a full dress rehearsal, incorporating all technical elements such as costumes, props, lighting and sound (or the production roles that have been selected by members of the class). This rehearsal will simulate the final performance conditions as closely as possible, providing an opportunity to integrate all aspects of the production work. The goal is to finalise the production, ensuring that all elements are ready for the performance.",,,,13
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS2,Area of Study 2 - Interpreting scripts,Outcome 2,VCETSU1AS2O2KK,DetailedExample,Paragraph,Script annotations,,,,14
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS2,Area of Study 2 - Interpreting scripts,Outcome 2,VCETSU1AS2O2KK,DetailedExampleStep,Paragraph,"Students deepen their understanding of the selected scripts by conducting detailed script analysis and participating in a series of script annotation exercises. This detailed example builds on students' initial annotations and allows them to explore directorial and design concepts in depth, as well as engage in practical applications of their ideas.",,,,15
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS2,Area of Study 2 - Interpreting scripts,Outcome 2,VCETSU1AS2O2KK,DetailedExampleStep,Paragraph,Detailed script analysis,,,,16
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS2,Area of Study 2 - Interpreting scripts,Outcome 2,VCETSU1AS2O2KK,DetailedExampleStep,Paragraph,"Students start by revisiting their initial script annotations, expanding them to include more detailed analyses of key scenes, characters and thematic elements. They focus on understanding the playwright's intentions and how these can be realised in production. Students identify significant moments in the script that require particular attention and propose potential directorial and design approaches. These analyses are documented in their folios/digital journals, providing a comprehensive reference for future rehearsals.",,,,17
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS2,Area of Study 2 - Interpreting scripts,Outcome 2,VCETSU1AS2O2KK,DetailedExampleStep,Paragraph,Character and scene workshops,,,,18
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS2,Area of Study 2 - Interpreting scripts,Outcome 2,VCETSU1AS2O2KK,DetailedExampleStep,Paragraph,"Students participate in workshops that focus on developing their interpretations of characters and scenes from the scripts. They work in their assigned and/or selected production roles (e.g. director, designer, actor) to experiment with different approaches to character development and scene staging. Through a series of improvisation exercises and blocking rehearsals, students explore how to bring their annotated ideas to life. This practical exploration helps them refine their production concepts and prepare for more detailed scene work.",,,,19
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS2,Area of Study 2 - Interpreting scripts,Outcome 2,VCETSU1AS2O2KK,DetailedExampleStep,Paragraph,Script annotation techniques:,,,,20
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS2,Area of Study 2 - Interpreting scripts,Outcome 2,VCETSU1AS2O2KS,DetailedExampleStep,Bullet,"Identify and highlight key lines that reveal important information about characters, plot and themes. Annotate the margins with notes on why these lines are significant and how they contribute to the overall understanding of the play.",,,,21
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS2,Area of Study 2 - Interpreting scripts,Outcome 2,VCETSU1AS2O2KK,DetailedExampleStep,Bullet,"For those in the director role, write notes on potential staging (including stage type), blocking and pacing for each scene. Consider how to use space effectively and how to bring out the style and thematic depth of the script through directorial choices.","Identify and highlight key lines that reveal important information about characters, plot and themes. Annotate the margins with notes on why these lines are significant and how they contribute to the overall understanding of the play.",,,22
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS2,Area of Study 2 - Interpreting scripts,Outcome 2,VCETSU1AS2O2KK,DetailedExampleStep,Bullet,"Designers add notes on set, costume, prop, hair and make-up, lighting and sound with ideas that align with the script's period and style. Sketch quick visuals or write detailed descriptions to capture the envisioned aesthetic and practical elements.","Identify and highlight key lines that reveal important information about characters, plot and themes. Annotate the margins with notes on why these lines are significant and how they contribute to the overall understanding of the play.",,,23
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS2,Area of Study 2 - Interpreting scripts,Outcome 2,VCETSU1AS2O2KK,DetailedExampleStep,Bullet,"Actors annotate the script with insights into their character's motivations, objectives and relationships. Highlight emotional beats and significant changes in the character's journey throughout the play.","Identify and highlight key lines that reveal important information about characters, plot and themes. Annotate the margins with notes on why these lines are significant and how they contribute to the overall understanding of the play.",,,24
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS2,Area of Study 2 - Interpreting scripts,Outcome 2,VCETSU1AS2O2KK,DetailedExampleStep,Bullet,"Students focus on the specific tasks related to their assigned production roles, using their annotations to guide their work.",,,,25
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS2,Area of Study 2 - Interpreting scripts,Outcome 2,VCETSU1AS2O2KK,DetailedExampleStep,Bullet,"Use the annotated script to create a preliminary blocking plan. Conduct scene rehearsals to experiment with different staging ideas, adjusting as necessary based on what works best in practice.",,,,26
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS2,Area of Study 2 - Interpreting scripts,Outcome 2,VCETSU1AS2O2KK,DetailedExampleStep,Bullet,Develop more detailed sketches and models based on the initial design ideas in the annotations. Collaborate between directors and actors to ensure the designs support the overall vision of the production.,,,,27
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS2,Area of Study 2 - Interpreting scripts,Outcome 2,VCETSU1AS2O2KK,DetailedExampleStep,Bullet,"Use the annotated script to inform character development exercises, such as hot-seating and improvisation. Practise delivering lines with the annotated emotional beats and intentions, refining the performance based on feedback.",,,,28
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS3,Area of Study 3 - Analysing a theatre production in performance,Outcome 3,,,OutcomeHeading,Outcome 3:,,,,1
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS3,Area of Study 3 - Analysing a theatre production in performance,Outcome 3,,,OutcomeDescription,Analyse a live professional performance.,,,,2
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS3,Area of Study 3 - Analysing a theatre production in performance,Outcome 3,VCETSU1AS3O3KK,Activity,Paragraph,Example of learning activities,,,,3
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS3,Area of Study 3 - Analysing a theatre production in performance,Outcome 3,VCETSU1AS3O3KK,Activity,Paragraph,Actor-audience relationships,,,,4
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS3,Area of Study 3 - Analysing a theatre production in performance,Outcome 3,VCETSU1AS3O3KK,Activity,Bullet,Observe a live performance to gain firsthand experience of the techniques used to establish a strong actor-audience connection and the impact it has on the audience's engagement and emotional response.,,,,5
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS3,Area of Study 3 - Analysing a theatre production in performance,Outcome 3,VCETSU1AS3O3KS,Activity,Paragraph,"Analyse the dynamics between the actors and audience in a live performance setting. Focus on how actors engage with the audience through conventions and directorial decisions, such as direct address, physical proximity, manipulation of acting space, and eye contact. By examining these interactions, gain insight into how actors build rapport and convey meaning effectively.",,,,6
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS3,Area of Study 3 - Analysing a theatre production in performance,Outcome 3,VCETSU1AS3O3KK,Activity,Paragraph,Elements of theatre composition,,,,7
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS3,Area of Study 3 - Analysing a theatre production in performance,Outcome 3,VCETSU1AS3O3KS,Activity,Bullet,"Analyse the elements of theatre composition in a live performance, including: motion, rhythm, variation, contrast, cohesion and emphasis. Observe how the director and designers arrange these elements to create a cohesive and visually compelling production. By breaking down specific scenes, practise describing and analysing the compositional choices that contribute to the performance's aesthetic and narrative clarity.",,,,8
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS3,Area of Study 3 - Analysing a theatre production in performance,Outcome 3,VCETSU1AS3O3KK,Activity,Paragraph,Style and intended effects,,,,9
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS3,Area of Study 3 - Analysing a theatre production in performance,Outcome 3,VCETSU1AS3O3KK,Activity,Bullet,"Explore the stylistic choices made in a live performance and their intended effects on the audience. Consider how the performance style aligns with the director's vision and the play's themes. Compare different stylistic elements (such as realism, expressionism or absurdism) and analyse how these choices influence the audience's interpretation and emotional response.",,,,10
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS3,Area of Study 3 - Analysing a theatre production in performance,Outcome 3,VCETSU1AS3O3KS,Activity,Paragraph,Annotate and compare three scenes,,,,11
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS3,Area of Study 3 - Analysing a theatre production in performance,Outcome 3,VCETSU1AS3O3KK,Activity,Bullet,"Select three scenes from the live performance seen, and annotate, compare and contrast them. Focus on key aspects such as character interactions, use of space, and thematic content. When annotating the scenes, identify significant directorial and design decisions, as well as the effectiveness of the actors' performances. Comparing the scenes will facilitate an evaluation of how different moments in the production contribute to the overall narrative and thematic development. Use this activity to strengthen analytical skills and the ability to articulate critical observations.",,,,12
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS3,Area of Study 3 - Analysing a theatre production in performance,Outcome 3,VCETSU1AS3O3KK,DetailedExample,Paragraph,Elements of theatre composition,,,,13
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS3,Area of Study 3 - Analysing a theatre production in performance,Outcome 3,VCETSU1AS3O3KK,DetailedExampleStep,Paragraph,"Students read the script of a pre-1945 play, attend a live performance of the same play, and analyse the elements of theatre composition as they were conveyed on stage . They consolidate their understanding of the production process by taking notes about the live production. In order to write their analysis, they revisit these notes, focusing on the elements of theatre composition. They document how these elements were used in key scenes to create meaning and impact.",,,,14
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS3,Area of Study 3 - Analysing a theatre production in performance,Outcome 3,VCETSU1AS3O3KK,DetailedExampleStep,Paragraph,Detailed breakdown of elements,,,,15
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS3,Area of Study 3 - Analysing a theatre production in performance,Outcome 3,VCETSU1AS3O3KK,DetailedExampleStep,Paragraph,"In completing this activity, students respond to guidelines such as the following:",,,,16
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS3,Area of Study 3 - Analysing a theatre production in performance,Outcome 3,VCETSU1AS3O3KS,DetailedExampleStep,Bullet,"Motion: Analyse how the use of motion influenced the dynamics of the performance. Note the movement of actors, use of set pieces, and choreography. Consider how physical movements highlighted relationships and conveyed emotions.",,,,17
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS3,Area of Study 3 - Analysing a theatre production in performance,Outcome 3,VCETSU1AS3O3KK,DetailedExampleStep,Bullet,"Rhythm: Examine the pacing and flow of the performance. Identify moments of tension and release, fast and slow scenes, and how rhythm was used to engage the audience. Highlight scenes where rhythm was particularly effective in conveying emotion or advancing the plot.",,,,18
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS3,Area of Study 3 - Analysing a theatre production in performance,Outcome 3,VCETSU1AS3O3KK,DetailedExampleStep,Bullet,"Variation: Observe how variation in performance elements (e.g. voice, movement, lighting) contributed to the storytelling. Document specific examples where variation enhanced the narrative.",,,,19
Performing Arts,Theatre Studies,,,Year 11,Unit 1,VCETSU1AS3,Area of Study 3 - Analysing a theatre production in performance,Outcome 3,VCETSU1AS3O3KS,DetailedExampleStep,Bullet,Cohesion: Analyse how elements were used to create a cohesive aesthetic. Note the use of consistent design elements and performance styles. Discuss how cohesion contributed to the overall unity of the performance.,,,,20
