SubjectArea,Subject,Band,AssessmentType,AssessmentInformationDetails,AssessmentYears,UnitASCode,EQCode,EQGradeCode,Mark,Grade,EQSection,EQHeader,EQSkill,EQDescription,Sequence
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS1,VCEEU4AS1",VCEE12EQA,VCEE12EQA07,7,B,A,,,"Understands the topic, developing a sustained and well-supported response",12
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS1,VCEEU4AS1",VCEE12EQA,VCEE12EQA07,7,B,A,,,Develops an organised piece of writing using language accurately and appropriately,13
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS1,VCEEU4AS1",VCEE12EQA,VCEE12EQA06,6,C+,A,,C+ Student:,"Demonstrates a clear knowledge of the text, including some elements of its ideas, concerns and values and some awareness of structure and language",14
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS1,VCEEU4AS1",VCEE12EQA,VCEE12EQA06,6,C+,A,,,"Develops a response to the topic, supported by appropriate evidence from the text",15
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS1,VCEEU4AS1",VCEE12EQA,VCEE12EQA06,6,C+,A,,,Presents a generally organised piece of writing using language that is mostly accurate and appropriate,16
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS1,VCEEU4AS1",VCEE12EQA,VCEE12EQA05,5,C,A,,C Student:,"Demonstrates an adequate knowledge of the text and makes some reference to its ideas, concerns and values",17
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS1,VCEEU4AS1",VCEE12EQA,VCEE12EQA05,5,C,A,,,Presents a response that shows an understanding of the topic referring to evidence from the text,18
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS1,VCEEU4AS1",VCEE12EQA,VCEE12EQA05,5,C,A,,,"Presents a piece of writing that communicates adequately, displaying some elements of organisation",19
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS1,VCEEU4AS1",VCEE12EQA,VCEE12EQA04,4,D+,A,,D+ Student:,"Demonstrates basic knowledge of the text with limited reference to ideas, concerns and values",20
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS1,VCEEU4AS1",VCEE12EQA,VCEE12EQA04,4,D+,A,,,Presents a response that shows some understanding of the topic,21
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS1,VCEEU4AS1",VCEE12EQA,VCEE12EQA04,4,D+,A,,,Shows adequate expression and language control,22
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS1,VCEEU4AS1",VCEE12EQA,VCEE12EQA03,3,D,A,,D Student:,Shows a familiarity with the text,23
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS1,VCEEU4AS1",VCEE12EQA,VCEE12EQA03,3,D,A,,,Shows a limited awareness of the topic,24
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS1,VCEEU4AS1",VCEE12EQA,VCEE12EQA03,3,D,A,,,Shows basic expression and language control,25
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS1,VCEEU4AS1",VCEE12EQA,VCEE12EQA02,2,E+,A,,E+ Student:,Shows limited familiarity with the text,26
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS1,VCEEU4AS1",VCEE12EQA,VCEE12EQA02,2,E+,A,,,Shows a very limited awareness of the topic,27
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS1,VCEEU4AS1",VCEE12EQA,VCEE12EQA02,2,E+,A,,,Uses language that is not always clear,28
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS1,VCEEU4AS1",VCEE12EQA,VCEE12EQA01,1,E,A,,E Student:,Shows limited familiarity with the text,29
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS1,VCEEU4AS1",VCEE12EQA,VCEE12EQA01,1,E,A,,,Shows a very limited awareness of the topic,30
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS1,VCEEU4AS1",VCEE12EQA,VCEE12EQA01,1,E,A,,,Uses language that is not always clear,31
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS1,VCEEU4AS1",VCEE12EQA,VCEE12EQA00,0,NR,A,,NR Student:,Shows no knowledge of the text and/or no attempt to engage with the topic and/or only minimal control of language,32
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS2,VCEEU4AS2",VCEE12EQB,,,,B,"Expected qualities for the mark range:

Section B - Creating a text",,,1
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS2,VCEEU4AS2",VCEE12EQB,VCEE12EQB10,10,A+,B,,A+ Student:,Demonstrates insightful consideration of the ideas raised by the title and stimulus in connection with a Framework of Ideas,2
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS2,VCEEU4AS2",VCEE12EQB,VCEE12EQB10,10,A+,B,,,Creates a cohesive text with an explicit purpose(s) and an appropriate voice,3
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS2,VCEEU4AS2",VCEE12EQB,VCEE12EQB10,10,A+,B,,,"Demonstrates sophisticated control of language and text structure(s), that makes rich use of vocabulary and language features",4
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS2,VCEEU4AS2",VCEE12EQB,VCEE12EQB09,9,A,B,,A Student:,Demonstrates insightful consideration of the ideas raised by the title and stimulus in connection with a Framework of Ideas,5
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS2,VCEEU4AS2",VCEE12EQB,VCEE12EQB09,9,A,B,,,Creates a cohesive text with an explicit purpose(s) and an appropriate voice,6
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS2,VCEEU4AS2",VCEE12EQB,VCEE12EQB09,9,A,B,,,"Demonstrates sophisticated control of language and text structure(s), that makes rich use of vocabulary and language features",7
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS2,VCEEU4AS2",VCEE12EQB,VCEE12EQB08,8,B+,B,,B+ Student:,Demonstrates an astute exploration of the ideas raised by the title and stimulus in connection with a Framework of Ideas,8
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS2,VCEEU4AS2",VCEE12EQB,VCEE12EQB08,8,B+,B,,,Creates a coherent text with an explicit purpose(s) and an appropriate voice,9
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS2,VCEEU4AS2",VCEE12EQB,VCEE12EQB08,8,B+,B,,,"Demonstrates confident control of language and text structure(s), that makes thoughtful use of vocabulary and language features",10
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS2,VCEEU4AS2",VCEE12EQB,VCEE12EQB07,7,B,B,,B Student:,Demonstrates a detailed connection to the ideas raised by the title and stimulus related to a Framework of Ideas,11
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS2,VCEEU4AS2",VCEE12EQB,VCEE12EQB07,7,B,B,,,Creates a coordinated text with a clear purpose(s) and an appropriate voice,12
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS2,VCEEU4AS2",VCEE12EQB,VCEE12EQB07,7,B,B,,,"Demonstrates sound control of language and text structure(s), that makes clear use of vocabulary and language features",13
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS2,VCEEU4AS2",VCEE12EQB,VCEE12EQB06,6,C+,B,,C+ Student:,Develops a clear connection to the ideas raised by the title and stimulus with reference to a Framework of Ideas,14
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS2,VCEEU4AS2",VCEE12EQB,VCEE12EQB06,6,C+,B,,,Creates a connected text with a clear purpose(s) and an appropriate voice,15
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS2,VCEEU4AS2",VCEE12EQB,VCEE12EQB06,6,C+,B,,,"Demonstrates clear control of language and text structure(s), makes effective use of vocabulary and language features",16
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS2,VCEEU4AS2",VCEE12EQB,VCEE12EQB05,5,C,B,,C Student:,Develops an adequate connection to the ideas raised by the title and stimulus with reference to a Framework of Ideas,17
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS2,VCEEU4AS2",VCEE12EQB,VCEE12EQB05,5,C,B,,,Creates an organised text that is linked to a purpose(s) and has an appropriate voice,18
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS2,VCEEU4AS2",VCEE12EQB,VCEE12EQB05,5,C,B,,,"Demonstrates adequate control of language and text structure(s), that makes some use of vocabulary and language features",19
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS2,VCEEU4AS2",VCEE12EQB,VCEE12EQB04,4,D+,B,,D+ Student:,Shows a basic connection to the ideas raised by the title and stimulus,20
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS2,VCEEU4AS2",VCEE12EQB,VCEE12EQB04,4,D+,B,,,Shows some connection to a purpose(s) and some awareness of voice,21
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS2,VCEEU4AS2",VCEE12EQB,VCEE12EQB04,4,D+,B,,,"Shows basic control of language and text structure(s), that makes simple use of vocabulary and language features",22
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS2,VCEEU4AS2",VCEE12EQB,VCEE12EQB03,3,D,B,,D Student:,Shows limited connection to the ideas raised by the title and stimulus,23
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS2,VCEEU4AS2",VCEE12EQB,VCEE12EQB03,3,D,B,,,Shows limited awareness of purpose or appropriate voice,24
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS2,VCEEU4AS2",VCEE12EQB,VCEE12EQB03,3,D,B,,,Shows limited control of language and structure,25
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS2,VCEEU4AS2",VCEE12EQB,VCEE12EQB02,2,E+,B,,E+ Student:,Shows little or no apparent connection to ideas raised by the title and stimulus,26
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS2,VCEEU4AS2",VCEE12EQB,VCEE12EQB02,2,E+,B,,,Shows little awareness of the purpose(s) of their text,27
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS2,VCEEU4AS2",VCEE12EQB,VCEE12EQB02,2,E+,B,,,Uses language that is not always clear,28
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS2,VCEEU4AS2",VCEE12EQB,VCEE12EQB01,1,E,B,,E Student:,Shows little or no apparent connection to ideas raised by the title and stimulus,29
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS2,VCEEU4AS2",VCEE12EQB,VCEE12EQB01,1,E,B,,,Shows little awareness of the purpose(s) of their text,30
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS2,VCEEU4AS2",VCEE12EQB,VCEE12EQB01,1,E,B,,,Uses language that is not always clear,31
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS2,VCEEU4AS2",VCEE12EQB,VCEE12EQB00,0,NR,B,,NR Student:,Shows no knowledge of the task and/or no attempt to engage with the task,32
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS2,VCEEU4AS2",VCEE12EQC,,,,C,"Expected qualities for the mark range:

Section C - Analysis of argument and language",,,1
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS2,VCEEU4AS2",VCEE12EQC,VCEE12EQC10,10,A+,C,,A+ Student:,"Demonstrates a perceptive understanding of contention, the development of argument(s) as constructed in the text and the point of view expressed",2
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS2,VCEEU4AS2",VCEE12EQC,VCEE12EQC10,10,A+,C,,,Demonstrates sophisticated insight into the ways in which written and spoken language and visuals complement the argument(s) and are used to persuade the intended audience,3
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS2,VCEEU4AS2",VCEE12EQC,VCEE12EQC10,10,A+,C,,,Uses sophisticated and precise language,4
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS2,VCEEU4AS2",VCEE12EQC,VCEE12EQC09,9,A,C,,A Student:,"Demonstrates a perceptive understanding of contention, the development of argument(s) as constructed in the text and the point of view expressed",5
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS2,VCEEU4AS2",VCEE12EQC,VCEE12EQC09,9,A,C,,,Demonstrates sophisticated insight into the ways in which written and spoken language and visuals complement the argument(s) and are used to persuade the intended audience,6
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS2,VCEEU4AS2",VCEE12EQC,VCEE12EQC09,9,A,C,,,Uses sophisticated and precise language,7
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS2,VCEEU4AS2",VCEE12EQC,VCEE12EQC08,8,B+,C,,B+ Student:,"Demonstrates a thoughtful understanding of contention, the development of argument(s) as constructed in the text and the point of view expressed",8
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS2,VCEEU4AS2",VCEE12EQC,VCEE12EQC08,8,B+,C,,,Demonstrates sound insight into the ways in which the written and spoken language and visuals work together to build the argument(s) and persuade the intended audience,9
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS2,VCEEU4AS2",VCEE12EQC,VCEE12EQC08,8,B+,C,,,Uses language confidently,10
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS2,VCEEU4AS2",VCEE12EQC,VCEE12EQC07,7,B,C,,B Student:,"Demonstrates detailed understanding of contention, argument(s) presented in the text and the point of view expressed",11
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS2,VCEEU4AS2",VCEE12EQC,VCEE12EQC07,7,B,C,,,Demonstrates insight into the ways in which the written and spoken language and visuals in the text are used to persuade the intended audience,12
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS2,VCEEU4AS2",VCEE12EQC,VCEE12EQC07,7,B,C,,,Uses fluent expression,13
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS2,VCEEU4AS2",VCEE12EQC,VCEE12EQC06,6,C+,C,,C+ Student:,"Demonstrates a clear understanding of contention, the argument(s) presented in the text and the point of view expressed",14
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS2,VCEEU4AS2",VCEE12EQC,VCEE12EQC06,6,C+,C,,,Demonstrates some awareness of the ways in which the written and spoken language and visuals in the text are used to persuade the intended audience,15
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS2,VCEEU4AS2",VCEE12EQC,VCEE12EQC06,6,C+,C,,,uses competent expression,16
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS2,VCEEU4AS2",VCEE12EQC,VCEE12EQC05,5,C,C,,C Student:,"Demonstrates adequate understanding of contention, the argument(s) presented and the point of view expressed",17
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS2,VCEEU4AS2",VCEE12EQC,VCEE12EQC05,5,C,C,,,Demonstrates basic awareness of the ways in which the written and spoken language and visuals in the text are used to persuade the intended audience,18
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS2,VCEEU4AS2",VCEE12EQC,VCEE12EQC05,5,C,C,,,Uses language adequately,19
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS2,VCEEU4AS2",VCEE12EQC,VCEE12EQC04,4,D+,C,,D+ Student:,"Demonstrates a basic understanding of the contention, the argument(s) and point of view expressed",20
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS2,VCEEU4AS2",VCEE12EQC,VCEE12EQC04,4,D+,C,,,Describes the ways in which written and spoken language and visuals are used to persuade an audience,21
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS2,VCEEU4AS2",VCEE12EQC,VCEE12EQC04,4,D+,C,,,Uses basic language,22
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS2,VCEEU4AS2",VCEE12EQC,VCEE12EQC03,3,D,C,,D Student:,Shows a limited knowledge of the argument(s) or point of view,23
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS2,VCEEU4AS2",VCEE12EQC,VCEE12EQC03,3,D,C,,,Shows a limited knowledge of the ways in which written and spoken language and visuals are used,24
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS2,VCEEU4AS2",VCEE12EQC,VCEE12EQC03,3,D,C,,,Attempts basic language,25
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS2,VCEEU4AS2",VCEE12EQC,VCEE12EQC02,2,E+,C,,E+ Student:,Shows little understanding of the material,26
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS2,VCEEU4AS2",VCEE12EQC,VCEE12EQC02,2,E+,C,,,Shows only minimal knowledge of the task,27
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS2,VCEEU4AS2",VCEE12EQC,VCEE12EQC02,2,E+,C,,,Uses language that is not always clear,28
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS2,VCEEU4AS2",VCEE12EQC,VCEE12EQC01,1,E,C,,E Student:,Shows little understanding of the material,29
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS2,VCEEU4AS2",VCEE12EQC,VCEE12EQC01,1,E,C,,,Shows only minimal knowledge of the task,30
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS2,VCEEU4AS2",VCEE12EQC,VCEE12EQC01,1,E,C,,,Uses language that is not always clear,31
English,English,Year 12,Final Exam,Pre Exam Criteria,2024-2027,"VCEEU3AS2,VCEEU4AS2",VCEE12EQC,VCEE12EQC00,0,NR,C,,NR Student:,Shows no understanding of the requirements of the task,32
