Subject,Band,Strand,ComponentText,LinkedContentCodes,ConfidenceScore,Keywords
Health and Physical Education,Levels 3 and 4,"Personal, Social and Community Health",Students refine and apply fundamental movement skills and demonstrate movement concepts across a range of situations.,"VC2HP4M01,VC2HP4M03",High,"across,apply,concepts,demonstrate,fundamental,movement,range,refine,situations,skills"
Health and Physical Education,Levels 3 and 4,Movement and Physical Activity,They apply movement strategies to enhance movement outcomes.,"VC2HP4M02,VC2HP4M08",High,"apply,enhance,movement,outcomes,strategies"
Health and Physical Education,Levels 3 and 4,Movement and Physical Activity,They perform movement sequences using fundamental movement skills.,VC2HP4M04,High,"fundamental,movement,perform,sequences,skills,using"
Health and Physical Education,Levels 3 and 4,Movement and Physical Activity,"Students describe the benefits of regular physical activity on health, wellbeing and physical fitness.",VC2HP4M05,High,"activity,benefits,describe,fitness,health,physical,regular,wellbeing"
Health and Physical Education,Levels 3 and 4,Movement and Physical Activity,They examine contextual factors that influence safe participation in physical activity and propose strategies to incorporate regular physical activity into their own and others’ lives.,"VC2HP4M06,VC2HP4M07",High,"activity,contextual,examine,factors,incorporate,influence,lives,others,own,participation,physical,propose,regular,safe,strategies"
Health and Physical Education,Levels 3 and 4,Movement and Physical Activity,Students demonstrate fair play and inclusion through a range of roles in movement contexts.,"VC2HP4M09,VC2HP4M10",High,"contexts,demonstrate,fair,inclusion,movement,play,range,roles"
Health and Physical Education,Levels 5 and 6,"Personal, Social and Community Health","By the end of Level 6, students explain how different contextual factors influence identities.",VC2HP6P01,High,"contextual,different,end,explain,factors,how,identities,influence,level"
Health and Physical Education,Levels 5 and 6,"Personal, Social and Community Health",They propose strategies to manage developmental changes and transitions.,VC2HP6P02,High,"changes,developmental,manage,propose,strategies,transitions"
Health and Physical Education,Levels 5 and 6,"Personal, Social and Community Health",They explain how stereotypes influence roles and responsibilities.,VC2HP6P03,High,"explain,how,influence,responsibilities,roles,stereotypes"
Health and Physical Education,Levels 5 and 6,"Personal, Social and Community Health","Students propose and apply strategies to demonstrate respect, empathy and inclusion to positively influence relationships.","VC2HP6P04,VC2HP6P05",High,"apply,demonstrate,empathy,inclusion,influence,positively,propose,relationships,respect,strategies"
Health and Physical Education,Levels 5 and 6,"Personal, Social and Community Health",They propose strategies to manage emotions and analyse the influence of these strategies on relationships.,VC2HP6P06,High,"analyse,emotions,influence,manage,propose,relationships,strategies"
Health and Physical Education,Levels 5 and 6,"Personal, Social and Community Health","They explain how communication skills, protective behaviours and help-seeking strategies can help keep themselves and others safe online and offline.","VC2HP6P07,VC2HP6P08",High,"behaviours,communication,explain,help,how,keep,offline,online,others,protective,safe,seeking,skills,strategies,themselves"
Health and Physical Education,Levels 5 and 6,"Personal, Social and Community Health","Students analyse health information to refine strategies that can enhance their own and others’ health, safety, relationships and wellbeing.","VC2HP6P09,VC2HP6P10",High,"analyse,enhance,health,information,others,own,refine,relationships,safety,strategies,wellbeing"
Health and Physical Education,Levels 5 and 6,Movement and Physical Activity,Students refine and modify movement skills and apply movement concepts across a range of situations.,"VC2HP6M01,VC2HP6M03",High,"across,apply,concepts,modify,movement,range,refine,situations,skills"
Health and Physical Education,Levels 5 and 6,Movement and Physical Activity,They transfer movement strategies between situations and analyse the impact on movement outcomes.,"VC2HP6M02,VC2HP6M08",High,"analyse,between,impact,movement,outcomes,situations,strategies,transfer"
Health and Physical Education,Levels 5 and 6,Movement and Physical Activity,They apply the elements of movement when creating movement sequences.,VC2HP6M04,High,"apply,creating,elements,movement,sequences"
Health and Physical Education,Levels 5 and 6,Movement and Physical Activity,Students analyse the body’s response to physical activity of varying intensity.,VC2HP6M05,High,"activity,analyse,body,intensity,physical,response,varying"
Health and Physical Education,Levels 5 and 6,Movement and Physical Activity,They propose strategies to promote safe physical activity participation that enhance health and wellbeing.,"VC2HP6M06,VC2HP6P07",High,"activity,enhance,health,participation,physical,promote,propose,safe,strategies,wellbeing"
Health and Physical Education,Levels 5 and 6,Movement and Physical Activity,Students describe contributions they can make as a group and team member to support fair play and inclusion across a range of movement contexts.,"VC2HP6M09,VC2HP6M10",High,"across,contexts,contributions,describe,fair,group,inclusion,make,member,movement,play,range,support,team"
Health and Physical Education,Levels 7 and 8,"Personal, Social and Community Health","By the end of Level 8, students analyse factors that influence identities and responses to change, and describe strategies to support themselves and others in responding to these influences.","VC2HP8P01,VC2HP8P02",High,"analyse,change,describe,end,factors,identities,influence,influences,level,others,responding,responses,strategies,support,themselves"
Health and Physical Education,Levels 7 and 8,"Personal, Social and Community Health","They analyse how stereotypes, respect, empathy and valuing diversity influence relationships.","VC2HP8P03,VC2HP8P04,VC2HP8P05",Medium,"analyse,diversity,empathy,how,influence,relationships,respect,stereotypes,valuing"
Health and Physical Education,Levels 7 and 8,"Personal, Social and Community Health",They analyse factors that influence emotional responses and justify strategies to manage emotions.,VC2HP8P06,High,"analyse,emotional,emotions,factors,influence,justify,manage,responses,strategies"
Health and Physical Education,Levels 7 and 8,"Personal, Social and Community Health","Students analyse the effectiveness of assertive communication strategies, protective behaviours and help-seeking strategies applied online and offline (interacting with others).","VC2HP8P07,VC2HP8P08",High,"analyse,applied,assertive,behaviours,communication,effectiveness,help,interacting,offline,online,others,protective,seeking,strategies"
Health and Physical Education,Levels 7 and 8,"Personal, Social and Community Health","They analyse health information and messages to propose and design strategies that can enhance their own and others’ health, safety, relationships and wellbeing.","VC2HP8P09,VC2HP8P10",High,"analyse,design,enhance,health,information,messages,others,own,propose,relationships,safety,strategies,wellbeing"
Health and Physical Education,Levels 7 and 8,Movement and Physical Activity,Students apply and transfer movement skills and movement concepts across a range of situations.,"VC2HP8M01,VC2HP8M03",High,"across,apply,concepts,movement,range,situations,skills,transfer"
Health and Physical Education,Levels 7 and 8,Movement and Physical Activity,They implement and evaluate the effectiveness of movement strategies on movement outcomes.,"VC2HP8M02,VC2HP8M08",High,"effectiveness,evaluate,implement,movement,outcomes,strategies"
Health and Physical Education,Levels 7 and 8,Movement and Physical Activity,They adapt and apply the elements of movement to compose and perform movement sequences.,VC2HP8M04,High,"adapt,apply,compose,elements,movement,perform,sequences"
Health and Physical Education,Levels 7 and 8,Movement and Physical Activity,Students propose strategies designed to achieve personal fitness and evaluate their impact on health and wellbeing outcomes.,VC2HP8M05,High,"achieve,designed,evaluate,fitness,health,impact,outcomes,personal,propose,strategies,wellbeing"
Health and Physical Education,Levels 7 and 8,Movement and Physical Activity,They propose and evaluate strategies designed to promote personal health and wellbeing outcomes.,"VC2HP8M06,VC2HP8M07",High,"designed,evaluate,health,outcomes,personal,promote,propose,strategies,wellbeing"
Health and Physical Education,Levels 7 and 8,Movement and Physical Activity,"Students apply and refine strategies to support inclusion, fair play and collaboration across a range of movement contexts.","VC2HP8M09,VC2HP8M10",High,"across,apply,collaboration,contexts,fair,inclusion,movement,play,range,refine,strategies,support"
Health and Physical Education,Levels 9 and 10,"Personal, Social and Community Health","By the end of Level 10, students propose and evaluate personal strategies to manage their identities and responses to change and transitions.","VC2HP10P01,VC2HP10P02",High,"change,end,evaluate,identities,level,manage,personal,propose,responses,strategies,transitions"
Health and Physical Education,Levels 9 and 10,"Personal, Social and Community Health","They evaluate how attitudes and beliefs about equality, respect, diversity and inclusion influence the nature and quality of relationships.","VC2HP10P039,VC2HP10P04,VC2HP10P05",High,"attitudes,beliefs,diversity,equality,evaluate,how,inclusion,influence,nature,quality,relationships,respect"
Health and Physical Education,Levels 9 and 10,"Personal, Social and Community Health",They evaluate personal strategies to manage emotional responses to different situations and reflect on the impact of their ability to manage these responses on health and wellbeing.,VC2HP10P06,High,"ability,different,emotional,evaluate,health,impact,manage,personal,reflect,responses,situations,strategies,wellbeing"
Health and Physical Education,Levels 9 and 10,"Personal, Social and Community Health","Students propose and evaluate strategies to manage online and offline situations where their own or others’ health, safety, relationships or wellbeing may be negatively impacted.","VC2HP10P07,VC2HP10P08",High,"evaluate,health,impacted,manage,may,negatively,offline,online,others,own,propose,relationships,safety,situations,strategies"
Health and Physical Education,Levels 9 and 10,"Personal, Social and Community Health","They synthesise health information from credible sources to propose and justify strategies that can enhance their own, others’ and the community’s health, safety, relationships and wellbeing.","VC2HP10P09,VC2HP10P10",High,"community,credible,enhance,health,information,justify,others,own,propose,relationships,safety,sources,strategies,synthesise,wellbeing"
Health and Physical Education,Levels 9 and 10,Movement and Physical Activity,"Students evaluate and refine their own and others’ movement skills and performances, and apply movement concepts in challenging or unfamiliar situations.","VC2HP10M01,VC2HP10M03",High,"apply,challenging,concepts,evaluate,movement,others,own,performances,refine,situations,skills,unfamiliar"
Health and Physical Education,Levels 9 and 10,Movement and Physical Activity,They adapt and transfer movement skills and strategies to unfamiliar situations and evaluate the effectiveness to achieve successful outcomes.,"VC2HP10M08,VC2HP10M02",High,"achieve,adapt,effectiveness,evaluate,movement,outcomes,situations,skills,strategies,successful,transfer,unfamiliar"
Health and Physical Education,Levels 9 and 10,Movement and Physical Activity,They apply criteria to evaluate and refine their own and others’ movement performances.,VC2HP10M04,High,"apply,criteria,evaluate,movement,others,own,performances,refine"
Health and Physical Education,Levels 9 and 10,Movement and Physical Activity,"Students critique the effectiveness of strategies designed to enhance health, fitness and wellbeing.",VC2HP10P10,High,"critique,designed,effectiveness,enhance,fitness,health,strategies,wellbeing"
Health and Physical Education,Levels 9 and 10,Movement and Physical Activity,They propose and evaluate community-based physical activity interventions designed to improve the health and wellbeing of themselves and others.,"VC2HP10M06,VC2HP10M07",High,"activity,based,community,designed,evaluate,health,improve,interventions,others,physical,propose,themselves,wellbeing"
Health and Physical Education,Levels 9 and 10,Movement and Physical Activity,"Students apply and evaluate leadership approaches, collaboration strategies and ethical behaviours across a range of movement contexts.","VC2HP10M09,VC2HP10M10",High,"across,apply,approaches,behaviours,collaboration,contexts,ethical,evaluate,leadership,movement,range,strategies"
