SubjectArea,Subject,Band,TaskType,AssessmentType,AssessmentInformationDetails,AssessmentYears,MarkingGroup,MarkingGroupWeight,SubCriteria,SubCriteriaColumn,Grade,GradeMin,GradeMax,Code,Sequence,Description,RFASCode
English,English,VCE Unit 3,Analytical Response - Film,Formative Rubric,School Marking Guide,2024,Writing structure,10%,Structure,G,A,B/B+,A,VCE3RFSTR02,2,Structures body paragraphs to clearly convey the paragraph's argument.,VCE3RFASA06
English,English,VCE Unit 3,Analytical Response - Film,Formative Rubric,School Marking Guide,2024,Writing structure,10%,Structure,G,C/C+,C/C+,C/C+,VCE3RFSTR03,3,Introduction expresses clear contention in response to topic. Body paragraphs contain one argument.,VCE3RFASCC+07
English,English,VCE Unit 3,Analytical Response - Film,Formative Rubric,School Marking Guide,2024,Writing structure,10%,Structure,G,D/D+,D/D+,D/D+,VCE3RFSTR04,4,"Organises paragraphs into a clear introduction, body paragraphs, and conclusion.",VCE3RFASDD+04
English,English,VCE Unit 3,Analytical Response - Film,Formative Rubric,School Marking Guide,2024,Writing structure,10%,Structure,G,E/E+,E/E+,E/E+,VCE3RFSTR05,5,Uses paragraphs,VCE3RFASEE+05
English,English,VCE Unit 3,Analytical Response - Film,Formative Rubric,School Marking Guide,2024,Writing structure,10%,Cohesion,H,A+,A,A+,VCE3RFCOH01,1,Uses transitional phrases where appropriate to maintain coherence in the overall structure and support the central argument.,VCE3RFASA+07
English,English,VCE Unit 3,Analytical Response - Film,Formative Rubric,School Marking Guide,2024,Writing structure,10%,Cohesion,H,B/B+,C/C+,B/B+,VCE3RFCOH02,2,Attempts to use transitional words and phrases to create smooth transitions between paragraphs and ideas.,
English,English,VCE Unit 3,Analytical Response - Film,Formative Rubric,School Marking Guide,2024,Writing structure,10%,Cohesion,H,D/D+,D/D+,D/D+,VCE3RFCOH03,3,"Uses basic transitional words and phrases (e.g. ""Firstly,..."", ""In conclusion…"", ""For example,"")",VCE3RFASDD+05
English,English,VCE Unit 3,Analytical Response - Film,Formative Rubric,School Marking Guide,2024,Writing structure,10%,Cohesion,H,E/E+,E/E+,E/E+,VCE3RFCOH04,4,Insufficient evidence,VCE3RFASEE+05
English,English,VCE Unit 3,Analytical Response - Film,Formative Rubric,School Marking Guide,2024,Language conventions,10%,Tone,I,A+,A,A+,VCE3RFTON01,1,Maintains a sophisticated academic analytical tone throughout,
English,English,VCE Unit 3,Analytical Response - Film,Formative Rubric,School Marking Guide,2024,Language conventions,10%,Tone,I,B/B+,B/B+,B/B+,VCE3RFTON02,2,Maintains formal analytical tone.,VCE3RFASBB+07
English,English,VCE Unit 3,Analytical Response - Film,Formative Rubric,School Marking Guide,2024,Language conventions,10%,Tone,I,C/C+,D/D+,C/C+,VCE3RFTON03,3,Attempts an appropriate tone.,
English,English,VCE Unit 3,Analytical Response - Film,Formative Rubric,School Marking Guide,2024,Language conventions,10%,Tone,I,E/E+,E/E+,E/E+,VCE3RFTON04,4,Insufficient evidence,
English,English,VCE Unit 3,Analytical Response - Film,Formative Rubric,School Marking Guide,2024,Language conventions,10%,Syntax,J,A+,A+,A+,VCE3RFSYN01,1,Demonstrates mastery in the use of varied and complex sentence structures to enhance emphasis and create rhythmic flow.,VCE3RFASA+08
English,English,VCE Unit 3,Analytical Response - Film,Formative Rubric,School Marking Guide,2024,Language conventions,10%,Syntax,J,A,A,A,VCE3RFSYN02,2,"Employs a variety of sentence structures effectively, including complex forms, to sequence and emphasise ideas, showing a strong understanding of grammar.",VCE3RFASA08
English,English,VCE Unit 3,Analytical Response - Film,Formative Rubric,School Marking Guide,2024,Language conventions,10%,Syntax,J,B/B+,C/C+,B/B+,VCE3RFSYN03,3,"Uses a mix of simple and complex sentence structures appropriately, may include occasional grammatical errors that do not significantly impact clarity.",
English,English,VCE Unit 3,Analytical Response - Film,Formative Rubric,School Marking Guide,2024,Language conventions,10%,Syntax,J,D/D+,D/D+,D/D+,VCE3RFSYN04,4,Constructs basic sentences with limited variety.,VCE3RFASDD+07
English,English,VCE Unit 3,Analytical Response - Film,Formative Rubric,School Marking Guide,2024,Language conventions,10%,Syntax,J,E/E+,E/E+,E/E+,VCE3RFSYN05,5,Grammatical errors affect the clarity of ideas.,VCE3RFASEE+06
English,English,VCE Unit 3,Analytical Response - Film,Formative Rubric,School Marking Guide,2024,Language conventions,10%,Spelling,K,A+,A+,A+,VCE3RFSPL01,1,"Spells words accurately and consistently, including high-complexity words.",VCE3RFASA+09
English,English,VCE Unit 3,Analytical Response - Film,Formative Rubric,School Marking Guide,2024,Language conventions,10%,Spelling,K,A,B/B+,A,VCE3RFSPL02,2,"Demonstrates accurate spelling across a broad vocabulary, including more challenging words, with minimal errors.",
English,English,VCE Unit 3,Analytical Response - Film,Formative Rubric,School Marking Guide,2024,Language conventions,10%,Spelling,K,C/C+,C/C+,C/C+,VCE3RFSPL03,3,Spells most common and high-frequency words correctly. Attempts higher vocabulary with identifiable target words.,VCE3RFASCC+10
English,English,VCE Unit 3,Analytical Response - Film,Formative Rubric,School Marking Guide,2024,Language conventions,10%,Spelling,K,D/D+,D/D+,D/D+,VCE3RFSPL04,4,Word choice is limited to ensure correct spelling.,VCE3RFASDD+08
English,English,VCE Unit 3,Analytical Response - Film,Formative Rubric,School Marking Guide,2024,Language conventions,10%,Spelling,K,E/E+,E/E+,E/E+,VCE3RFSPL05,5,"Struggles with spelling, including sight and high-frequency words. Spelling errors impact clarity.",VCE3RFASEE+06
English,English,VCE Unit 3,Analytical Response - Film,Formative Rubric,School Marking Guide,2024,Language conventions,10%,Punctuation,L,A+,A+,A+,VCE3RFPUN01,1,Expertly uses a full range of punctuation marks to enhance readability and support syntax.,VCE3RFASA+10
English,English,VCE Unit 3,Analytical Response - Film,Formative Rubric,School Marking Guide,2024,Language conventions,10%,Punctuation,L,A,B/B+,A,VCE3RFPUN02,2,"Correctly and effectively uses a wide range of punctuation, including more advanced marks like square brackets and ellipses where appropriate.",
English,English,VCE Unit 3,Analytical Response - Film,Formative Rubric,School Marking Guide,2024,Language conventions,10%,Punctuation,L,C/C+,C/C+,C/C+,VCE3RFPUN03,3,"Applies punctuation, such as commas and quotation marks effectively.",VCE3RFASCC+11
English,English,VCE Unit 3,Analytical Response - Film,Formative Rubric,School Marking Guide,2024,Language conventions,10%,Punctuation,L,D/D+,D/D+,D/D+,VCE3RFPUN04,4,"Generally applies in basic punctuation, including capital letters, full stops effectively.",VCE3RFASDD+08
English,English,VCE Unit 3,Analytical Response - Film,Formative Rubric,School Marking Guide,2024,Language conventions,10%,Punctuation,L,E/E+,E/E+,E/E+,VCE3RFPUN05,5,Insufficient evidence,
