SubjectArea,Subject,Band,Unit,UnitASCode,AreaofStudy,Outcome,ExampleType,ContentType,ExampleText,ParentText,URLTitle,URL,Sequence
English,Literature,Year 11,Unit 1,VCELIU1AS2,Area of Study 2 - Exploration of literary movements and genres,Outcome 2,Activity,Bullet,"Read aloud passages from the whole text for study, or from extracts, exploring how tone and language features affect the creation of mood.",,,,4
English,Literature,Year 11,Unit 1,VCELIU1AS2,Area of Study 2 - Exploration of literary movements and genres,Outcome 2,Activity,Bullet,"Engage in a class discussion exploring the mood of the text and how it is created. Also explore the text's language features including: figurative language, setting, text structures specific to the form, and vocabulary. Experiment with different ways of reading the extracts aloud in light of these discussions about mood and discuss the effects.",,,,5
English,Literature,Year 11,Unit 1,VCELIU1AS2,Area of Study 2 - Exploration of literary movements and genres,Outcome 2,Activity,Bullet,"Using assigned chapters / scenes from a text, provide an explanation of these chapters or scenes for the class, noting the central events of the chapter / scene, the characters involved, the setting and the style. Identify a quotation from the chapter / scene that exemplifies the genre or movement under study.",,,,6
English,Literature,Year 11,Unit 1,VCELIU1AS2,Area of Study 2 - Exploration of literary movements and genres,Outcome 2,Activity,Bullet,Collate the information gathered from these presentations and display. Add to these displays through the exploration of the genre or movement. Connections between texts can be made as additional examples are introduced to the class.,,,,7
English,Literature,Year 11,Unit 1,VCELIU1AS2,Area of Study 2 - Exploration of literary movements and genres,Outcome 2,Activity,Bullet,"Find opportunities to explore a whole text, including commenting on the characteristics, assumptions and representations that situate the text within the genre or movement. Connect this to the earlier work on defining and characterising the movement or genre.",,,,8
English,Literature,Year 11,Unit 1,VCELIU1AS2,Area of Study 2 - Exploration of literary movements and genres,Outcome 2,Activity,Bullet,Make links between this whole text and extracts from other texts (either texts familiar to students or texts provided by the teacher).,,,,9
English,Literature,Year 11,Unit 1,VCELIU1AS2,Area of Study 2 - Exploration of literary movements and genres,Outcome 2,Activity,Bullet,Comment on similarities and differences between the texts as well as replications and references.,,,,10
English,Literature,Year 11,Unit 1,VCELIU1AS2,Area of Study 2 - Exploration of literary movements and genres,Outcome 2,Activity,Bullet,"Share these insights by recording short podcasts, providing details about a key set of characteristics, assumptions or representations. Make these podcasts available to the whole class.",,,,11
English,Literature,Year 11,Unit 1,VCELIU1AS2,Area of Study 2 - Exploration of literary movements and genres,Outcome 2,Activity,Bullet,Explore genre and / or movement of a text.,,,,12
English,Literature,Year 11,Unit 1,VCELIU1AS2,Area of Study 2 - Exploration of literary movements and genres,Outcome 2,DetailedExample,Paragraph,Explore genre and / or movement of a text,,,,13
English,Literature,Year 11,Unit 1,VCELIU1AS2,Area of Study 2 - Exploration of literary movements and genres,Outcome 2,DetailedExampleStep,Bullet,"Compare texts, looking at similarities and differences and noting these in a Venn Diagram, with a view to establishing features of genre or movement.",,,,14
English,Literature,Year 11,Unit 1,VCELIU1AS2,Area of Study 2 - Exploration of literary movements and genres,Outcome 2,DetailedExampleStep,Bullet,"Produce a study guide about the genre / movement, with hyperlinks to literary and / or cinematic examples of characteristics and features.",,,,15
English,Literature,Year 11,Unit 1,VCELIU1AS2,Area of Study 2 - Exploration of literary movements and genres,Outcome 2,DetailedExampleStep,Bullet,"Hold a hot-seating event with characters or authors - students (or teacher) taking on the role of a character or the author and responding to class questions about the text, genre and style of the writing. Record key insights from the hot-seating activity and add this information to the information already collected and collated.",,,,16
English,Literature,Year 11,Unit 1,VCELIU1AS2,Area of Study 2 - Exploration of literary movements and genres,Outcome 2,DetailedExampleStep,Bullet,"Identify the role that character types play in the genre or movement; for example, the hero, villain, victim, confidant. Other aspects such as setting could also be considered.",,,,17
English,Literature,Year 11,Unit 1,VCELIU1AS2,Area of Study 2 - Exploration of literary movements and genres,Outcome 2,DetailedExampleStep,Bullet,"Select a certain character and track him / her through the text, selecting, annotating and presenting to the class a passage (or shot) central to the development of this character, and identifying the ways in which the author (or director) established character and made the features of this character vivid for readers (or viewers).",,,,18
English,Literature,Year 11,Unit 1,VCELIU1AS2,Area of Study 2 - Exploration of literary movements and genres,Outcome 2,DetailedExampleStep,Bullet,"Annotate selected extracts or scenes (individually or as a class), focusing on the key characteristics, assumptions and representations evident in the text, and using insights gathered earlier in the unit of study.",,,,19
English,Literature,Year 11,Unit 1,VCELIU1AS2,Area of Study 2 - Exploration of literary movements and genres,Outcome 2,DetailedExampleStep,Bullet,"Write an essay as a class, composing the response together. The focus could be a passage or a pair of passages that have been chosen to reflect aspects of genre, particularly in terms of events, characterisation or setting.",,,,20
English,Literature,Year 11,Unit 1,VCELIU1AS2,Area of Study 2 - Exploration of literary movements and genres,Outcome 2,DetailedExampleStep,Bullet,"Compose a creative response, written in the style of one of the texts (not necessarily the 'whole text'), either based directly on a character or event in one of the set texts, or developed in the style and genre but not specifically developed from a set text. This response could be either written or oral.",,,,21
English,Literature,Year 11,Unit 1,VCELIU1AS2,Area of Study 2 - Exploration of literary movements and genres,Outcome 2,DetailedExampleStep,Bullet,"Submit a written piece that analyses a passage from the chosen text, reflecting on connections between a creative response and the original text. Include a description or discussion of the genre of the original text and the ways in which the passage and the creative response engaged with the conventions of the focus genre / movement.",,,,22
English,Literature,Year 11,Unit 1,VCELIU1AS2,Area of Study 2 - Exploration of literary movements and genres,Outcome 2,DetailedExampleStep,Bullet,"Present a student-selected text to the class, arguing for its inclusion in the genre / movement.",,,,23
English,Literature,Year 11,Unit 1,VCELIU1AS2,Area of Study 2 - Exploration of literary movements and genres,Outcome 2,DetailedExampleStep,Bullet,"In affirmative and negative teams, participate in a debate with the proposition: This text / these texts should be included in the focus genre / movement. Following DAV rules for debating will help with the preparation.",,,,24
English,Literature,Year 11,Unit 1,VCELIU1AS2,Area of Study 2 - Exploration of literary movements and genres,Outcome 2,DetailedExampleStep,Bullet,"Using a selected passage from the set text (or a text chosen by student(s), students teach the passage to class. This is followed by a writing task with teacher feedback. After this mini-lesson, students write a reflection, explaining what they have learned through the teaching and feedback process.",,,,25
English,Literature,Year 11,Unit 2,VCELIU2AS1,Area of Study 1 - Voices of Country,Outcome 1,Activity,Bullet,"Start each lesson with an Acknowledgement of Country, students taking turns with this responsibility, and using quotations from the set texts and multimedia to support these Acknowledgements.",,,,1
English,Literature,Year 11,Unit 2,VCELIU2AS1,Area of Study 1 - Voices of Country,Outcome 1,Activity,Bullet,"Explore the genesis of the Acknowledgement of Country and discuss its value and impact, including ideas about respect and reconciliation.",,,,2
English,Literature,Year 11,Unit 2,VCELIU2AS1,Area of Study 1 - Voices of Country,Outcome 1,Activity,Bullet,Discuss the title of the area of study (Voices of Country) and explore the significance of 'Country' as used in this particular way.,,,,3
English,Literature,Year 11,Unit 2,VCELIU2AS1,Area of Study 1 - Voices of Country,Outcome 1,Activity,Bullet,Explore the language associated with students' cultural heritages and the implications of that language. Discuss representation and presentation.,,,,4
English,Literature,Year 11,Unit 2,VCELIU2AS1,Area of Study 1 - Voices of Country,Outcome 1,Activity,Bullet,Share stories about individual experiences with cultural heritages. Return to these lived experiences when engaging with the textual study.,,,,5
English,Literature,Year 11,Unit 2,VCELIU2AS1,Area of Study 1 - Voices of Country,Outcome 1,Activity,Bullet,Broaden the discussion to appropriate language for the area of study (and for 21st century Australia generally) with a focus on the implications of different words / phrases used to identify Aboriginal and Torres Strait Islander peoples:,,,,6
English,Literature,Year 11,Unit 2,VCELIU2AS1,Area of Study 1 - Voices of Country,Outcome 1,Activity,Bullet,First Nations Australians,Broaden the discussion to appropriate language for the area of study (and for 21st century Australia generally) with a focus on the implications of different words / phrases used to identify Aboriginal and Torres Strait Islander peoples:,,,7
English,Literature,Year 11,Unit 2,VCELIU2AS1,Area of Study 1 - Voices of Country,Outcome 1,Activity,Bullet,Aboriginals,Broaden the discussion to appropriate language for the area of study (and for 21st century Australia generally) with a focus on the implications of different words / phrases used to identify Aboriginal and Torres Strait Islander peoples:,,,8
English,Literature,Year 11,Unit 2,VCELIU2AS1,Area of Study 1 - Voices of Country,Outcome 1,Activity,Bullet,Indigenous Australians,Broaden the discussion to appropriate language for the area of study (and for 21st century Australia generally) with a focus on the implications of different words / phrases used to identify Aboriginal and Torres Strait Islander peoples:,,,9
English,Literature,Year 11,Unit 2,VCELIU2AS1,Area of Study 1 - Voices of Country,Outcome 1,Activity,Bullet,Native Australians,Broaden the discussion to appropriate language for the area of study (and for 21st century Australia generally) with a focus on the implications of different words / phrases used to identify Aboriginal and Torres Strait Islander peoples:,,,10
English,Literature,Year 11,Unit 2,VCELIU2AS1,Area of Study 1 - Voices of Country,Outcome 1,Activity,Bullet,First Peoples,Broaden the discussion to appropriate language for the area of study (and for 21st century Australia generally) with a focus on the implications of different words / phrases used to identify Aboriginal and Torres Strait Islander peoples:,,,11
English,Literature,Year 11,Unit 2,VCELIU2AS1,Area of Study 1 - Voices of Country,Outcome 1,Activity,Bullet,Blackfellas,Broaden the discussion to appropriate language for the area of study (and for 21st century Australia generally) with a focus on the implications of different words / phrases used to identify Aboriginal and Torres Strait Islander peoples:,,,12
English,Literature,Year 11,Unit 2,VCELIU2AS1,Area of Study 1 - Voices of Country,Outcome 1,Activity,Bullet,Mob,Broaden the discussion to appropriate language for the area of study (and for 21st century Australia generally) with a focus on the implications of different words / phrases used to identify Aboriginal and Torres Strait Islander peoples:,,,13
English,Literature,Year 11,Unit 2,VCELIU2AS1,Area of Study 1 - Voices of Country,Outcome 1,Activity,Bullet,"In groups, research the authors of the texts under study to understand their cultural contexts and the way these may affect the content and style of their texts. Present findings to the class.",,,,14
English,Literature,Year 11,Unit 2,VCELIU2AS1,Area of Study 1 - Voices of Country,Outcome 1,Activity,Bullet,"Read / watch a set text, considering particularly a specific area of focus. These might include:",,,,15
English,Literature,Year 11,Unit 2,VCELIU2AS1,Area of Study 1 - Voices of Country,Outcome 1,Activity,Bullet,Ways in which Aboriginal and Torres Strait Islander peoples are presented,"Read / watch a set text, considering particularly a specific area of focus. These might include:",,,16
English,Literature,Year 11,Unit 2,VCELIU2AS1,Area of Study 1 - Voices of Country,Outcome 1,Activity,Bullet,Ways in which racism is explored,"Read / watch a set text, considering particularly a specific area of focus. These might include:",,,17
English,Literature,Year 11,Unit 2,VCELIU2AS1,Area of Study 1 - Voices of Country,Outcome 1,Activity,Bullet,Relationship of people to a landscape,"Read / watch a set text, considering particularly a specific area of focus. These might include:",,,18
English,Literature,Year 11,Unit 2,VCELIU2AS1,Area of Study 1 - Voices of Country,Outcome 1,Activity,Bullet,Significance of family,"Read / watch a set text, considering particularly a specific area of focus. These might include:",,,19
English,Literature,Year 11,Unit 2,VCELIU2AS1,Area of Study 1 - Voices of Country,Outcome 1,Activity,Bullet,Importance of story and storytelling.,"Read / watch a set text, considering particularly a specific area of focus. These might include:",,,20
English,Literature,Year 11,Unit 2,VCELIU2AS1,Area of Study 1 - Voices of Country,Outcome 1,Activity,Bullet,Teachers determine how the class is supported in this work. The Department of Education website has many tools that can be used to map students' understanding of ideas through their exploration of a text. Ways in which students can annotate or identify their understanding to reduce cognitive load include:,,,,21
English,Literature,Year 11,Unit 2,VCELIU2AS1,Area of Study 1 - Voices of Country,Outcome 1,Activity,Bullet,Reading poems aloud and then annotating them through discussion,Teachers determine how the class is supported in this work. The Department of Education website has many tools that can be used to map students' understanding of ideas through their exploration of a text. Ways in which students can annotate or identify their understanding to reduce cognitive load include:,,,22
English,Literature,Year 11,Unit 2,VCELIU2AS1,Area of Study 1 - Voices of Country,Outcome 1,Activity,Bullet,Teacher reminding students where and when to annotate the poems,Teachers determine how the class is supported in this work. The Department of Education website has many tools that can be used to map students' understanding of ideas through their exploration of a text. Ways in which students can annotate or identify their understanding to reduce cognitive load include:,,,23
English,Literature,Year 11,Unit 2,VCELIU2AS1,Area of Study 1 - Voices of Country,Outcome 1,Activity,Bullet,"Students finding images to further annotate the poems, then providing a visual representation of their understanding",Teachers determine how the class is supported in this work. The Department of Education website has many tools that can be used to map students' understanding of ideas through their exploration of a text. Ways in which students can annotate or identify their understanding to reduce cognitive load include:,,,24
English,Literature,Year 11,Unit 2,VCELIU2AS1,Area of Study 1 - Voices of Country,Outcome 1,Activity,Bullet,"Use an organisational tool such as a Lotus Chart to add key ideas as they are identified and elaborated. This can be done as a class, filling in the chart collaboratively.",Teachers determine how the class is supported in this work. The Department of Education website has many tools that can be used to map students' understanding of ideas through their exploration of a text. Ways in which students can annotate or identify their understanding to reduce cognitive load include:,,,25
English,Literature,Year 11,Unit 2,VCELIU2AS1,Area of Study 1 - Voices of Country,Outcome 1,Activity,Bullet,Produce studies of characters from set texts (or extracts) by noting particular language features associated with different characters. Note the vocabulary used and explore how these language features develop the representation of a character.,,,,26
English,Literature,Year 11,Unit 2,VCELIU2AS1,Area of Study 1 - Voices of Country,Outcome 1,Activity,Bullet,"Explore ways in which text structures can develop the representation of character. Select a passage or key scene to annotate structures, language features and vocabulary in the development of story, including setting, characterisation and dialogue. Present these annotated passages / shots to the class for display. The annotations link directly to the focus areas determined for class study and link explicitly to the ways these passages / shots contribute to representation.",,,,27
English,Literature,Year 11,Unit 2,VCELIU2AS1,Area of Study 1 - Voices of Country,Outcome 1,Activity,Bullet,Use Aboriginal and Torres Strait Islander art to explore how art can illuminate our understanding of representation.,,,,28
English,Literature,Year 11,Unit 2,VCELIU2AS1,Area of Study 1 - Voices of Country,Outcome 1,DetailedExample,Paragraph,Aboriginal and Torres Strait Islander art,,,,29
English,Literature,Year 11,Unit 2,VCELIU2AS1,Area of Study 1 - Voices of Country,Outcome 1,DetailedExampleStep,Paragraph,Teacher:,,,,30
English,Literature,Year 11,Unit 2,VCELIU2AS1,Area of Study 1 - Voices of Country,Outcome 1,DetailedExampleStep,Bullet,Assigns student groups extracts from a range of texts created both by Aboriginal and Torres Strait Islander artists and non-Aboriginal and Torres Strait Islander artists,,,,31
English,Literature,Year 11,Unit 2,VCELIU2AS1,Area of Study 1 - Voices of Country,Outcome 1,DetailedExampleStep,Bullet,"Scaffolds the key elements that students should address in the art, including links to the specific area of focus, for example:",,,,32
English,Literature,Year 11,Unit 2,VCELIU2AS1,Area of Study 1 - Voices of Country,Outcome 1,DetailedExampleStep,Bullet,Ways in which Aboriginal and Torres Strait Islander peoples are presented,"scaffolds the key elements that students should address in the art, including links to the specific area of focus, for example:",,,33
English,Literature,Year 11,Unit 2,VCELIU2AS1,Area of Study 1 - Voices of Country,Outcome 1,DetailedExampleStep,Bullet,Ways in which racism is explored,"scaffolds the key elements that students should address in the art, including links to the specific area of focus, for example:",,,34
English,Literature,Year 11,Unit 2,VCELIU2AS1,Area of Study 1 - Voices of Country,Outcome 1,DetailedExampleStep,Bullet,Relationship of people to a landscape,"scaffolds the key elements that students should address in the art, including links to the specific area of focus, for example:",,,35
English,Literature,Year 11,Unit 2,VCELIU2AS1,Area of Study 1 - Voices of Country,Outcome 1,DetailedExampleStep,Bullet,Significance of family,"scaffolds the key elements that students should address in the art, including links to the specific area of focus, for example:",,,36
English,Literature,Year 11,Unit 2,VCELIU2AS1,Area of Study 1 - Voices of Country,Outcome 1,DetailedExampleStep,Bullet,Importance of story and storytelling.,"scaffolds the key elements that students should address in the art, including links to the specific area of focus, for example:",,,37
English,Literature,Year 11,Unit 2,VCELIU2AS1,Area of Study 1 - Voices of Country,Outcome 1,DetailedExampleStep,Paragraph,Students:,,,,38
English,Literature,Year 11,Unit 2,VCELIU2AS1,Area of Study 1 - Voices of Country,Outcome 1,DetailedExampleStep,Bullet,"Work together to explore how the art further illuminates an understanding of representation; for example, discussing and comparing the artworks and linking them to a specific area of focus",,,,39
English,Literature,Year 11,Unit 2,VCELIU2AS1,Area of Study 1 - Voices of Country,Outcome 1,DetailedExampleStep,Bullet,"Consider other contextual information; for example, when and where a text was produced and who produced it",,,,40
English,Literature,Year 11,Unit 2,VCELIU2AS1,Area of Study 1 - Voices of Country,Outcome 1,DetailedExampleStep,Bullet,"Bring in Aboriginal and Torres Strait Islander texts they have enjoyed (including films, television series, games, poems, songs) and explore extracts of these texts to enrich the discussions of the set texts",,,,41
English,Literature,Year 11,Unit 2,VCELIU2AS1,Area of Study 1 - Voices of Country,Outcome 1,DetailedExampleStep,Bullet,"Consider changing representations, including language and vocabulary, and how and where Aboriginal and Torres Strait Islander peoples appear in text over time (provided the range of texts enables such a discussion)",,,,42
English,Literature,Year 11,Unit 2,VCELIU2AS1,Area of Study 1 - Voices of Country,Outcome 1,DetailedExampleStep,Bullet,Use these texts (brought in by students) to compare the stories and language with the set texts.,,,,43
English,Literature,Year 11,Unit 2,VCELIU2AS1,Area of Study 1 - Voices of Country,Outcome 1,DetailedExampleStep,Bullet,Compare stories and storytelling from other indigenous cultures with Aboriginal and Torres Strait Islander stories and storytelling by discussing extracts in class. Groups can lead this discussion and comparative analysis. Other indigenous cultures could include:,,,,44
English,Literature,Year 11,Unit 2,VCELIU2AS1,Area of Study 1 - Voices of Country,Outcome 1,DetailedExampleStep,Bullet,Maori (1),Compare stories and storytelling from other indigenous cultures with Aboriginal and Torres Strait Islander stories and storytelling by discussing extracts in class. Groups can lead this discussion and comparative analysis. Other indigenous cultures could include:,,,45
English,Literature,Year 11,Unit 2,VCELIU2AS1,Area of Study 1 - Voices of Country,Outcome 1,DetailedExampleStep,Bullet,Maori (2),Compare stories and storytelling from other indigenous cultures with Aboriginal and Torres Strait Islander stories and storytelling by discussing extracts in class. Groups can lead this discussion and comparative analysis. Other indigenous cultures could include:,,,46
English,Literature,Year 11,Unit 2,VCELIU2AS1,Area of Study 1 - Voices of Country,Outcome 1,DetailedExampleStep,Bullet,Native American,Compare stories and storytelling from other indigenous cultures with Aboriginal and Torres Strait Islander stories and storytelling by discussing extracts in class. Groups can lead this discussion and comparative analysis. Other indigenous cultures could include:,,,47
English,Literature,Year 11,Unit 2,VCELIU2AS1,Area of Study 1 - Voices of Country,Outcome 1,DetailedExampleStep,Bullet,"Individually, or in pairs, advocate for a preferred text to be included in a course, producing short digital presentations in support of the chosen text. In these presentations, focus on the key discussions held in class, and on representation in texts. Focus on a key passage or scene of the text to highlight for the class.",,,,48
English,Literature,Year 11,Unit 2,VCELIU2AS1,Area of Study 1 - Voices of Country,Outcome 1,DetailedExampleStep,Bullet,Learn about postcolonial theory through a reading (such as the first few pages of Edward Said's Orientalism) or a video. Examples of videos that describe postcolonial theory include:,,,,49
English,Literature,Year 11,Unit 2,VCELIU2AS1,Area of Study 1 - Voices of Country,Outcome 1,DetailedExampleStep,Bullet,Postcolonialism: WTF? An Intro to Postcolonial Theory,Learn about postcolonial theory through a reading (such as the first few pages of Edward Said's Orientalism) or a video. Examples of videos that describe postcolonial theory include:,,,50
English,Literature,Year 11,Unit 2,VCELIU2AS1,Area of Study 1 - Voices of Country,Outcome 1,DetailedExampleStep,Bullet,Postcolonial Literary Theory,Learn about postcolonial theory through a reading (such as the first few pages of Edward Said's Orientalism) or a video. Examples of videos that describe postcolonial theory include:,,,51
English,Literature,Year 11,Unit 2,VCELIU2AS1,Area of Study 1 - Voices of Country,Outcome 1,DetailedExampleStep,Bullet,"Teacher scaffolds students' understanding of this theory through visual representation, annotating key quotes, ensuring students have a shared understanding of this theory before moving on.",,,,52
English,Literature,Year 11,Unit 2,VCELIU2AS1,Area of Study 1 - Voices of Country,Outcome 1,DetailedExampleStep,Bullet,"Discuss postcolonial theory and how it can be used to discuss a text, and considering the wider implications of this theory in light of this area of study.",,,,53
English,Literature,Year 11,Unit 2,VCELIU2AS1,Area of Study 1 - Voices of Country,Outcome 1,DetailedExampleStep,Bullet,"Participate in a whole-class discussion about implications of postcolonialism for understanding the set text, using specific textual examples to support ideas and assertions.",,,,54
English,Literature,Year 11,Unit 2,VCELIU2AS1,Area of Study 1 - Voices of Country,Outcome 1,DetailedExampleStep,Bullet,"Develop a way for this discussion to be meaningfully captured, providing a point of reference for later in the area of study. This could be done by the class agreeing on an annotation of a selected passage or scene from the set text, and having it on display. It could also be achieved digitally.",,,,55
