SubjectArea,Subject,Band,AssessmentType,AssessmentInformationDetails,AssessmentYears,UnitASCode,ExamReportCode,SectionCode,ExamResponsesSkillType,ExamResponsesSkillHeader,ExamResponsesSkill,ExamResponsesExplanation,ExamResponsesExample,Sequence
English,English,Year 12,Final Exam,Post Exam Report,2024,"VCEEU3AS1,VCEEU4AS1",VCEEEARA,VCEEEARALR,LimitedStrategies,,Topic interpretation,"dismissed the concepts and discussed other concept(s) with respect to the relationship offered. For example, in response to Question 1ii (‘“In their shame, they could hardly bear to look at each other.” Regret and shame determine experiences in Bad Dreams and Other Stories. To what extent do you agree?’), a response might have claimed it is not ‘regret and shame’ that determine experience, it is social circumstance, and went on to address the new concept that has been introduced",,5
English,English,Year 12,Final Exam,Post Exam Report,2024,"VCEEU3AS1,VCEEU4AS1",VCEEEARA,VCEEEARALR,LimitedStrategies,,Topic interpretation,"misread the topic or conflate the two topics on offer. For example, when answering Question 15i (‘Sunset Boulevard both challenges and reinforces traditional gender expectations. Discuss.’) or Question 15ii (‘“There is nothing tragic about being 50, not unless you try to be 25.” In Sunset Boulevard, how does Wilder portray Hollywood’s infatuation with youth?’), a response might have discussed gender expectations and infatuation with youth.",,6
English,English,Year 12,Final Exam,Post Exam Report,2024,"VCEEU3AS1,VCEEU4AS1",VCEEEARA,VCEEEARALR,LimitedStrategies,,Topic interpretation,"Some terms caused difficulty, such as ‘central concern’, ‘inescapable’ and ‘perceptions’. Having a strategy to deal with unfamiliar terms is advisable. Students should be reminded they are able to bring dictionaries into the examination.",,7
English,English,Year 12,Final Exam,Post Exam Report,2024,"VCEEU3AS1,VCEEU4AS1",VCEEEARA,VCEEEARALR,LimitedStrategies,,Argument construction,Responses might have:,,8
English,English,Year 12,Final Exam,Post Exam Report,2024,"VCEEU3AS1,VCEEU4AS1",VCEEEARA,VCEEEARALR,LimitedStrategies,,Argument construction,"drifted from the topic or spent time discussing irrelevant material, such as an extended discussion about the author’s personal attributes",,9
English,English,Year 12,Final Exam,Post Exam Report,2024,"VCEEU3AS1,VCEEU4AS1",VCEEEARA,VCEEEARALR,LimitedStrategies,,Argument construction,"demonstrated no meaningful strategy in their presentation of ideas. For example, in Question 18i (‘“Why should a man suffer so grievously for an offence he had committed inadvertently?” In Things Fall Apart, the consequences of actions are rarely fair. Do you agree?’) a response might only have offered examples of characters who do or do not understand their past",,10
English,English,Year 12,Final Exam,Post Exam Report,2024,"VCEEU3AS1,VCEEU4AS1",VCEEEARA,VCEEEARALR,LimitedStrategies,,Argument construction,"used a structure that simply presented a series of ‘examples’ that ‘prove’ a contention using one character/story/poem per paragraph, rather than discussed the author’s ideas",,11
English,English,Year 12,Final Exam,Post Exam Report,2024,"VCEEU3AS1,VCEEU4AS1",VCEEEARA,VCEEEARALR,LimitedStrategies,,Argument construction,"considered only one of the concepts presented by the topic. For example, ‘differences’ but not ‘understanding’",,12
English,English,Year 12,Final Exam,Post Exam Report,2024,"VCEEU3AS1,VCEEU4AS1",VCEEEARA,VCEEEARALR,LimitedStrategies,,Argument construction,considered the key term (such as ‘youth’) but not the modifying term that addressed the aspect of the concept that their attention was drawn to (such as ‘infatuation’). Or responses may only have discussed ‘cruelty’ but not addressed the topic’s specific concern of ‘unrelenting cruelty’,,13
English,English,Year 12,Final Exam,Post Exam Report,2024,"VCEEU3AS1,VCEEU4AS1",VCEEEARA,VCEEEARALR,LimitedStrategies,,Argument construction,"used a flawed understanding or definition of the terms of a topic, leading to irrelevance.",,14
English,English,Year 12,Final Exam,Post Exam Report,2024,"VCEEU3AS1,VCEEU4AS1",VCEEEARA,VCEEEARALR,LimitedStrategies,,Argument substantiation,Responses might have:,,15
English,English,Year 12,Final Exam,Post Exam Report,2024,"VCEEU3AS1,VCEEU4AS1",VCEEEARA,VCEEEARALR,LimitedStrategies,,Argument substantiation,suggested the task was a discussion of ‘facts’ rather than of the strategies/vehicles the author had used to convey ideas,,16
English,English,Year 12,Final Exam,Post Exam Report,2024,"VCEEU3AS1,VCEEU4AS1",VCEEEARA,VCEEEARALR,LimitedStrategies,,Argument substantiation,tried to ‘twist’ a topic so that they could discuss more familiar textual material,,17
English,English,Year 12,Final Exam,Post Exam Report,2024,"VCEEU3AS1,VCEEU4AS1",VCEEEARA,VCEEEARALR,LimitedStrategies,,Argument substantiation,"referenced only a specific part of a text (for example, only the opening) and thus reduced their capacity to discuss the way in which ideas are developed",,18
English,English,Year 12,Final Exam,Post Exam Report,2024,"VCEEU3AS1,VCEEU4AS1",VCEEEARA,VCEEEARALR,LimitedStrategies,,Argument substantiation,"demonstrated a limited or incomplete understanding of the author’s ideas, indicated by the way in which the response attempted to substantiate the ideas",,19
English,English,Year 12,Final Exam,Post Exam Report,2024,"VCEEU3AS1,VCEEU4AS1",VCEEEARA,VCEEEARALR,LimitedStrategies,,Argument substantiation,used quotes merely to serve as description rather than as the basis for analysis,,20
English,English,Year 12,Final Exam,Post Exam Report,2024,"VCEEU3AS1,VCEEU4AS1",VCEEEARA,VCEEEARALR,LimitedStrategies,,Argument substantiation,"exclusively used a particular aspect of the text. For example, characters’ experiences to substantiate a reading, thus indicating a limited understanding of the text.",,21
English,English,Year 12,Final Exam,Post Exam Report,2024,"VCEEU3AS1,VCEEU4AS1",VCEEEARA,VCEEEARALR,LimitedStrategies,,Capacity to conclude essay,Responses might have:,,22
English,English,Year 12,Final Exam,Post Exam Report,2024,"VCEEU3AS1,VCEEU4AS1",VCEEEARA,VCEEEARALR,LimitedStrategies,,Capacity to conclude essay,stopped at the end of their body paragraphs without attempting to conclude,,23
English,English,Year 12,Final Exam,Post Exam Report,2024,"VCEEU3AS1,VCEEU4AS1",VCEEEARA,VCEEEARALR,LimitedStrategies,,Capacity to conclude essay,been limited to merely restating the argument in the conclusion.,,24
English,English,Year 12,Final Exam,Post Exam Report,2024,"VCEEU3AS1,VCEEU4AS1",VCEEEARA,VCEEEARALR,LimitedStrategies,,Capacity to communicate ideas,The effectiveness of a response may have been limited by:,,25
English,English,Year 12,Final Exam,Post Exam Report,2024,"VCEEU3AS1,VCEEU4AS1",VCEEEARA,VCEEEARALR,LimitedStrategies,,Capacity to communicate ideas,"poor vocabulary choices, including using vocabulary inappropriately",,26
English,English,Year 12,Final Exam,Post Exam Report,2024,"VCEEU3AS1,VCEEU4AS1",VCEEEARA,VCEEEARALR,LimitedStrategies,,Capacity to communicate ideas,struggles with grammar,,27
English,English,Year 12,Final Exam,Post Exam Report,2024,"VCEEU3AS1,VCEEU4AS1",VCEEEARA,VCEEEARALR,LimitedStrategies,,Capacity to communicate ideas,incoherence.,,28
