SubjectArea,Subject,Band,Unit,UnitASCode,AreaofStudy,Outcome,OutcomeCode,ExampleType,ContentType,ExampleText,ParentText,URLTitle,URL,Sequence
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS1,Area of Study 1 - The role of accounting,Outcome 1,VCEACU1AS1O1KK,DetailedExampleStep,Bullet,Explain the assessment task connected to this excursion:,,,,35
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS1,Area of Study 1 - The role of accounting,Outcome 1,VCEACU1AS1O1KK,DetailedExampleStep,Paragraph,Folio or digital presentation explaining what they have learned covering the key knowledge points of Outcome 1.,,,,36
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS1,Area of Study 1 - The role of accounting,Outcome 1,VCEACU1AS1O1KK,DetailedExampleStep,Bullet,Follow-up:,,,,37
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS1,Area of Study 1 - The role of accounting,Outcome 1,VCEACU1AS1O1KK,DetailedExampleStep,Paragraph,"After the excursion, debrief with students, discussing what they learned and any insights gained about accounting in small businesses.",,,,38
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS1,Area of Study 1 - The role of accounting,Outcome 1,VCEACU1AS1O1KK,DetailedExampleStep,Paragraph,Students who are absent on the day of the excursion can research a business for their digital presentation assessment.,,,,39
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS1,Area of Study 1 - The role of accounting,Outcome 1,VCEACU1AS1O1KK,DetailedExampleStep,Paragraph,"To assess the students' digital presentation covering the specified topics, create a rubric with criteria aligned with the key learning objectives. See below.",,,,40
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS2,Area of Study 2 - Recording financial data and reporting accounting information for a service business,Outcome 2,,,OutcomeHeading,Outcome 2:,,,,1
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS2,Area of Study 2 - Recording financial data and reporting accounting information for a service business,Outcome 2,,,OutcomeDescription,"Identify and record financial data, report and explain accounting information for a service business, and suggest and apply appropriate financial and non-financial indicators to measure business performance.",,,,2
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS2,Area of Study 2 - Recording financial data and reporting accounting information for a service business,Outcome 2,,,SectionHeading,Examples of learning activities,,,,3
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS2,Area of Study 2 - Recording financial data and reporting accounting information for a service business,Outcome 2,VCEACU1AS2O2KK,Activity,Bullet,Complete a folio of Journal entry practice.,,,,4
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS2,Area of Study 2 - Recording financial data and reporting accounting information for a service business,Outcome 2,VCEACU1AS2O2KK,Activity,Bullet,Use interactive games (AI or group) such as Zapitalism.,,,,5
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS2,Area of Study 2 - Recording financial data and reporting accounting information for a service business,Outcome 2,VCEACU1AS2O2KK,Activity,Bullet,"Role-play scenarios where accounting is used; for example, use the game 'Monopoly' to record cash in a folio.",,,,6
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS2,Area of Study 2 - Recording financial data and reporting accounting information for a service business,Outcome 2,VCEACU1AS2O2KK,Activity,Bullet,"In groups, complete projects to compile financial data, prepare financial statements, and create a presentation to explain the financial performance of a chosen company. This collaborative activity reinforces an understanding of accounting principles.",,,,7
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS2,Area of Study 2 - Recording financial data and reporting accounting information for a service business,Outcome 2,VCEACU1AS2O2KK,Activity,Bullet,"Collect a range of documents used by a business to record financial transactions. Examine these, identify, describe and analyse the key data contained in each.",,,,8
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS2,Area of Study 2 - Recording financial data and reporting accounting information for a service business,Outcome 2,VCEACU1AS2O2KK,Activity,Bullet,Record a range of financial transactions in the cash and credit journals for a business.,,,,9
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS2,Area of Study 2 - Recording financial data and reporting accounting information for a service business,Outcome 2,VCEACU1AS2O2KS,Activity,Bullet,Describe the two-fold effect of a range of financial transactions.,,,,10
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS2,Area of Study 2 - Recording financial data and reporting accounting information for a service business,Outcome 2,VCEACU1AS2O2KK,Activity,Bullet,"Using a spreadsheet, record transactions in journals and prepare financial reports.",,,,11
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS2,Area of Study 2 - Recording financial data and reporting accounting information for a service business,Outcome 2,VCEACU1AS2O2KK,Activity,Bullet,"Design and run a small service business (as a class activity). Record transactions, manage supplies and then evaluate business performance.",,,,12
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS2,Area of Study 2 - Recording financial data and reporting accounting information for a service business,Outcome 2,VCEACU1AS2O2KK,Activity,Bullet,"Create and maintain a glossary of appropriate accounting terms. Include the accounting assumptions, qualitative characteristics and types of documents used to record financial transactions by a business. This could be displayed prominently in the classroom.",,,,13
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS2,Area of Study 2 - Recording financial data and reporting accounting information for a service business,Outcome 2,VCEACU1AS2O2KK,Activity,Bullet,Use a spreadsheet representing an Income Statement to model the effects of various business decisions on the accounting equation. Construct appropriate graphical representations of the data. Provide advice to the business owner about how the business is performing and areas of potential improvement.,,,,14
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS2,Area of Study 2 - Recording financial data and reporting accounting information for a service business,Outcome 2,VCEACU1AS2O2KK,Activity,Bullet,Complete a series of exercises using financial and non-financial data and indicators of business performance to evaluate business performance.,,,,15
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS2,Area of Study 2 - Recording financial data and reporting accounting information for a service business,Outcome 2,VCEACU1AS2O2KK,Activity,Bullet,Use a spreadsheet to prepare a cash flow statement and prepare appropriate graphs depicting indicators of business performance using data from the cash flow statement.,,,,16
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS2,Area of Study 2 - Recording financial data and reporting accounting information for a service business,Outcome 2,VCEACU1AS2O2KK,Activity,Bullet,"Using the data provided in a spreadsheet for two businesses, design and prepare appropriate graphs. Compare the performance of the two businesses.",,,,17
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS2,Area of Study 2 - Recording financial data and reporting accounting information for a service business,Outcome 2,VCEACU1AS2O2KK,Activity,Bullet,"Prepare a YouTube information clip about the Goods and Services Tax (GST). Explain what it is, how it works and how it is recorded within a business' financial records.",,,,18
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS2,Area of Study 2 - Recording financial data and reporting accounting information for a service business,Outcome 2,VCEACU1AS2O2KK,Activity,Bullet,Use a spreadsheet to model how different strategies to improve business profitability might work. This should be based on a business scenario.,,,,19
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS2,Area of Study 2 - Recording financial data and reporting accounting information for a service business,Outcome 2,VCEACU1AS2O2KS,Activity,Bullet,"Using provided financial reports, evaluate the performance of a business and provide appropriate advice to the business owner.",,,,20
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS2,Area of Study 2 - Recording financial data and reporting accounting information for a service business,Outcome 2,VCEACU1AS2O2KS,Activity,Bullet,Use a case study to discuss the internal control procedures used to safeguard resources against theft and fraud. Discuss the ethical considerations a business owner should take into account when recording transactions.,,,,21
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS2,Area of Study 2 - Recording financial data and reporting accounting information for a service business,Outcome 2,VCEACU1AS2O2KS,Activity,Bullet,Discuss the ethical considerations faced by business owners when recording and reporting transactions.,,,,22
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS2,Area of Study 2 - Recording financial data and reporting accounting information for a service business,Outcome 2,VCEACU1AS2O2KK,DetailedExample,Paragraph,Role-play and folio completion using 'Monopoly',,,,23
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS2,Area of Study 2 - Recording financial data and reporting accounting information for a service business,Outcome 2,VCEACU1AS2O2KK,DetailedExampleStep,Bullet,Get game - board game or interactive version - and place the board on a table with groups of up to 8 people.,,,,24
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS2,Area of Study 2 - Recording financial data and reporting accounting information for a service business,Outcome 2,VCEACU1AS2O2KK,DetailedExampleStep,Bullet,Supply journal templates for Cash Receipt Journal and Cash Payments journal (link to template page).,,,,25
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS2,Area of Study 2 - Recording financial data and reporting accounting information for a service business,Outcome 2,VCEACU1AS2O2KK,DetailedExampleStep,Bullet,"Players choose game pieces and start with a set amount of money - 500, 50; 6 each of 10, 1).",,,,26
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS2,Area of Study 2 - Recording financial data and reporting accounting information for a service business,Outcome 2,VCEACU1AS2O2KK,DetailedExampleStep,Bullet,Roll dice to move around the board.,,,,27
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS2,Area of Study 2 - Recording financial data and reporting accounting information for a service business,Outcome 2,VCEACU1AS2O2KK,DetailedExampleStep,Bullet,Land on unowned property to buy it or auction it.,,,,28
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS2,Area of Study 2 - Recording financial data and reporting accounting information for a service business,Outcome 2,VCEACU1AS2O2KK,DetailedExampleStep,Bullet,Pay rent when landing on opponent-owned properties.,,,,29
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS2,Area of Study 2 - Recording financial data and reporting accounting information for a service business,Outcome 2,VCEACU1AS2O2KK,DetailedExampleStep,Bullet,Collect rent when opponents land on your properties.,,,,30
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS2,Area of Study 2 - Recording financial data and reporting accounting information for a service business,Outcome 2,VCEACU1AS2O2KK,DetailedExampleStep,Bullet,Build houses and hotels to increase rent.,,,,31
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS2,Area of Study 2 - Recording financial data and reporting accounting information for a service business,Outcome 2,VCEACU1AS2O2KK,DetailedExampleStep,Bullet,"Jail: Go directly to jail, do not pass Go, do not collect $200, unless you roll doubles or use a ""Get Out of Jail Free"" card.",,,,32
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS2,Area of Study 2 - Recording financial data and reporting accounting information for a service business,Outcome 2,VCEACU1AS2O2KK,DetailedExampleStep,Bullet,Chance and Community Chest cards provide opportunities or setbacks.,,,,33
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS2,Area of Study 2 - Recording financial data and reporting accounting information for a service business,Outcome 2,VCEACU1AS2O2KK,DetailedExampleStep,Bullet,Income Tax and Luxury Tax are paid when landing on specific spaces.,,,,34
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS2,Area of Study 2 - Recording financial data and reporting accounting information for a service business,Outcome 2,VCEACU1AS2O2KK,DetailedExampleStep,Bullet,Bankruptcy occurs when a player cannot afford to pay debts or expenses.,,,,35
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS2,Area of Study 2 - Recording financial data and reporting accounting information for a service business,Outcome 2,VCEACU1AS2O2KK,DetailedExampleStep,Bullet,The last player remaining after bankrupting opponents wins the game.,,,,36
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS2,Area of Study 2 - Recording financial data and reporting accounting information for a service business,Outcome 2,VCEACU1AS2O2KK,DetailedExampleStep,Bullet,Record all cash purchases in the Cash Payments Journal.,,,,37
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS2,Area of Study 2 - Recording financial data and reporting accounting information for a service business,Outcome 2,VCEACU1AS2O2KK,DetailedExampleStep,Bullet,Record all cash received in the Cash Receipts Journal,,,,38
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS2,Area of Study 2 - Recording financial data and reporting accounting information for a service business,Outcome 2,VCEACU1AS2O2KK,DetailedExampleStep,Bullet,Allow 20-30 minutes of game time in each class.,,,,39
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS2,Area of Study 2 - Recording financial data and reporting accounting information for a service business,Outcome 2,VCEACU1AS2O2KK,DetailedExampleStep,Bullet,Allow 10-15 minutes at the end of each class to total the two journals:,,,,40
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS2,Area of Study 2 - Recording financial data and reporting accounting information for a service business,Outcome 2,VCEACU1AS2O2KK,DetailedExampleStep,Bullet,Pretend each class is a week or month reporting period with the teacher guiding the dates changes throughout the class.,Allow 10-15 minutes at the end of each class to total the two journals:,,,41
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS2,Area of Study 2 - Recording financial data and reporting accounting information for a service business,Outcome 2,VCEACU1AS2O2KK,DetailedExampleStep,Bullet,"At the end of each class, students must have the following:",,,,42
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS2,Area of Study 2 - Recording financial data and reporting accounting information for a service business,Outcome 2,VCEACU1AS2O2KK,DetailedExampleStep,Bullet,Completed Cash Payments Journal and Cash Receipts Journal including the totals,"At the end of each class, students must have the following:",,,43
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS2,Area of Study 2 - Recording financial data and reporting accounting information for a service business,Outcome 2,VCEACU1AS2O2KK,DetailedExampleStep,Bullet,Summary calculation of cash at bank in readiness for the next session,"At the end of each class, students must have the following:",,,44
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS2,Area of Study 2 - Recording financial data and reporting accounting information for a service business,Outcome 2,VCEACU1AS2O2KK,DetailedExampleStep,Bullet,Cash at start + CRJ - CPJ,"At the end of each class, students must have the following:",,,45
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS2,Area of Study 2 - Recording financial data and reporting accounting information for a service business,Outcome 2,VCEACU1AS2O2KK,DetailedExampleStep,Bullet,"Include this detail as part of the folio to be submitted: handwritten, excel templates, online through the school's intranet or digital suite.","At the end of each class, students must have the following:",,,46
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS2,Area of Study 2 - Recording financial data and reporting accounting information for a service business,Outcome 2,VCEACU1AS2O2KK,DetailedExampleStep,Bullet,Repeat for 1-2 weeks of classes (approximately 200-300 minutes).,,,,47
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS2,Area of Study 2 - Recording financial data and reporting accounting information for a service business,Outcome 2,VCEACU1AS2O2KK,DetailedExampleStep,Bullet,Final class submission of folio:,,,,48
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS2,Area of Study 2 - Recording financial data and reporting accounting information for a service business,Outcome 2,VCEACU1AS2O2KK,DetailedExampleStep,Bullet,3-5 Cash Receipt and Cash Payment Journals,Final class submission of folio:,,,49
Business and Economics,Accounting,Year 11,Unit 1,VCEACU1AS2,Area of Study 2 - Recording financial data and reporting accounting information for a service business,Outcome 2,VCEACU1AS2O2KK,DetailedExampleStep,Bullet,3-5 summaries of cash balance.,Final class submission of folio:,,,50
Business and Economics,Accounting,Year 11,Unit 2,VCEACU2,,,,,UnitHeading,Unit 2: Accounting and decision-making for a trading business,,,,1
Business and Economics,Accounting,Year 11,Unit 2,VCEACU2AS1,Area of Study 1 - Accounting for and managing inventory,Outcome 1,,,OutcomeHeading,Outcome 1:,,,,1
Business and Economics,Accounting,Year 11,Unit 2,VCEACU2AS1,Area of Study 1 - Accounting for and managing inventory,Outcome 1,,,OutcomeDescription,"Record and report for inventory and discuss the effects of relevant financial and non-financial factors, and ethical considerations, on the results of business decisions.",,,,2
Business and Economics,Accounting,Year 11,Unit 2,VCEACU2AS1,Area of Study 1 - Accounting for and managing inventory,Outcome 1,,,SectionHeading,Examples of learning activities,,,,3
Business and Economics,Accounting,Year 11,Unit 2,VCEACU2AS1,Area of Study 1 - Accounting for and managing inventory,Outcome 1,VCEACU2AS1O1KK,Activity,Bullet,"Simulation (an introductory activity): Using rewards (e.g. small lollies), work through a series of structured tasks designed to unpack terminology such as Inventory, Cost of Sales, Gross Profit, Inventory Loss/Inventory Gain.",,,,4
Business and Economics,Accounting,Year 11,Unit 2,VCEACU2AS1,Area of Study 1 - Accounting for and managing inventory,Outcome 1,VCEACU2AS1O1KK,Activity,Bullet,"Case studies: Examine case studies of selected businesses to learn how they do some or all of the following: recording and managing inventory, setting of re-order points, selection of suppliers, monitoring for fast- and slow-moving lines, tracking and reduction of inventory loss, storing and rotation of inventory, management of ethical issues. (Examples of suitable businesses include: IKEA, Lego (the toys that made us), Costco, JB HiFi.)",,,,5
Business and Economics,Accounting,Year 11,Unit 2,VCEACU2AS1,Area of Study 1 - Accounting for and managing inventory,Outcome 1,VCEACU2AS1O1KK,Activity,Bullet,"Modelling: Model the impact on costings and/or financial reports of different options, providing recommendations and advice; for example: consider whether to purchase inventory of different quality standards or from different locations; consider whether to purchase licensed inventory, create a new product line or use a different supplier; consider the costing of different options to improve inventory turnover.",,,,6
Business and Economics,Accounting,Year 11,Unit 2,VCEACU2AS1,Area of Study 1 - Accounting for and managing inventory,Outcome 1,VCEACU2AS1O1KK,Activity,Bullet,"Inventory card investigation: In order to develop a working knowledge of all aspects of accounting and to understand the links between inventory and other areas of the study, practise recording into an inventory card, as well as extracting and deciphering information. Use teacher-provided completed inventory cards and extract key information such as: Cash Sales, Credit Sales, Cost of Sales. Provide a written description of a transaction on a particular date and prepare inventory cards, an Income Statement as well as any relevant additional information.",,,,7
Business and Economics,Accounting,Year 11,Unit 2,VCEACU2AS1,Area of Study 1 - Accounting for and managing inventory,Outcome 1,VCEACU2AS1O1KK,Activity,Bullet,Complete a task related to a fictitious business that takes you through each stage of the recording and reporting process in order to develop an understanding of how financial data moves through the accounting system to ultimately inform decision-making.,,,,8
Business and Economics,Accounting,Year 11,Unit 2,VCEACU2AS1,Area of Study 1 - Accounting for and managing inventory,Outcome 1,VCEACU2AS1O1KK,Activity,Bullet,"Financial statement analysis: Use financial statements (e.g. balance sheet, income statement, cash flow statement) of a business. Discuss how each statement reflects the financial health and performance of the business and consider what could be done to improve inventory management and, therefore, the overall performance of the business.",,,,9
