SubjectArea,Subject,Band,AssessmentType,AssessmentInformationDetails,AssessmentYears,UnitASCode,EQCode,EQGradeCode,Mark,Grade,EQSection,EQHeader,EQSkill,EQDescription,Sequence
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQB,VCEEL12EQB14,14,A+,B,,,Includes highly appropriate and effective use of metalinguistic tools in commenting on the features of language used,10
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQB,VCEEL12EQB14,14,A+,B,,,"Includes tightly structured commentary, with controlled and effective use of the features of written discourse",11
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQB,VCEEL12EQB13,13,A,B,,A Student:,"Demonstrates detailed analysis of the language, with discussion of a range of characteristics and features of the language in the text",12
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQB,VCEEL12EQB13,13,A,B,,,"Shows very good understanding of the function(s), purpose(s), intent(s), tenor, register and audience of the text and of the influence of contextual factors on the language used",13
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQB,VCEEL12EQB13,13,A,B,,,Includes relevant examples and evidence from the text to support the analysis,14
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQB,VCEEL12EQB13,13,A,B,,,Demonstrates assured use of metalinguistic tools in commenting on the features of language used,15
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQB,VCEEL12EQB13,13,A,B,,,"Includes clearly organised commentary, with controlled use of the features of written discourse",16
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQB,VCEEL12EQB12,12,A,B,,A Student:,"Demonstrates detailed analysis of the language, with discussion of a range of characteristics and features of the language in the text",17
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQB,VCEEL12EQB12,12,A,B,,,"Shows very good understanding of the function(s), purpose(s), intent(s), tenor, register and audience of the text and of the influence of contextual factors on the language used",18
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQB,VCEEL12EQB12,12,A,B,,,Includes relevant examples and evidence from the text to support the analysis,19
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQB,VCEEL12EQB12,12,A,B,,,Demonstrates assured use of metalinguistic tools in commenting on the features of language used,20
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQB,VCEEL12EQB12,12,A,B,,,"Includes clearly organised commentary, with controlled use of the features of written discourse",21
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQB,VCEEL12EQB11,11,B+,B,,B+ Student:,"Demonstrates good analysis of the language, discussing several characteristics and features of the language in the text",22
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQB,VCEEL12EQB11,11,B+,B,,,"Shows sound understanding of the function(s), purpose(s), intent(s), tenor, register and audience of the text and the influence of contextual factors on the language used",23
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQB,VCEEL12EQB11,11,B+,B,,,Provides examples and evidence from the text to support the discussion,24
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQB,VCEEL12EQB11,11,B+,B,,,Displays a mostly accurate analysis of language and ideas in metalinguistic terms,25
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQB,VCEEL12EQB11,11,B+,B,,,Indicates an ability to utilise appropriate features of written discourse in the overall structure of commentary,26
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQB,VCEEL12EQB10,10,B,B,,B Student:,"Demonstrates good analysis of the language, discussing several characteristics and features of the language in the text",27
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQB,VCEEL12EQB10,10,B,B,,,"Shows sound understanding of the function(s), purpose(s), intent(s), tenor, register and audience of the text and the influence of contextual factors on the language used",28
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQB,VCEEL12EQB10,10,B,B,,,Provides examples and evidence from the text to support the discussion,29
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQB,VCEEL12EQB10,10,B,B,,,Displays a mostly accurate analysis of language and ideas in metalinguistic terms,30
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQB,VCEEL12EQB10,10,B,B,,,Indicates an ability to utilise appropriate features of written discourse in the overall structure of commentary,31
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQB,VCEEL12EQB09,9,C+,B,,C+ Student:,"Demonstrates some analysis of the language features of the text and some understanding of the function(s), purpose(s), intent(s), tenor, register and audience of the text and the influence of contextual factors on the language used",32
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQB,VCEEL12EQB09,9,C+,B,,,Illustrates some points with examples and evidence from the text,33
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQB,VCEEL12EQB09,9,C+,B,,,"Uses metalanguage sporadically and not always accurately, and does not sustain analysis throughout response",34
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQB,VCEEL12EQB09,9,C+,B,,,Demonstrates inconsistent use of features of written discourse,35
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQB,VCEEL12EQB08,8,C,B,,C Student:,"Demonstrates some analysis of the language features of the text and some understanding of the function(s), purpose(s), intent(s), tenor, register and audience of the text and the influence of contextual factors on the language used",36
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQB,VCEEL12EQB08,8,C,B,,,Illustrates some points with examples and evidence from the text,37
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQB,VCEEL12EQB08,8,C,B,,,"Uses metalanguage sporadically and not always accurately, and does not sustain analysis throughout response",38
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQB,VCEEL12EQB08,8,C,B,,,Demonstrates inconsistent use of features of written discourse,39
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQB,VCEEL12EQB07,7,D+,B,,D+ Student:,Demonstrates limited analysis of the language features in the text.,40
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQB,VCEEL12EQB07,7,D+,B,,,"Demonstrates a limited understanding of the function(s), purpose(s), intent(s), tenor, register and audience of the text and the influence of contextual factors on the language used",41
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQB,VCEEL12EQB07,7,D+,B,,,Provides few supporting examples or evidence,42
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQB,VCEEL12EQB07,7,D+,B,,,"Uses little or no metalanguage, and is general, superficial and/or descriptive rather than analytical",43
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQB,VCEEL12EQB07,7,D+,B,,,"Uses some features of written discourse, but not consistently",44
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQB,VCEEL12EQB06,6,D,B,,D Student:,Demonstrates limited analysis of the language features in the text.,45
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQB,VCEEL12EQB06,6,D,B,,,"Demonstrates a limited understanding of the function(s), purpose(s), intent(s), tenor, register and audience of the text and the influence of contextual factors on the language used",46
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQB,VCEEL12EQB06,6,D,B,,,Provides few supporting examples or evidence,47
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQB,VCEEL12EQB06,6,D,B,,,"Uses little or no metalanguage, and is general, superficial and/or descriptive rather than analytical",48
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQB,VCEEL12EQB06,6,D,B,,,"Uses some features of written discourse, but not consistently",49
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQB,VCEEL12EQB05,5,E+,B,,E+ Student:,"Provides basic discussion of some language features but without understanding of function(s), purpose(s), intent(s), tenor, register and audience and other contextual factors of the text",50
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQB,VCEEL12EQB05,5,E+,B,,,Selects little to no supporting examples or evidence,51
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQB,VCEEL12EQB05,5,E+,B,,,"Describes the language of the text, but does not express these in metalanguage",52
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQB,VCEEL12EQB05,5,E+,B,,,Uses few features of written discourse,53
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQB,VCEEL12EQB04,4,E,B,,E Student:,"Provides basic discussion of some language features but without understanding of function(s), purpose(s), intent(s), tenor, register and audience and other contextual factors of the text",54
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQB,VCEEL12EQB04,4,E,B,,,Selects little to no supporting examples or evidence,55
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQB,VCEEL12EQB04,4,E,B,,,"Describes the language of the text, but does not express these in metalanguage",56
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQB,VCEEL12EQB04,4,E,B,,,Uses few features of written discourse,57
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQB,VCEEL12EQB03,3,UG,B,,UG Student:,Shows little understanding of the task,58
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQB,VCEEL12EQB03,3,UG,B,,,"Includes one or two loosely related ideas, but these are not developed and lack evidence and examples",59
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQB,VCEEL12EQB03,3,UG,B,,,Uses minimal evidence of appropriate features of written discourse,60
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQB,VCEEL12EQB02,2,UG,B,,UG Student:,Shows little understanding of the task,61
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQB,VCEEL12EQB02,2,UG,B,,,"Includes one or two loosely related ideas, but these are not developed and lack evidence and examples",62
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQB,VCEEL12EQB02,2,UG,B,,,Uses minimal evidence of appropriate features of written discourse,63
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQB,VCEEL12EQB01,1,UG,B,,UG Student:,Shows little understanding of the task,64
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQB,VCEEL12EQB01,1,UG,B,,,"Includes one or two loosely related ideas, but these are not developed and lack evidence and examples",65
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQB,VCEEL12EQB01,1,UG,B,,,Uses minimal evidence of appropriate features of written discourse,66
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQB,VCEEL12EQB00,0,UG,B,,UG Student:,Shows little understanding of the task,67
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQB,VCEEL12EQB00,0,UG,B,,,"Includes one or two loosely related ideas, but these are not developed and lack evidence and examples",68
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQB,VCEEL12EQB00,0,UG,B,,,Uses minimal evidence of appropriate features of written discourse,69
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQC,,,,C,"Expected qualities for the mark range:

Section C - Essay",,,1
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQC,VCEEL12EQC15,15,A+,C,,A+ Student:,"Demonstrates confident and detailed examination of the topic, with sophisticated discussion of the social contexts of language-use and depth and breadth of sociolinguistic knowledge as appropriate",2
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQC,VCEEL12EQC15,15,A+,C,,,"Displays highly relevant use of evidence and examples from contemporary sociolinguistic discussions and debates, including reference to the stimulus material",3
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQC,VCEEL12EQC15,15,A+,C,,,"Includes excellent analysis, using highly appropriate and effective metalanguage",4
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQC,VCEEL12EQC15,15,A+,C,,,Creates a tightly structured essay characterised by assured use of the features of written discourse,5
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQC,VCEEL12EQC14,14,A+,C,,A+ Student:,"Demonstrates confident and detailed examination of the topic, with sophisticated discussion of the social contexts of language-use and depth and breadth of sociolinguistic knowledge as appropriate",6
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQC,VCEEL12EQC14,14,A+,C,,,"Displays highly relevant use of evidence and examples from contemporary sociolinguistic discussions and debates, including reference to the stimulus material",7
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQC,VCEEL12EQC14,14,A+,C,,,"Includes excellent analysis, using highly appropriate and effective metalanguage",8
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQC,VCEEL12EQC14,14,A+,C,,,Creates a tightly structured essay characterised by assured use of the features of written discourse,9
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQC,VCEEL12EQC13,13,A,C,,A Student:,"Demonstrates very good understanding of the topic, with broadly ranging ideas about the social contexts of language use",10
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQC,VCEEL12EQC13,13,A,C,,,"Displays relevant use of evidence and examples from contemporary sociolinguistic discussions and debates, including reference to the stimulus material",11
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQC,VCEEL12EQC13,13,A,C,,,"Provides very good analysis, with appropriate and effective use of metalanguage",12
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQC,VCEEL12EQC13,13,A,C,,,Creates a well-structured essay characterised by assured use of the features of written discourse,13
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQC,VCEEL12EQC12,12,A,C,,A Student:,"Demonstrates very good understanding of the topic, with broadly ranging ideas about the social contexts of language use",14
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQC,VCEEL12EQC12,12,A,C,,,"Displays relevant use of evidence and examples from contemporary sociolinguistic discussions and debates, including reference to the stimulus material",15
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQC,VCEEL12EQC12,12,A,C,,,"Provides very good analysis, with appropriate and effective use of metalanguage",16
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQC,VCEEL12EQC12,12,A,C,,,Creates a well-structured essay characterised by assured use of the features of written discourse,17
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQC,VCEEL12EQC11,11,B+,C,,B+ Student:,"Demonstrates good understanding of the topic, making several points about the social contexts of language use, mostly supported by examples or evidence drawn from contemporary sociolinguistic discussion and debate",18
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQC,VCEEL12EQC11,11,B+,C,,,Includes some reference to the stimulus material,19
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQC,VCEEL12EQC11,11,B+,C,,,"Includes analysis of ideas, mostly expressed accurately with metalanguage",20
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQC,VCEEL12EQC11,11,B+,C,,,Indicates ability to utilise appropriate features of written discourse in the essay’s overall structure,21
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQC,VCEEL12EQC10,10,B,C,,B Student:,"Demonstrates good understanding of the topic, making several points about the social contexts of language use, mostly supported by examples or evidence drawn from contemporary sociolinguistic discussion and debate",22
English,English Language,12,Final Exam,Pre Exam Criteria,2024-2028,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEEL12EQC,VCEEL12EQC10,10,B,C,,,Includes some reference to the stimulus material,23
