SubjectArea,Subject,Band,AssessmentType,AssessmentInformationDetails,AssessmentYears,UnitASCode,ExamReportCode,EQCode,SectionCode,SectionName,QuestionNumber,QuestionLabel,Marks,ContentType,Content,StimulusSource,Sequence
English,English Language,Year 12,Final Exam,Exam Questions,2024,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEELERA,VCEEL12EQA,A,Short-answer questions,3,Question 3,2,Paragraph,Identify one example of a politeness strategy used in this interaction and justify how it influences the tenor between the participants. Use appropriate metalanguage and refer to line numbers in your response.,,11
English,English Language,Year 12,Final Exam,Exam Questions,2024,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEELERA,VCEEL12EQA,A,Short-answer questions,4,Question 4,4,Paragraph,"Explain how changes in function throughout the text reflect aspects of the situational context. Use appropriate metalanguage, including Jakobson's functions of language, and refer to line numbers in your response.",,12
English,English Language,Year 12,Final Exam,Exam Questions,2024,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEELERA,VCEEL12EQA,A,Short-answer questions,5,Question 5,5,Paragraph,Analyse how Alcott and Koslowski's turn-taking strategies help to construct their individual identities as well as group membership in the wider community. Use appropriate metalanguage and refer to line numbers in your response.,,13
English,English Language,Year 12,Final Exam,Exam Questions,2024,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEELERB,VCEEL12EQB,B,Analytical commentary,,,,Header,Section B: Analytical commentary,,1
English,English Language,Year 12,Final Exam,Exam Questions,2024,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEELERB,VCEEL12EQB,B,Analytical commentary,,,,SubHeader,Instructions,,2
English,English Language,Year 12,Final Exam,Exam Questions,2024,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEELERB,VCEEL12EQB,B,Analytical commentary,,,,Bullet,Section B relates to Text 2 in the Insert.,,3
English,English Language,Year 12,Final Exam,Exam Questions,2024,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEELERB,VCEEL12EQB,B,Analytical commentary,,,,Bullet,Section B requires an analytical commentary on Text 2.,,4
English,English Language,Year 12,Final Exam,Exam Questions,2024,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEELERB,VCEEL12EQB,B,Analytical commentary,,,,Bullet,"In your response, you are expected to:",,5
English,English Language,Year 12,Final Exam,Exam Questions,2024,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEELERB,VCEEL12EQB,B,Analytical commentary,,,,SubBullet,Demonstrate your ability to use relevant descriptive and metalinguistic tools.,,6
English,English Language,Year 12,Final Exam,Exam Questions,2024,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEELERB,VCEEL12EQB,B,Analytical commentary,,,,SubBullet,"Demonstrate familiarity with the topics of Unit 3, 'Language variation and purpose', and the topics of Unit 4, 'Language variation and identity'.",,7
English,English Language,Year 12,Final Exam,Exam Questions,2024,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEELERB,VCEEL12EQB,B,Analytical commentary,,,,Paragraph,"Text 2: Narragunnawali: Reconciliation in Education webpage from Reconciliation Australia, including an embedded YouTube clip transcript. The platform supports schools and early learning services to foster knowledge and pride in Aboriginal and Torres Strait Islander histories, cultures and contributions.",,8
English,English Language,Year 12,Final Exam,Exam Questions,2024,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEELERB,VCEEL12EQB,B,Analytical commentary,6,Question 6,30,Paragraph,Write an analytical commentary on the language features of Text 2.,,9
English,English Language,Year 12,Final Exam,Exam Questions,2024,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEELERB,VCEEL12EQB,B,Analytical commentary,6,Question 6,30,Paragraph,"In your response, you should comment on the:",,10
English,English Language,Year 12,Final Exam,Exam Questions,2024,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEELERB,VCEEL12EQB,B,Analytical commentary,6,Question 6,30,Bullet,"Function(s), purpose(s) and intent(s) of the text.",,11
English,English Language,Year 12,Final Exam,Exam Questions,2024,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEELERB,VCEEL12EQB,B,Analytical commentary,6,Question 6,30,Bullet,Situational and cultural context(s) influencing and affecting the text.,,12
English,English Language,Year 12,Final Exam,Exam Questions,2024,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEELERB,VCEEL12EQB,B,Analytical commentary,6,Question 6,30,Bullet,"Influence of register, tenor and audience.",,13
English,English Language,Year 12,Final Exam,Exam Questions,2024,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEELERB,VCEEL12EQB,B,Analytical commentary,6,Question 6,30,Bullet,Relevant characteristics and features of language in the text.,,14
English,English Language,Year 12,Final Exam,Exam Questions,2024,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEELERB,VCEEL12EQB,B,Analytical commentary,6,Question 6,30,Paragraph,Refer to at least two subsystems of language in your analysis.,,15
English,English Language,Year 12,Final Exam,Exam Questions,2024,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEELERC,VCEEL12EQC,C,Essay,,,,Header,Section C: Essay,,1
English,English Language,Year 12,Final Exam,Exam Questions,2024,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEELERC,VCEEL12EQC,C,Essay,,,,SubHeader,Instructions,,2
English,English Language,Year 12,Final Exam,Exam Questions,2024,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEELERC,VCEEL12EQC,C,Essay,,,,Bullet,"Section C requires a sustained expository response to one question: Question 7, Question 8 or Question 9.",,3
English,English Language,Year 12,Final Exam,Exam Questions,2024,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEELERC,VCEEL12EQC,C,Essay,,,,Bullet,"In your response, you are expected to:",,4
English,English Language,Year 12,Final Exam,Exam Questions,2024,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEELERC,VCEEL12EQC,C,Essay,,,,SubBullet,"Demonstrate your ability to use relevant, descriptive and appropriate metalanguage.",,5
English,English Language,Year 12,Final Exam,Exam Questions,2024,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEELERC,VCEEL12EQC,C,Essay,,,,SubBullet,"Demonstrate familiarity with the topics of Unit 3, 'Language variation and purpose', and the topics of Unit 4, 'Language variation and identity'.",,6
English,English Language,Year 12,Final Exam,Exam Questions,2024,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEELERC,VCEEL12EQC,C,Essay,,,,SubBullet,Refer to the stimulus material provided.,,7
English,English Language,Year 12,Final Exam,Exam Questions,2024,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEELERC,VCEEL12EQC,C,Essay,7,Question 7,30,Paragraph,"'Language defines our Australian identity, and its use is constantly changing.' Discuss, referring to at least two subsystems of language in your response.",,8
English,English Language,Year 12,Final Exam,Exam Questions,2024,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEELERC,VCEEL12EQC,C,Essay,7,Question 7,30,Paragraph,"Stimulus A: When we say 'identity capital' about one person, it's similar to talking about the 'brand' or the 'mission' or the 'value' of a corporation ... But ... [i]dentity capital has a lot more to do with connections and relationships and community.","Adapted from Jason Lalljee, '""Identity capital"" is the key to getting your dream job and making friends in your 20s, according to Gen Z and millennials on TikTok', businessinsider.com, 11 February 2023",9
English,English Language,Year 12,Final Exam,Exam Questions,2024,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEELERC,VCEEL12EQC,C,Essay,7,Question 7,30,Paragraph,"Stimulus B: ... never lose sight of that other very important function* of language and that is to express your identity, whether that's personal identity or whether that's shared identity. So, the fact that [social media users] have to use writing of course means that they have to ... define the gang, if you like, they have to break out of the written standard. So there is, for example ... I mean, using the freedom of the net to convey their personalities, their personal identity, but also accommodating to their peers. [*not Jakobson's functions of language]","Adapted from Kate Burridge, Big Ideas: Evolving English and the Role of Social Media, video, abc.net.au, 13 November 2011",10
English,English Language,Year 12,Final Exam,Exam Questions,2024,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEELERC,VCEEL12EQC,C,Essay,8,Question 8,30,Paragraph,"'Our choice of variation in Australian English may both support and contradict our purposes in interactions with others.' Discuss, referring to at least two subsystems of language in your response.",,11
English,English Language,Year 12,Final Exam,Exam Questions,2024,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEELERC,VCEEL12EQC,C,Essay,8,Question 8,30,Paragraph,"Stimulus A: Employee characteristics by generation — Baby boomers: optimistic, hierarchical culture, the chance to mentor others, respect. Gen X: innovative, strong communicators, autonomy. Millennials: tech-savvy, collaborative, training for new skills, flexibility. Gen Z: digitally fluent, practical, culturally competent employer, mentorship.","Adapted from Kiran Zain Ashraf, 'Embracing generational diversity: The key to effective leadership', linkedin.com, 2 August 2023",12
English,English Language,Year 12,Final Exam,Exam Questions,2024,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEELERC,VCEEL12EQC,C,Essay,8,Question 8,30,Paragraph,"Stimulus B: You can safely bet your teens will continue to roll their eyes nearly every time you speak, but proper use of these new slang words and slang phrases will earn you at least grudging respect. Although I wouldn't go around speaking like a TikTok teen at the office ... that's just majorly cringe.","Adapted from Robin Enan, 'Gen Z lingo explained: what every parent needs to know!', familyeducation.com, updated 1 August 2024",13
English,English Language,Year 12,Final Exam,Exam Questions,2024,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEELERC,VCEEL12EQC,C,Essay,9,Question 9,30,Paragraph,'Register and politeness often go hand in hand with the concept of social standing within contemporary Australian society.' To what extent is this true? Refer to at least two subsystems of language in your response.,,14
English,English Language,Year 12,Final Exam,Exam Questions,2024,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEELERC,VCEEL12EQC,C,Essay,9,Question 9,30,Paragraph,Stimulus A: There is long-standing research demonstrating the dangers of chatbots and their capacity to harm human creativity and critical thinking. This happens because humans seem to automatically trust bots and their outputs.,"Lucinda McKnight and Leon Furze, 'Australia has its first framework for AI use in schools - but we need to proceed with caution', theconversation.com, 4 December 2023",15
English,English Language,Year 12,Final Exam,Exam Questions,2024,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEELERC,VCEEL12EQC,C,Essay,9,Question 9,30,Paragraph,"Stimulus B: Survey results: 'Is political correctness ruining Australian society?' — Yes: 90%, No: 10%.","Adapted from The Australian Seniors Series: Modern Manners Survey, seniors.com.au, 2017",16
English,English Language,Year 12,Final Exam,Exam Questions,2024,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEELERC,VCEEL12EQC,C,Essay,9,Question 9,30,Paragraph,Stimulus C: Memes that infantilized older adults often portrayed them as immature and illiterate despite their age and emphasized their dependence on others. Memes that barbarized older adults portrayed them as being uncultured or having inferior cultural tastes ...,"Adapted from Si Yu Lee and Jasmon WT Hoh, 'A critical examination of ageism in memes and the role of meme factories', Sage Journals, Vol. 25, Issue 12, 7 October 2021",17
English,English Language,Year 12,Final Exam,Exam Questions,2024,"VCEELU3AS1,VCEELU3AS2,VCEELU4AS1,VCEELU4AS2",VCEELERC,VCEEL12EQC,C,Essay,9,Question 9,30,Paragraph,"Stimulus D: Politicians operate in an environment where their every word and action is scrutinized by the media and the public. This intense scrutiny can create an incentive to spin or distort the truth, as politicians may feel pressured to present themselves in the most favorable light or avoid potential controversies.","T Grafton, 'What is the reason politicians use so much jargon and double-speak? Can you give some examples?', Quora, quora.com, 2023",18
