SubjectArea,Subject,Band,AssessmentType,AssessmentInformationDetails,AssessmentYears,Section,SectionHeader,InfoType,Code,Sequence,Name,Explanation,Example,Definition,DefinitionSource,IsNew
English,English,12,Final Exam,Post Exam Report,2024,A,Analytical response to a text,Topic Verb,VCEE12ATV06,6,explores,,,"To examine, investigate, or consider in depth; to look at multiple aspects, perspectives, or implications of an idea, theme, or value",LLM-generated,N
English,English,12,Final Exam,Post Exam Report,2024,A,Analytical response to a text,Topic Verb,VCEE12ATV07,7,portrays,,,"To represent, depict, or characterise; to present a particular image, interpretation, or understanding of a character, setting, or idea",LLM-generated,N
English,English,12,Final Exam,Post Exam Report,2024,A,Analytical response to a text,Topic Verb,VCEE12ATV08,8,re-enforces,,,"To strengthen, support, or give additional weight to an idea, value, or theme; to confirm or intensify through repetition or emphasis",LLM-generated,N
English,English,12,Final Exam,Post Exam Report,2024,A,Analytical response to a text,Topic Verb,VCEE12ATV09,9,reveals,,,"To make known, uncover, or disclose something previously hidden or not immediately apparent about characters, themes, or values",LLM-generated,N
English,English,12,Final Exam,Post Exam Report,2024,A,Analytical response to a text,Topic Verb,VCEE12ATV10,10,shapes,,,"To influence, form, or determine the nature, development, or outcome of something; to mould understanding or perception",LLM-generated,N
English,English,12,Final Exam,Post Exam Report,2024,A,Analytical response to a text,Topic Verb,VCEE12ATV11,11,shows,,,"To present, display, or make visible; to demonstrate through the text's content, structure, or language how something is represented",LLM-generated,N
English,English,12,Final Exam,Post Exam Report,2024,A,Analytical response to a text,Topic Verb,VCEE12ATV12,12,is/are,,,"To assert a direct equivalence, identity, or inherent quality; to claim that something fundamentally equals or embodies a particular characteristic",LLM-generated,N
English,English,12,Final Exam,Post Exam Report,2024,A,Analytical response to a text,Topic Verb,VCEE12ATV13,13,is not/are not,,,"To assert a distinction, denial, or absence of a quality; to claim that something does not equal, embody, or possess a particular characteristic",LLM-generated,N
English,English,12,Final Exam,Post Exam Report,2024,A,Analytical response to a text,Topic Verb,VCEE12ATV14,14,interplays,,,"To show how two or more elements interact with, influence, and affect each other reciprocally; to examine the dynamic relationship between concepts",LLM-generated,Y
English,English,12,Final Exam,Post Exam Report,2024,A,Analytical response to a text,Topic Implication,VCEE12ATIM01,1,By the use of absolute terms,,"‘No one in My Brilliant Career is ever truly satisfied.’
Do you agree?",,,N
English,English,12,Final Exam,Post Exam Report,2024,A,Analytical response to a text,Topic Implication,VCEE12ATIM02,2,"By the connotations of verbs, nouns or adjectives",,How does Johnson explore different perceptions of truth in High Ground?,,,N
English,English,12,Final Exam,Post Exam Report,2024,A,Analytical response to a text,Topic Implication,VCEE12ATIM03,3,By the ‘silence’ in a proposition (or quote),,"‘Why should a man suffer so grievously for an offence he had committed inadvertently?’
In Things Fall Apart the consequences of actions are rarely fair.
Do you agree?",,,N
English,English,12,Final Exam,Post Exam Report,2024,A,Analytical response to a text,Topic Implication,VCEE12ATIM04,4,By the use of adverbs,,"‘You can trust me. I am ready to help.’
In the play, the desire to behave honourably causes suffering.
To what extent do you agree?",,,N
English,English,12,Final Exam,Post Exam Report,2024,A,Analytical response to a text,Topic Implication,VCEE12ATIM05,5,By the inclusion of a quote,,"‘Paradise is beneath your mother’s feet’
How does Erpenbeck explore what it means to belong?",,,N
