SubjectArea,Subject,SubjectStreamCode,SubjectStreamName,Band,AssessmentType,AssessmentInformationDetails,AssessmentYears,UnitASCode,ExamReportCode,EQCode,SectionCode,StrategyType,ExamQuestion,ResponseSource,Content,Example,Sequence
Performing Arts,Theatre Studies,,,Year 12,Final Exam,Post Exam Report,2025,,VCETSERA,VCETS25EQA1,VCETSERACM,,Question 1b,ExaminerCommentary,Analysing text and annotating scene,,11
Performing Arts,Theatre Studies,,,Year 12,Final Exam,Post Exam Report,2025,,VCETSERA,VCETS25EQA1,VCETSERACM,,Question 1b,ExaminerCommentary,Developing a mind-map in response to initial research,,12
Performing Arts,Theatre Studies,,,Year 12,Final Exam,Post Exam Report,2025,,VCETSERA,VCETS25EQA1,VCETSERACM,,Question 1b,ExaminerCommentary,Brainstorming a physical theatre workshop.,,13
Performing Arts,Theatre Studies,,,Year 12,Final Exam,Post Exam Report,2025,,VCETSERA,VCETS25EQA1,VCETSERACM,,Question 1b,ExaminerCommentary,"Low-scoring responses demonstrated little or no knowledge of a listed production role and/or little or no consideration of the specified scene from The Tempest. For example, writing that 'I would brainstorm during the planning stage' makes no reference to the supplied dramaturgy, nor does it clarify the intended purpose (why) or process (how) of the stated planning activity (brainstorming).",,14
Performing Arts,Theatre Studies,,,Year 12,Final Exam,Post Exam Report,2025,,VCETSERA,VCETS25EQA1,VCETSERAER,EnhancedStrategies,Question 1b,ExaminerCommentary,"High-scoring responses demonstrated good knowledge of the selected production role, together with ideas for beginning work on a recontextualised interpretation of The Tempest.",,15
Performing Arts,Theatre Studies,,,Year 12,Final Exam,Post Exam Report,2025,,VCETSERA,VCETS25EQA1,VCETSERAER,EnhancedStrategies,Question 1b,StudentResponse,The following is an example of a high-scoring response to Question 1a.,"As the director for 'The Tempest' inspired by the pop art collation of strong women in Image 1, I would plan to recontextualise the character of Ariel as a female to explore the misuse of power through a feminist lens. I would undertake the planning activity of researching historical female leaders such as the Amazons in Greek mythology and take notes on how power is wielded by females in comparison to males to aid in this recontextualisation. The recontextualisation will appeal to younger generations by providing a twist on Shakespeare that still explores the theme of power's misuse.",16
Performing Arts,Theatre Studies,,,Year 12,Final Exam,Post Exam Report,2025,,VCETSERA,VCETS25EQA1,VCETSERACM,,Question 1b,ExaminerCommentary,"Informed by Ariel's recontextualisation as a female to celebrate mystical feminine power, I would undertake the planning activity of creating a blocking map. For the moment when the sailors jump into the ocean in terror, I would consider how to stage Ariel's movements so that the recontextualised character could reflect a higher status over the sailors. The planned positioning of the actor of Ariel would show possibilities for communicating Ariel's feminine dominance over the masculine sailors.",,17
Performing Arts,Theatre Studies,,,Year 12,Final Exam,Post Exam Report,2025,,VCETSERA,VCETS25EQA1,VCETSERACM,,Question 1d,ExaminerCommentary,"Parts c and d of Question 1 asked students to describe how they would work in their selected production role during the development stage to realise the storm scene. Students were asked to describe how they could apply motion to rehearse, trial or experiment with an idea (part c.), and how they would refine their work through the employment of theatre technologies (part d.).",,18
Performing Arts,Theatre Studies,,,Year 12,Final Exam,Post Exam Report,2025,,VCETSERA,VCETS25EQA1,VCETSERACM,,Question 1d,ExaminerCommentary,Development activities discussed in student responses included:,,19
Performing Arts,Theatre Studies,,,Year 12,Final Exam,Post Exam Report,2025,,VCETSERA,VCETS25EQA1,VCETSERACM,,Question 1d,ExaminerCommentary,Trialling costumes during rehearsals to evaluate how fabrics moved/flowed,,20
Performing Arts,Theatre Studies,,,Year 12,Final Exam,Post Exam Report,2025,,VCETSERA,VCETS25EQA1,VCETSERACM,,Question 1d,ExaminerCommentary,Testing a range of blocking options for the actors playing Ariel during rehearsals and determining a sequence that could be looped,,21
Performing Arts,Theatre Studies,,,Year 12,Final Exam,Post Exam Report,2025,,VCETSERA,VCETS25EQA1,VCETSERACM,,Question 1d,ExaminerCommentary,Experimenting with the placement of multiple portable speakers in the performance venue,,22
Performing Arts,Theatre Studies,,,Year 12,Final Exam,Post Exam Report,2025,,VCETSERA,VCETS25EQA1,VCETSERACM,,Question 1d,ExaminerCommentary,Using rolling platforms (or 'trucks') during rehearsals to determine the viability of moving actors / set pieces during the storm scene,,23
Performing Arts,Theatre Studies,,,Year 12,Final Exam,Post Exam Report,2025,,VCETSERA,VCETS25EQA1,VCETSERACM,,Question 1d,ExaminerCommentary,Placing electrical fans within the set and then experimenting with timing and a range of settings to achieve the intended effect.,,24
Performing Arts,Theatre Studies,,,Year 12,Final Exam,Post Exam Report,2025,,VCETSERA,VCETS25EQA1,VCETSERACM,,Question 1d,ExaminerCommentary,"Low-scoring responses to Questions 1c. and 1d. demonstrated little or no knowledge of work typically performed in the selected production role during the development stage of the production process. Some students did not discuss motion or theatre technologies at all, while others described activities that are undertaken in the planning and/or presentation stages.",,25
Performing Arts,Theatre Studies,,,Year 12,Final Exam,Post Exam Report,2025,,VCETSERA,VCETS25EQA1,VCETSERAER,EnhancedStrategies,Question 1d,ExaminerCommentary,High-scoring responses demonstrated good knowledge of their selected production role (as evidenced by the use of accurate technical language) together with a clear understanding of the types of activities completed during the development stage. High-scoring responses described activities that were designed to discover solutions to problems that might arise when incorporating motion and theatre technologies into a staging of the storm scene.,,26
Performing Arts,Theatre Studies,,,Year 12,Final Exam,Post Exam Report,2025,,VCETSERA,VCETS25EQA1,VCETSERACM,,Question 1d,ExaminerCommentary,"As I aim to possibly incorporate a large boat as a set piece, I can begin to take mock set pieces into the rehearsal space with the actors to see if the positioning of the set impacts the actors' spatial flow and their motion on stage. It may be that having a large set piece restricts their motion in the space, conveying the oppression and confinement people experienced during colonisation.",,27
Performing Arts,Theatre Studies,,,Year 12,Final Exam,Post Exam Report,2025,,VCETSERA,VCETS25EQA1,VCETSERACM,,Question 1d,ExaminerCommentary,"To further enhance and refine the scene I can create a set model box in which I can use a laptop to act as a back cyclorama for projections in the model. Incorporating theatre technology of projections of a storming sky with lightning and big crashing waves that look like they are engulfing the ship, will further the intensity and life or death moment of the storm.",,28
Performing Arts,Theatre Studies,,,Year 12,Final Exam,Post Exam Report,2025,,VCETSERA,VCETS25EQA1,VCETSERACM,,Question 1e,ExaminerCommentary,"Question 1e. asked students to explain how work in their selected production role could realise a production aim, namely ensuring that the storm scene could be staged in a safe, ethical, inclusive and/or sustainable way. They were asked to consider how the depiction of chaos and confusion of the storm scene could be refined during the presentation stage, specifically during the technical or dress rehearsals. Students were asked to refer to the performance and the impact(s) on the production team and/or the audience.",,29
Performing Arts,Theatre Studies,,,Year 12,Final Exam,Post Exam Report,2025,,VCETSERA,VCETS25EQA1,VCETSERACM,,Question 1e,ExaminerCommentary,Presentation activities discussed in student responses included:,,30
Performing Arts,Theatre Studies,,,Year 12,Final Exam,Post Exam Report,2025,,VCETSERA,VCETS25EQA1,VCETSERACM,,Question 1e,ExaminerCommentary,Adding padding or reflective tape to parts of the set,,31
Performing Arts,Theatre Studies,,,Year 12,Final Exam,Post Exam Report,2025,,VCETSERA,VCETS25EQA1,VCETSERACM,,Question 1e,ExaminerCommentary,Clearing entrance and exit points of tripping hazards,,32
Performing Arts,Theatre Studies,,,Year 12,Final Exam,Post Exam Report,2025,,VCETSERA,VCETS25EQA1,VCETSERACM,,Question 1e,ExaminerCommentary,Modifying lighting or sound levels,,33
Performing Arts,Theatre Studies,,,Year 12,Final Exam,Post Exam Report,2025,,VCETSERA,VCETS25EQA1,VCETSERACM,,Question 1e,ExaminerCommentary,Providing a safety induction or walk-through,,34
Performing Arts,Theatre Studies,,,Year 12,Final Exam,Post Exam Report,2025,,VCETSERA,VCETS25EQA1,VCETSERACM,,Question 1e,ExaminerCommentary,Making adjustments to costumes in response to post-dress rehearsal discussion.,,35
Performing Arts,Theatre Studies,,,Year 12,Final Exam,Post Exam Report,2025,,VCETSERA,VCETS25EQA1,VCETSERACM,,Question 1e,ExaminerCommentary,Some low-scoring responses to Question 1e. demonstrated little or no knowledge of activities completed during technical or dress rehearsals. Others neglected to answer two or more parts of the question (e.g. not discussing the chaos/confusion conveyed in the storm scene or of the performance). Some low-scoring responses stated that they would ensure safe work practices without explaining how they would do this.,,36
Performing Arts,Theatre Studies,,,Year 12,Final Exam,Post Exam Report,2025,,VCETSERA,VCETS25EQA1,VCETSERAER,EnhancedStrategies,Question 1e,ExaminerCommentary,"High-scoring responses demonstrated thorough knowledge of one or more activities typically completed in the presentation stage by a person working in the selected production role. High-scoring responses addressed all parts of the question, demonstrating an understanding of the opportunity provided in a technical or dress rehearsal to ensure that all of the disparate parts of a performance are ready for an audience.",,37
Performing Arts,Theatre Studies,,,Year 12,Final Exam,Post Exam Report,2025,,VCETSERA,VCETS25EQA1,VCETSERACM,,Question 1e,ExaminerCommentary,"During the presentation stage I can undertake in [sic] a safety walk of the set with actors and crew during a technical rehearsal. As the storm scene will have flashing lights and big bulky set pieces, it is important to recognise that during the chaos and confusion, actors may have difficulty seeing and moving through parts of the stage safely. Walking through the set will help to make sure that all cast and crew are aware of possible hazards, including parts of the set that are on different levels. During a tech rehearsal, I can watch to ensure that the actors can move around and interact with the set safely, particularly when there are different levels of light being applied. If a part of the set is found to be risky during the tech rehearsal, I can adapt that part of the set (e.g. by adding padding or reflective tape) or adjust the positioning of the problematic part of the set. Alternatively, some of the actors' blocking can be refined during the tech rehearsal to accommodate my set, or some of the lighting states can be adjusted to help the actors move around the set more safely during the storm scene. The aim of checking the set during the tech rehearsal is to ensure that during the performance, even though it looks chaotic, the actors are not actually in danger of hurting themselves during the storm scene.",,38
Performing Arts,Theatre Studies,,,Year 12,Final Exam,Post Exam Report,2025,,VCETSERA,VCETS25EQA2,VCETSERACM,,Question 2,ExaminerCommentary,"In Question 2 of Section A, students were required to apply knowledge of one production role to realise an interpretation of a script excerpt from The Tempest. Question 2 comprised two parts that both required students to quote one or more lines of dialogue from Script excerpt 2.",,39
Performing Arts,Theatre Studies,,,Year 12,Final Exam,Post Exam Report,2025,,VCETSERA,VCETS25EQA2,VCETSERACM,,Question 2a,ExaminerCommentary,"Question 2a. asked students to refer to a specific quality or trait of Caliban. Many students demonstrated their comprehension of the supplied dramaturgy and their analysis of Script excerpt 2 when describing Caliban's character. Students used adjectives such as 'resentful', 'enslaved', 'embittered', 'resistant' and 'working class'. When explaining how their selected production role interrelated with one or more other production roles, students considered how their analysis of Caliban could be communicated through a combination of acting, direction and/or design.",,40
Performing Arts,Theatre Studies,,,Year 12,Final Exam,Post Exam Report,2025,,VCETSERA,VCETS25EQA2,VCETSERACM,,Question 2a,ExaminerCommentary,Some low-scoring responses demonstrated little or no knowledge of a specific quality or trait of Caliban. Some did not include a direct quote from Script excerpt 2 or an explanation of how one or more other production roles could collaborate to realise a specific quality or trait.,,41
Performing Arts,Theatre Studies,,,Year 12,Final Exam,Post Exam Report,2025,,VCETSERA,VCETS25EQA2,VCETSERAER,EnhancedStrategies,Question 2a,ExaminerCommentary,"Higher-scoring responses provided a clear and detailed explanation of how the selected production role could be applied to communicate a core aspect of Caliban's character. In these responses, the explanation of how multiple production roles could work together to interpret Script excerpt 2 was thorough and incorporated accurate theatre-specific terminology.",,42
Performing Arts,Theatre Studies,,,Year 12,Final Exam,Post Exam Report,2025,,VCETSERA,VCETS25EQA2,VCETSERACM,,Question 2a,ExaminerCommentary,"As Caliban, I would realise the quality in Caliban of anger and resentment as he criticises Prospero for capturing him. On the line, 'May you die of the plague for teaching me your language!', I would use a loud and commanding low-pitched voice to depict his anger. In this moment, using a forceful and purposeful gait to approach Prospero with resentment, I would discuss with the set designer to see if there could be any platforms or stairs on stage I could stand on in the moment, to further bring prominence to his anger towards Prospero. I would stand with a defiant posture, gazing sternly at Prospero, as an attempt for Caliban to regain his power that was stripped away, the stern gaze symbolising his hatred to Prospero.",,43
Performing Arts,Theatre Studies,,,Year 12,Final Exam,Post Exam Report,2025,,VCETSERA,VCETS25EQA2,VCETSERACM,,Question 2b,ExaminerCommentary,"Question 2b. required students to apply emphasis to realise Caliban's status in Script excerpt 2. Students were asked to refer to dramaturgy supplied in the Insert and were required to select the same production role as in Question 2a. Many students considered how an interpretation of this excerpt could show shifts in Caliban's status during the monologue. Students discussed how they could apply their production role to emphasise a shift from low to high status, or a shift from slave status to assertive rightful ruler of the island.",,44
Performing Arts,Theatre Studies,,,Year 12,Final Exam,Post Exam Report,2025,,VCETSERA,VCETS25EQA2,VCETSERACM,,Question 2b,ExaminerCommentary,Some low-scoring responses demonstrated little or no knowledge of status or emphasis and/or did not include a direct quote from Script excerpt 2 or an aspect of the dramaturgy provided in the Insert.,,45
Performing Arts,Theatre Studies,,,Year 12,Final Exam,Post Exam Report,2025,,VCETSERA,VCETS25EQA2,VCETSERAER,EnhancedStrategies,Question 2b,ExaminerCommentary,"High-scoring responses discussed how Caliban's status (e.g. low or high) could be given a particular focus, importance or prominence when interpreting Script excerpt 2. In such responses, ideas and/or information supplied in the Insert were clearly linked to a discussion of how Caliban's status could be communicated through work done in the selected production role. Given the relative and fluid nature of status, some higher-scoring responses explained how Caliban's status could shift in an interpretation of Script excerpt 2.",,46
Performing Arts,Theatre Studies,,,Year 12,Final Exam,Post Exam Report,2025,,VCETSERA,VCETS25EQA2,VCETSERACM,,Question 2b,ExaminerCommentary,"To realise Caliban's status, I would utilise the line, 'Where once I was my own king'. On this line, I would raise my head, gazing longingly out towards the audience (presentational style acting - convention) to bring prominence to the high status that Caliban once had, when he was king. After this line, I would take a long, meaningful pause, dropping my head with my chin to my chest and hunching my shoulders, emphasising how Caliban has now lost all his status as he is under the control of Prospero. Inspired by image 3, I would then turn around and face the back of the stage as I say, 'And now you keep me confined in this cave', using a quiet and downward inflection to bring further prominence to his low status and lack of power.",,47
Performing Arts,Theatre Studies,,,Year 12,Final Exam,Post Exam Report,2025,,VCETSER,,VCETSERBH,,,,Section B: VCE Theatre Studies Playlist,,0
Performing Arts,Theatre Studies,,,Year 12,Final Exam,Post Exam Report,2025,,VCETSERB,VCETS25EQB1,VCETSERBCM,,Question 1,ExaminerCommentary,Section B of the examination was an extended response question worth 10 marks. Students were required to select one of 10 plays from the 2025 Theatre Studies Playlist when answering this section of the examination. Students were also required to select two or more production roles from the list provided (actor and/or designer(s)) when evaluating the selected play.,,1
Performing Arts,Theatre Studies,,,Year 12,Final Exam,Post Exam Report,2025,,VCETSERB,VCETS25EQB1,VCETSERBCM,,Question 1,ExaminerCommentary,"The command term 'evaluate' indicates that the response needs to include an appraisal or judgement of the quality of the work on display. In addition to providing examples and analysing the significance of the choices made, students were required to critique or appraise the final product. In higher-scoring student work, evaluation of the play in performance was integrated throughout the response, rather than included solely in a summative statement at the end of the response.",,2
Performing Arts,Theatre Studies,,,Year 12,Final Exam,Post Exam Report,2025,,VCETSERB,VCETS25EQB1,VCETSERBCM,,Question 1,ExaminerCommentary,"In responding to this question, students were required to demonstrate knowledge of both the script and its interpretation by members of the production team. When discussing the written script, students were asked to refer to context(s). Refer to page 12 of the study design regarding Context.",,3
Performing Arts,Theatre Studies,,,Year 12,Final Exam,Post Exam Report,2025,,VCETSERB,VCETS25EQB1,VCETSERBER,EnhancedStrategies,Question 1,ExaminerCommentary,"Evidence of having studied the script as part of their Unit 3 Outcome 3 coursework was required, as indicated by the need to include 'one or more lines of dialogue or stage directions from the written script'. In higher-scoring responses, these quotes were substantial rather than comprising only two or three words.",,4
Performing Arts,Theatre Studies,,,Year 12,Final Exam,Post Exam Report,2025,,VCETSERB,VCETS25EQB1,VCETSERBCM,,Question 1,ExaminerCommentary,"In employing conventions from theatre style(s), a play in performance may be faithful to or may deviate from the intentions of the playwright(s). This question required students to include in their response the application of theatre style(s) in their selected play, with reference to theatre style(s) found in the written script.",,5
Performing Arts,Theatre Studies,,,Year 12,Final Exam,Post Exam Report,2025,,VCETSERB,VCETS25EQB1,VCETSERBCM,,Question 1,ExaminerCommentary,"Low-scoring responses discussed only one production role or one of the listed production roles and directing, which was not one of the listed options. In low-scoring responses, students discussed the play in performance but neglected to discuss context(s) of the written script. Another reason for achieving a low score for this part of the examination is that students did not discuss theatre style(s) and/or did not include a quote from the written script. Some responses were very brief and/or provided an overview of the plot. In these cases, students were marked in the low range.",,6
Performing Arts,Theatre Studies,,,Year 12,Final Exam,Post Exam Report,2025,,VCETSERB,VCETS25EQB1,VCETSERBCM,,Question 1,ExaminerCommentary,"To score in the high range for this question, students needed to write a thorough evaluation of their selected play and provide pertinent examples to illustrate their analysis and evaluation of the play in performance. In addition to including all the components of the question, students needed to use accurate theatre terminology when discussing work undertaken in the selected production roles.",,7
Performing Arts,Theatre Studies,,,Year 12,Final Exam,Post Exam Report,2025,,VCETSERB,VCETS25EQB1,VCETSERBCM,,Question 1,ExaminerCommentary,"In Monkey Baa's production of Yong, actor Alan Zhu and the set design effectively conveyed the play's context of Chinese migration to Australia, incorporating aspects of both children's theatre and historical drama. Creatively creating a set design that resembled a travelling cart, the two flats featured stage left and right were made out of sandy wood that was grainy in colour and had different equipment for gold panning and camping, such as lamps, tents, wok, gold pan and shovel hanging on the flats. Creatively implementing a wheel as well on the stage left flat that would begin to spin any time there was a 'click of the reins' emphasising the set's resemblance to a travelling cart and its wheels allowing it to move. The choice to have a set design like this clearly communicated the play as speaking to real life events of the gold rush in Australia (convention of historical drama), as travelling carts were commonly used when travelling long distances like Yong and others had to do to get from Robe to Ballarat. Moreover, Zhu's exaggerated characterisation and physicality (convention of children's theatre) skilfully conveyed the mental and physical struggle of a migrant's journey. In the travel sequence scene, Zhu, acting as Yong, moves from downstage right to downstage left and then upstage centre with a lot of agility. He takes long strides with a quick pace, his shoulders are held high, his head is turning and eyes darting to take in his surroundings. This then varies a second time around. After 'Yong stumbles back and resumes walking', Zhu's posture becomes hunched, his strides are smaller, have a slower pace and his feet become heavy. His eyeline is low and his eyebrows are furrowed and mouth closed. This variation in energy and explicit use of exaggerated physicality is effective in appealing to the intended audience of young children. It conveys the mental and physical toll which the travel journey had on characters but also thought-provoking comments on the mental hardships migrants have had to deal with as racism is still prevalent in our society today. Zhu's exaggerated acting skilfully spotlighted how a change needs to occur in Australia's racism, educating young audiences to learn, grow and put an end to the toxic cyclical cycle [sic] affecting many Chinese and other immigrants.",,8
Performing Arts,Theatre Studies,,,Year 12,Final Exam,Post Exam Report,2025,,VCETSERB,VCETS25EQB1,VCETSERBCM,,Question 1,ExaminerCommentary,It is important to remember that Sections B and C of the examination required students to analyse and/or evaluate a play in performance rather than discuss how they would apply one or more production roles to an interpretation of the plays on the 2025 Theatre Studies Playlist.,,9
Performing Arts,Theatre Studies,,,Year 12,Final Exam,Post Exam Report,2025,,VCETSER,,VCETSERCH,,,,Section C: VCE Theatre Studies Playlist,,0
Performing Arts,Theatre Studies,,,Year 12,Final Exam,Post Exam Report,2025,,VCETSERC,,VCETSERCCM,,Section C - General Comments,ExaminerCommentary,"Section C of the examination consisted of one question worth 10 marks and comprised two parts. Students were required to select one of ten plays from the 2025 Theatre Studies Playlist when answering this section of the examination, ensuring that it was a different play from the one selected in Section B.",,1
Performing Arts,Theatre Studies,,,Year 12,Final Exam,Post Exam Report,2025,,VCETSERC,VCETS25EQC1,VCETSERCCM,,Question 1a,ExaminerCommentary,Students selected one or more aspects of variation and analysed how their selected aspect(s) was applied through design decisions to realise the intended meaning of the play.,,2
Performing Arts,Theatre Studies,,,Year 12,Final Exam,Post Exam Report,2025,,VCETSERC,VCETS25EQC1,VCETSERCER,EnhancedStrategies,Question 1a,ExaminerCommentary,"When discussing variation, higher-scoring responses identified changes to the dynamics, which is how this element is defined in the study design. Some students confused variation with another element of theatre composition, contrast, which is described in the study design as the juxtaposition of different or opposing things.",,3
Performing Arts,Theatre Studies,,,Year 12,Final Exam,Post Exam Report,2025,,VCETSERC,VCETS25EQC1,VCETSERCER,EnhancedStrategies,Question 1a,ExaminerCommentary,The command term 'analyse' requires students to explain the significance or meaning of an example. Higher-scoring responses to this question selected one or more strong examples from the performance and used specific theatre terminology when analysing their selected aspect(s) of variation and moment(s) from the play.,,4
Performing Arts,Theatre Studies,,,Year 12,Final Exam,Post Exam Report,2025,,VCETSERC,VCETS25EQC1,VCETSERCCM,,Question 1a,ExaminerCommentary,"Some low-scoring responses focused on acting rather than design decisions. Other low-scoring responses did not analyse an aspect of variation, discuss the intended meaning of the play and/or refer to a specific moment from the performance.",,5
Performing Arts,Theatre Studies,,,Year 12,Final Exam,Post Exam Report,2025,,VCETSERC,VCETS25EQC1,VCETSERCER,EnhancedStrategies,Question 1a,ExaminerCommentary,"Higher-scoring responses addressed all aspects of the question, using specific and significant examples in thorough answers that employed theatre-specific language.",,6
Performing Arts,Theatre Studies,,,Year 12,Final Exam,Post Exam Report,2025,,VCETSERC,VCETS25EQC1,VCETSERCCM,,Question 1a,ExaminerCommentary,"Variation in intensity was utilised by the lighting designer Matt Scott effectively throughout the performance of 'Kimberly Akimbo' to convey the intended meaning of living life to the fullest, despite complex family dynamics and life circumstances. An example of this is in the transition from Act 1, Scene 1 to Scene 2, where the intensity in lighting shifts dramatically. At the end of 'Skater Planet' a spectacle is created where pulsating, flashing, vibrant disco-like lights fill the stage, creating the exposition for the intended meaning of living life to the fullest, symbolised by full and bright colours created from the lighting rig. To vary this intensity and depict Kimberly's complex family relationships, Scott shifts the lighting to a dull, blue wash that gently covers the stage, with a soft spotlight downstage right, illuminating Kimberly and her Dad. This variation in intensity beautifully captured the transition from the resilience and hope portrayed in the opening number to the struggles and difficult life circumstances lived by Kimberly because of her complex family relationships, thus inviting the audience to empathise with her situation.",,7
Performing Arts,Theatre Studies,,,Year 12,Final Exam,Post Exam Report,2025,,VCETSERC,VCETS25EQC1,VCETSERCCM,,Question 1b,ExaminerCommentary,"Students were asked to evaluate how one or more actors applied the selected aspect(s) of rhythm to establish, maintain and/or manipulate the actor-audience relationship.",,8
Performing Arts,Theatre Studies,,,Year 12,Final Exam,Post Exam Report,2025,,VCETSERC,VCETS25EQC1,VCETSERCCM,,Question 1b,ExaminerCommentary,"Aspects of rhythm listed in the examination were pace, timing and tempo. When analysing rhythm, students provided examples such as the actor's use of facial expressions, voice, gesture, movement, stillness, silence, focus, and verbal and non-verbal language.",,9
Performing Arts,Theatre Studies,,,Year 12,Final Exam,Post Exam Report,2025,,VCETSERC,VCETS25EQC1,VCETSERCCM,,Question 1b,ExaminerCommentary,"Low-scoring responses omitted one or more aspects of the question, namely rhythm, acting, the actor-audience relationship or a specific moment from the performance.",,10
Performing Arts,Theatre Studies,,,Year 12,Final Exam,Post Exam Report,2025,,VCETSERC,VCETS25EQC1,VCETSERCER,EnhancedStrategies,Question 1b,ExaminerCommentary,Higher-scoring responses thoroughly analysed and evaluated how rhythm was employed by the actor(s) to relate to the audience during the performance. Accurate theatre-specific terminology was used when discussing the acting.,,11
Performing Arts,Theatre Studies,,,Year 12,Final Exam,Post Exam Report,2025,,VCETSERC,VCETS25EQC1,VCETSERCCM,,Question 1b,ExaminerCommentary,"From the outset of the play, Arundell masterfully harnesses the tempo and pace of her speech; beginning with the lines, 'Can you hear me?' Arundell utilises a deliberately slow pace in her speech. This slow pace effectively engenders a sense of calm in the audience and cultivates an intimate actor-audience relationship, as audiences feel soothed by and close to the character of Tessa. In Act 3 Scene 2, Arundell harnesses this actor-audience intimacy previously established and manipulates audience experience of the harrowing scene in which the character Tessa is running from the birds. On her lines, 'They watched me', Arundell gradually increases the pace and tempo of both her speech and her footsteps. By the line, 'I ran', Arundell's pace of speech is fast and panicked, and the up-tempo, staccato rhythm of her footsteps create a stressful, underlying sense of urgency. This effective utilisation of rhythm masterfully enriches audience experience of the scene, engendering an empathic response of distress and thus proficiently cultivating a high degree of intimacy in the actor-audience relationship.",,12
Performing Arts,Theatre Studies,,,Year 12,Final Exam,Post Exam Report,2025,,VCETSERC,VCETS25EQC1,VCETSERCCM,,Question 1b,ExaminerCommentary,It is important to remember that Sections B and C of the examination required students to analyse and/or evaluate a play in performance rather than discuss how they would apply one or more production roles to an interpretation of the plays on the 2025 Theatre Studies Playlist.,,13
