Term,Definition,CrossReferences,ImageFiles,Subject
Alternate angle,"Consider a transversal (line) intersecting a pair of lines (which may or may not be parallel). Angles that are formed at the intersection of these lines with the transversal, within the two lines, and on opposite sides of the transversal, are called alternate angles.

An example of 2 alternate angles are the angles [FORMULA] and [FORMULA] in the following diagram.

If the pair of lines intersected by the transversal are parallel, then the pair of alternate angles will both be the same size. Conversely, if the 2 alternate angles are the same size, then the 2 lines that are intersected by the transversal are parallel. The angles [FORMULA] and [FORMULA] (where [FORMULA] ) in the diagram below, demonstrate this property.

See also: angle, transversal, parallel",angle; transversal; parallel,,Mathematics
Angle,"An angle is the figure formed by 2 rays sharing a common endpoint, called the vertex of the angle. An angle is typically indicated using an arc and labelled with a letter. Letters used are commonly either Roman, such as [FORMULA] or Greek, such as [FORMULA] (alpha), [FORMULA] (beta), (gamma) and [FORMULA] (theta).

If the vertex point is labelled as well as a point on each of the rays, these can also be used to indicate an angle. For example, the angle AOB, with vertex O, is written ∠AOB and is shown in the diagram below:

Imagine that the ray OB is rotated about the point O until it lies along OA. The amount of turning is called a measure of the angle AOB.

There are 3 common measures of angle:

fraction of a full turn (where one full turn or revolution is 360 degrees or 2π radian)

degree

radian.

Angles are also classified according to their angle measure. An angle with size α is:

acute if 0° < α < 90°

a right angle if α = 90°

obtuse if 90° < α < 180°

a straight angle if α = 180°

reflex if 180° < α < 360°

a revolution (full rotation) if α = 360°.

Possible diagrammatic representations of each type are in the table below.

See also: alternate angle, complementary angles, co-interior angle, corresponding angles, degree, radian, ray, revolution, right angle, straight angle, supplementary angles, vertex",alternate angle; complementary angles; co-interior angle; corresponding angles; degree; radian; ray; revolution; right angle; straight angle; supplementary angles; vertex,"angle_1.png,angle_2.png",Mathematics
Angle of elevation and angle of depression,"When an observer looks at an object that is higher than the horizontal, the angle between the line of sight and the horizontal is called the angle of elevation.

When an observer looks at an object that is lower than the horizontal, the angle between the line of sight and the horizontal is called the angle of depression.

See also: angle",angle,"angle_of_elevation_and_angle_of_depression_1.png,angle_of_elevation_and_angle_of_depression_2.png,angle_of_elevation_and_angle_of_depression_3.png,angle_of_elevation_and_angle_of_depression_4.png,angle_of_elevation_and_angle_of_depression_5.png,angle_of_elevation_and_angle_of_depression_6.png",Mathematics
Angles at a point,The sum of the angles with vertices at a common point in the plane is equivalent to 4 right angles or 360 degrees. This spatial fact can be applied to determine the size of missing angles.,,angles_at_a_point_1.png,Mathematics
Angles on a straight line,The sum of the angles that form a straight line is equivalent to 2 right angles or 180 degrees. This spatial fact can be applied to determine the size of missing angles.,,angles_on_a_straight_line_1.png,Mathematics
Approximate/approximation,"To approximate, or make/use an approximation, is to obtain or state a value to a particular accuracy. For example, the fraction   provides an approximate value for the irrational real number . Rounded correct to 4 decimal places,  has the value 3.1429, while [FORMULA] has the value 3.1416. These values are themselves decimal approximations to  and [FORMULA] respectively because they have been rounded.

Approximation may be used in a range of mathematical contexts. For example, in geometry, while it is not possible to trisect any angle exactly using only a compass and ruler, it is possible to approximate such a trisection with reasonable accuracy.

See also: estimation",estimation,,Mathematics
Arc,"A part of a circle’s circumference is called an arc.

See also: circle",circle,,Mathematics
Area,"The amount of interior space bounded by the perimeter of a shape. In the plane, area is the measure of ‘material’ needed to completely cover a given two-dimensional figure, shape or region. This region may be contained within a shape (such as a polygon or circle) or bound by graphs of relations in the plane.

Some useful formulas for area, defined in terms of linear variables associated with a shape, include the following.",,,Mathematics
Array,"An array is an ordered collection of objects or numbers. For example, the following is a triangular array of dots:

A rectangular array of numbers is also called a matrix (plural: matrices). For example, the following matrix represents the fitness ratings on a scale of 0–100 for 3 students measured in each of 4 school terms (students would be represented by the row, their fitness score for each term would be recorded in the columns):",,array_1.png,Mathematics
Associative,"An operation is associative if the result of applying the operation to any 3 elements of an expression is the same regardless of which pair of elements (without changing their order) is combined first.

Addition and multiplication are associative on the set of natural numbers, for example:

4 + (7 + 5) = 4 + 12 = 16 and (4 + 7) + 5 = 11 + 5 = 16

2 × (3 × 4) = 2 × 12 = 24 and (2 × 3) × 4 = 6 × 4 = 24

Subtraction and division are not associative on the set of natural numbers. For example:

10 − (4 − 2) = 10 − 2 = 8 but (10 − 4) − 2 = 6 − 2 = 4

24 ÷ (12 ÷ 2) = 24 ÷ 6 = 4 but (24 ÷ 12) ÷ 2 = 2 ÷ 2 = 1

See also: associative laws",associative laws,,Mathematics
Associative laws,"In general, the associative laws (properties) for addition and multiplication of real numbers state respectively that for all real numbers ,  and :

and",,,Mathematics
Assumption,"An assumption is a proposition (a statement or assertion) that is taken as being true with respect to a given context. For example, in a modelling problem to design a seating arrangement in a theatre, it may be assumed that the height of the people watching the movie is no greater than 200 cm. This is reasonable given the context.",,,Mathematics
Asymptote,"An asymptote is a line or curve that closely approaches a given curve but does not meet it. For example, the graph below shows the 2 asymptotes [FORMULA] and [FORMULA] (in red) for the function .",,"asymptote_1.emf,asymptote_2.emf",Mathematics
Average,[See: mean],mean,,Mathematics
Axis (plural: axes),"An axis is a line that a curve, figure or function is drawn relative to. The plural of axis is axes. A commonly used set of axes are the 2 perpendicular Cartesian axes (normally labelled as [FORMULA] and ) that allow points and curves to be defined on the Cartesian plane.

See also: Cartesian plane",Cartesian plane,,Mathematics
Back-to-back stem-and-leaf plot,[See: stem-and-leaf plot (stemplot)],stem-and-leaf plot (stemplot),,Mathematics
Bar chart,[See: column graph],column graph,,Mathematics
Base,"A base is a number that is the ‘building block’ for a given number system. The choice of base determines the representation of numbers in that system. The most common bases used are binary and hexadecimal (base 2 and base 16, used for computing), octal (base 8) and decimal (base 10). An example of a decimal number is:

An example of a binary number is . Converted to decimal, this would be:",,,Mathematics
Base-10,"Base-10 is a number system that uses the digits 0–9 and the value of the digit is determined by its face value and its place value: for example, [FORMULA] and .",,,Mathematics
Bernoulli trial,"A Bernoulli trial is a trial where there is a probability [FORMULA] of success and [FORMULA] of failure (sometimes also referred to as ) in any given trial.

An example could be the probability of an even number when rolling a dice. For every trial, the probability of success . The probability of failure (.

Note that the probabilities for success and failure add to 1 since .

See also: probability, trial",probability; trial,,Mathematics
Bias (statistics),"In statistics, bias is a measure being systematically moved away from the true value, leading to overestimating or underestimating that value.",,,Mathematics
Bimodal data,"A data set is said to have a bimodal distribution if it has 2 modes. The term bimodal is also used if the graph of the distribution has 2 distinct ‘peak’ values, as shown in the histogram below:

See also: mode",mode,bimodal_data_1.jpg,Mathematics
Bivariate data,[See: data],data,,Mathematics
Box-and-whisker plot,"A box-and-whisker plot is a graphical display of a five-number summary (the minimum value, the lower quartile Q1, the median, the upper quartile Q3 and the maximum value).

In a box-and-whisker plot, the ‘box’ covers the interquartile range (IQR = Q3 – Q1), with ‘whiskers’ reaching out from each end of the box to indicate maximum and minimum values in the data set (formally, any data values a distance greater than 1.5 × IQR from the median are represented as individual data points). A vertical line in the box is used to indicate the location of the median.

The box-and-whisker plot below has been constructed from the five-number summary of the resting pulse rates of 17 students.

The term ‘box-and-whisker plot’ is commonly abbreviated to ‘box plot’.

See also: five-number summary",five-number summary,"box_and_whisker_plot_1.png,box_and_whisker_plot_2.png,box_and_whisker_plot_3.png",Mathematics
Box plot,[See: box-and-whisker plot],box-and-whisker plot,,Mathematics
Branch (programming),"A branch occurs in a computer program, which leads to different instructions being followed depending on a state at that branch point (for example, true or false, a variable reaching a certain magnitude): that is, a decision is made. Examples of branching and decisions may be visualised more easily in a flow chart.

See also: flow chart",flow chart,,Mathematics
Capacity,"Capacity is a term used to describe how much a container will hold. It is often used in relation to the volume of fluids. Units of capacity (volume of fluids or gases) include litres (L) and millilitres (mL). For example, the boot capacity of a typical hatchback car would be around 390 litres.",,,Mathematics
Cartesian coordinate system,"The position of any point in the Cartesian plane can be represented by an ordered pair of numbers . These ordered pairs are called the coordinates of the point. This is called the Cartesian coordinate system.

The point with coordinates (4, 2) has been plotted on the Cartesian plane shown. The coordinates of the origin are (0, 0).

The Cartesian plane is divided into 4 regions, called quadrants, by the axes and origin of the coordinate system:

the point (4, 2) is in the first quadrant (top right)

the point (–4, 2) is in the second quadrant (top left)

the point (–4, –2) is in the third quadrant (bottom left)

the point (4, –2) is in the fourth quadrant (bottom right)

See also: Cartesian plane",Cartesian plane,cartesian_coordinate_system_1.png,Mathematics
Cartesian plane,"Two intersecting number lines are taken intersecting at right angles at their origins to form the axes of the coordinate system. The plane is then divided into 4 quadrants by these perpendicular axes called the -axis (horizontal line) and the -axis (vertical line). This plane is called the Cartesian plane.

See also: Cartesian coordinate system",Cartesian coordinate system,,Mathematics
Categorical variable,"A categorical variable takes values from sets that are not numerical.

For example, blood group is a categorical variable; its values are A, B, AB or O. So too is construction type of a house; its values might be brick, concrete, timber or steel.

Categories may have numerical labels too: for example, for the variable postcode the category labels would be numbers such as 3787, 5623, 2016, etc., but these labels have no numerical significance. It makes no sense, for example, to use these numerical labels to calculate the average postcode in Australia.

See also: numerical data",numerical data,,Mathematics
Census,"A census collects information about the whole of a population.

See also: population",population,,Mathematics
Chance and likelihood,"The relative frequency of an event is the chance or likelihood of the event occurring. This may be expressed qualitatively using terms such as: impossible, no chance, not likely, an even chance, odds-on, likely, a certainty.

Relative frequencies may also be expressed quantitatively using numbers on a scale from 0 (impossible) to 1 (certain). These numerical values are often expressed as fractions such as , ratios such as 2:3, decimals such as 0.87 or percentages such as 40%.

See also: probability",probability,,Mathematics
Chance experiment (trial),A chance experiment is an investigation process that involves planning and conducting a repeatable experiment involving chance where more than one possible outcome may occur. Experiments can be single or multi-step and results can vary across trials.,,,Mathematics
Chord,"A chord is a line segment (interval) joining 2 points on the circumference of a circle. In the diagram below, the line segment QP is a chord.

A chord is also a line segment joining 2 points on a curve:

See also: circumference, diameter, line segment",circumference; diameter; line segment,"chord_1.png,chord_2.gif",Mathematics
Circle,"A circle is the set of all points in the plane that are a fixed distance (the radius) from a given point (the centre of the circle).  Sometimes ‘circle’ is used to refer to the closed curve, as in the circumference of a circle. At other times, it is used to refer to the entire shape: that is, the region including both the boundary and its interior.

A circle with centre O and radius OA of length r is shown in the following diagram.

A circle can be constructed with a compass or dynamic geometry software, given the centre and radius of the circle, or 3 points that the circle passes through.

See also: chord, diameter, radius",chord; diameter; radius,circle_1.png,Mathematics
Circumference,"The circumference of a circle is also used to refer to the measure of its perimeter. If the diameter or the radius of a circle is known, then its circumference is calculated as:

circumference =   diameter = 2    radius

For example, using   3.14, the circumference of a backyard swimming pool with a 4-metre diameter is approximately 12.56 metres.

For a rough underestimate, the value of  can be taken to be approximately 3. In this case the corresponding rough estimate for the circumference of the pool would be 3  4 = 12 metres.

The circumference of a circle with unit radius is 2  6.28 units.

See also: circle, perimeter",circle; perimeter,,Mathematics
Closure,"The result of carrying out an operation on an element of a set, or elements of a set, is also an element of that set. This is called closure.

For example, multiplication is closed on the set of natural numbers, because the result of multiplying any pair of natural numbers is also a natural number. Division is not closed on natural numbers, since 9 and 2 are both natural numbers but the result of dividing 9 by 2 is not a natural number. This is because , and [FORMULA] is a decimal fraction, not a natural number.",,,Mathematics
Coding,"Coding is a process by which algorithms are represented for implementation. For computers, this is done using a coding language such as block coding, C++, JavaScript, Python or Wolfram Language.

See also: implementation",implementation,,Mathematics
Co-domain,[See: domain],domain,,Mathematics
Coefficient,"A coefficient is a constant that multiplies variables raised to positive integer powers. For example, in the expression [FORMULA] , the variables are [FORMULA] and [FORMULA] and the coefficient is .

See also: constant",constant,,Mathematics
Co-interior angle,"Consider a transversal (line) intersecting a pair of lines (which may or may not be parallel). Angles that are formed at the intersection of these lines with the transversal, within the 2 lines, and on the same side of the transversal, are called co-interior (allied) angles.

An example of 2 co-interior angles are the angles [FORMULA] and [FORMULA] shown in the following diagram:

Note that the angles [FORMULA] and [FORMULA] would also be co-interior angles, but not the angles [FORMULA] and [FORMULA] because they are on different sides of the transversal. The angles [FORMULA] and [FORMULA] would, however, be alternate angles.

If the pair of lines intersected by the transversal are parallel, then the sum of the angle measures of the 2 co-interior angles is 180. Conversely, if the sum of the angle measures of the two co-interior angles is 180, then the 2 lines intersected by the transversal are parallel. For example, in the diagram below, angle .

See also: angle, alternate angle, parallel, transversal",angle; alternate angle; parallel; transversal,,Mathematics
Column graph,"A column graph is a graph used in statistics for organising and displaying categorical data.

To construct a column graph, equal-width rectangular bars are constructed for each category with height equal to the observed frequency of the category as shown in the example below, which displays the hair colours of 27 students.

Column graphs are frequently called bar graphs or bar charts. In a bar graph or chart, the bars can be either vertical or horizontal, but are never joined (there is always a gap left between them).

See also: categorical variable",categorical variable,"column_graph_1.png,column_graph_2.png",Mathematics
Common factor,"A common factor (or common divisor) of a set of numbers or algebraic expressions is a factor of each element of that set. For example, is a common factor of {24, 54, 66} as 6 divides evenly into each of these numbers, and 3 is a common factor of [FORMULA] for the same reason.

Note that [FORMULA] is a common factor of [FORMULA] because 
 and

See also: algebraic expression",algebraic expression,,Mathematics
Commutative,"An operation is commutative if the result of applying the operation to any 2 elements of a set is the same, regardless of the order of the elements. Addition and multiplication are commutative on the set of natural numbers. For example:

6 + 12 = 12 + 6 = 18 and 6 × 12 = 12 × 6 = 72

However, subtraction and division are not commutative. For example:

6 − 12 = − 6 but 12 − 6 = 6 and 6 ÷ 12 = [FORMULA]  but 12 ÷ 6 = 2.

See also: commutative laws",commutative laws,,Mathematics
Commutative laws,"In general, the commutative laws (properties) for addition and multiplication of real numbers state that for all real numbers [FORMULA] and , [FORMULA] and , respectively.

See also: commutative",commutative,,Mathematics
Complement (set),"The set of all elements not in a given set with respect to the universal set for a particular context or situation is the complement set.

For example, if the universal set in a particular situation is taken to be the letters of the alphabet, the complement to the set of vowels is the rest of the alphabet. If the universal set in a particular situation is taken to be the set of numbers {1, 2, 3, 4, 5, 6, 7, 8, 9, 10}, then the complement to [FORMULA] = {4, 5, 6} is the set {1, 2, 3, 7, 8, 9, 10}. The complement of [FORMULA] is written as , or . So here we could write{1, 2, 3, 7, 8, 9, 10}.

See also: element, set",element; set,,Mathematics
Complementary angles,"Two adjacent angles that form a right angle are said to be complementary angles: that is, the sum of the angle measures in degrees of complementary angles is 90. An example of 2 complementary angles is shown below:

See also: adjacent, angle",adjacent; angle,"complementary_angles_1.png,complementary_angles_2.png",Mathematics
Complementary events,"Events [FORMULA] and [FORMULA] are complementary events, if [FORMULA] and [FORMULA] are mutually exclusive and 
 where [FORMULA] is the probability of event [FORMULA] and [FORMULA] the probability of event . For example, [FORMULA] and [FORMULA] are complementary events if [FORMULA] is the probability of rolling a 3 on a dice and [FORMULA] the probability of not rolling a 3. This is because .",,,Mathematics
Complex shapes and objects,A complex shape is a closed shape comprising a number of plane shapes. Complex objects are composed of simpler objects.,,complex_shapes_and_objects_1.png,Mathematics
Composite number,"A non-zero natural number that has a factor other than 1 and itself is a composite number. Using sets, a non-zero natural number that has more than 2 distinct elements in its factor set is a composite number.

For example, 8 is a composite number as it has 4 distinct elements in its factor set: {1, 2, 4, 8}. The number 2 is not a composite number since it has only 2 distinct elements in its factor set: {1, 2}. With the exception of 1, which has only one distinct element in its factor set: {1}, all non-zero natural numbers are either composite or prime.

See also: factor, natural number, prime number",factor; natural number; prime number,,Mathematics
Composite shape,A shape that is formed by combining other plane shapes. Composite shapes are often described as ‘complex’ when they are made up of many and different shapes.,,composite_shape_1.png,Mathematics
Compound event,"In probability, a compound event is an event that consists of more than one event occurring at the same time: for example, tossing a coin and selecting a card.",,,Mathematics
Compound interest,"The interest earned by investing a sum of money (the principal) is compound interest if each successive interest payment is added to the principal for the purpose of calculating the next interest payment. If the principal [FORMULA] earns compound interest at the rate of [FORMULA] per period, then after [FORMULA] periods the principal plus interest is .

For example, if $2000 is deposited into a savings account () at an annual interest rate of 2% (), compounded monthly (period is months), the value of the investment after 5 years (months ) would be .

See also: simple interest",simple interest,,Mathematics
Computation,Computation is the action of a mathematical calculation. Computation may also be used in the context of computer science.,,,Mathematics
Computational thinking,"Computational thinking is a way of thinking that helps to organise data logically by breaking down problems into parts; defining abstract concepts; and designing and using algorithms, patterns and models. This type of thinking may be considered specific to computers and involves solving problems, designing systems and implementation.

See also: algorithmic thinking, implementation",algorithmic thinking; implementation,,Mathematics
Concave (shape),[See: See polygon],See polygon,,Mathematics
Cone,"A cone is a solid that is formed by taking a circular base and a point not in the plane of this circle (either above or below the circle) called the vertex and joining the vertex to each point on the circumference of the circular base.

A right-cone, or vertical cone, is a cone with its vertex directly above the centre of the circular base. The term ‘cone’ is often used to mean a right-cone.

The height of the cone is the distance from the vertex to the centre of the circular base.

The slant height of a cone is the distance from any point on the circumference of the circle to the vertex.

An example of a right-cone is below:

A slant cone is a cone with a vertex not directly above the centre of the circular base, as shown below:

A cone may be said to be open or closed depending on whether the circular end is included. For example, an ice-cream cone would be an example of an open cone.

If a closed cone has radius r units, and height [FORMULA] units, then its surface area, [FORMULA] units2 is given by , and its volume [FORMULA] units3 is given by

For example, if a cone has a radius of 3 cm and a height of 4 cm then the surface area , and its volume [FORMULA] units3 would be",,"cone_1.png,cone_2.png",Mathematics
Conditional probability,"Consideration of whether the knowledge of the occurrence of one event, A, affects the probability of occurrence of another event, B.",,,Mathematics
Conditional statement,"A conditional statement is part of an algorithm that will engage different processes depending on a specific state of inputs at that point, and is of the form ‘if a then b’ for a condition a and a process b.

For example, in a function machine that outputs only even numbers, if the input number [FORMULA] is odd, then the output could be . If the input number is even, then the output could be . All input numbers will then result in an even number being output.",,,Mathematics
Congruence,"Two-plane figures are called congruent if one can be moved by a sequence of translations, rotations and reflections so that it fits exactly on top of the other figure.

Two figures are congruent when we can match every part of one figure with the corresponding part of the other figure. For example, the 2 figures below are congruent.

Matching intervals have the same length, and matching angles have the same size.

See also: reflection, rotation, transformation",reflection; rotation; transformation,congruence_1.png,Mathematics
Congruent triangles,"The following are sets of conditions for a pair of triangles to be congruent:

Side-Side-Side (SSS) – corresponding sides are equal in length

Side-Angle-Side (SAS) – 2 corresponding sides are of equal length and their included angles are of equal measure

Angle-Side-Angle (ASA) – 2 corresponding angles are of equal measure and their included sides are of equal length

Angle-Angle- Side (AAS) – 2 pairs of angles are of equal measure, and a pair of corresponding non-included sides are equal in length

Right angle-Hypotenuse-Side (RHS) – 2 right-angled triangles are congruent if their hypotenuses are of equal length and one of the other sides is of equal length.

See also: congruence, transformation",congruence; transformation,,Mathematics
Conjecture,"A conjecture is a statement whose truth or otherwise is not yet determined but is open to further investigation: for example, Goldbach's Conjecture: ‘every even natural number greater than 2 can be expressed as a sum of 2 prime numbers’. First stated in 1742, the Goldbach conjecture has not yet been either proven to be true or shown to be false, although many mathematicians believe that it is true.",,,Mathematics
Connected,"Two points in the plane are said to be connected if there is a line or curve (edge) that joins them. A set of points in the plane, such as a network, is said to be connected if there are no 2 points in the set that are not connected: that is, every point can be reached from another point. A set of points that is not connected is called disconnected.

Examples of a connected graph (network) and a disconnected graph respectively are shown below:

See also: network",network,"connected_1.png,connected_2.png",Mathematics
Connective,"A logical term that connects or qualifies other expressions, such as ‘and’, ‘or’, ‘not’, ‘if ... then ...’ and ‘is equivalent to’ is a connective. For example, given a set of attribute blocks, specifying the blocks that are red and square involves 2 attributes ‘red’, ‘square’ that apply to some blocks but not to others. The use of the connective and to specify ‘red’ and ‘square’ required both attributes to apply.",,,Mathematics
Constant,"A constant is a number that has a fixed value in a given context. For example, in the calculation of  for different natural numbers , the number 11 is a constant. In formulas such as , 4 is a constant while  and  are variables.

Undetermined constants are constants without known values. For example, the general linear equation [FORMULA] has 2 such constants: [FORMULA] and . Two or more points that lie on a line could be used to find the values of [FORMULA] and [FORMULA] for the equation that describes the line.

See also: variables",variables,,Mathematics
Constraint,"A condition that is applied in a given context is a constraint. For example, in solving the equation , a constraint may be that only natural number solutions are required (there are an infinite number of integer solutions).",,,Mathematics
Continuous,"Continuous data can, in principle, assume all possible values in a given interval. For example, height is a continuous data measurement. While the actual height of a person can only be physically measured to a given accuracy, it is possible in principle for a person’s height to be any value within a typical range of heights for a human being.

See also: numerical variable, variable",numerical variable; variable,,Mathematics
Continuous numerical variable,"A continuous variable is a variable that can take any value over an interval subset of the real numbers.  Examples of continuous variables for measurement data are height, reaction time to a stimulus and systolic blood pressure.

See also: numerical variable, variable",numerical variable; variable,,Mathematics
Convex (shape),[See: See polygon],See polygon,,Mathematics
Coordinate,"The position of any point on a plane can be represented by an ordered pair of numbers, given a specified set of axes. For example, the ordered pair () in the Cartesian plane (where the 2 axes are labelled [FORMULA] and ) is found at the point where both [FORMULA] and . This ordered pair is called the coordinates of the point. The [FORMULA] coordinate (or abscisse) is the first number [FORMULA] in this ordered pair, the [FORMULA] coordinate (or ordinate) the second number, .",,,Mathematics
Coordinate system,"There exist many coordinate systems, depending on the coordinate axes chosen. An example of a coordinate system is the Cartesian coordinate system.

See also: Cartesian coordinate system",Cartesian coordinate system,,Mathematics
Co-prime,"Two positive integers that have no common factors other than 1 are said to be co-prime. For example, 27 and 32 are co-prime because their factor sets are {1, 3, 9, 27} and {1, 2, 4, 8, 16, 32} respectively, with the only common factor being 1.

See also: factor",factor,,Mathematics
Correspondence,"Four classes of correspondence may be considered:

One-to-one correspondence: A function between 2 sets where each element in one set (domain) corresponds to exactly one element in the other set (range) and vice versa. Thus, in a ballroom dancing class, there will be a one-to-one correspondence between male and female partners during a given dance.

Many-to-one correspondence: A function between 2 sets where each element in one set (domain) corresponds to exactly one element in the other set (range); however, an element in the range may be mapped onto by more than one element in the domain. For example, each student in a class has exactly one height measure (to the nearest centimetre) at a given instant (so the relation 'the height of' is a function) but it may be the case that 2 students are the same height.

One-to-many correspondence: A relation between 2 sets where each element in one set (domain) corresponds to many elements in the other set (range). An example of such a correspondence could be in retail, where a shopper would have a unique customer ID but could have many purchases (given an order number). There would be many different order numbers that correspond to the same customer ID, and only one customer ID linked to each of these specific purchases. A one-to-many correspondence does not define a function. For example, a one-to-many function with 2 different -values for one -value (such as a circle) will fail the vertical line test to check if a relation is a function.

Many-to-many correspondence: A relation between 2 sets where each element in one set (domain) corresponds to many elements in the other set (range), and each element in the range correspond to many elements in the domain. Examples of this type of correspondence are seen in databases. For example, business A might have many suppliers of goods, and each supplier could have many other clients (including, in this case, business A).

See also: function, range, relation",function; range; relation,,Mathematics
Corresponding angles,"Angles that are adjacent to a transversal intersecting a pair of lines, as indicated in the diagram below are said to be corresponding angles. Corresponding angles are on the same side of the traversal and both above or both below the line the transversal intersects:

If the pair of lines are parallel, then corresponding angles have equal measure.

Conversely, if a pair of corresponding angles have equal measure then the 2 lines the transversal intersects are parallel.

See also: angle, parallel, transversal",angle; parallel; transversal,,Mathematics
Cosine (ratio),"In any right-angled triangle, [FORMULA]  where

See also: trigonometry",trigonometry,cosine_ratio_1.png,Mathematics
Cosine rule,"In any triangle ABC as below, the cosine rule is given by: [FORMULA] .",,cosine_rule_1.png,Mathematics
Counter-example,"A counter-example is an instance where a proposition or conjecture is false. For example, the number 6 is a counter-example to the proposition that every even number is also a multiple of 4.",,,Mathematics
Counting,"Counting is the process of listing (enumerating) a subset of the natural numbers N = {0, 1, 2, 3 ...} in consecutive order; for example, {0, 1, 2 ...} or {11, 12, 13 ...}. The natural numbers are sometimes referred to as the counting numbers. Counting on is the process of counting from one natural number m to another natural number n where m < n, for example, counting on from 7 to 12.",,,Mathematics
Counting number,"The counting numbers are the non-negative integers; that is, one of the numbers . Sometimes it is taken to mean only a positive integer.

See also: integer",integer,,Mathematics
Counting on,"Counting on is a strategy for addition problems with 2 numbers that involves counting on from the larger number by the second number. For example, if adding 6 and 3, a student would begin at 6 and count on 3 numbers by saying ‘7, 8, 9’, so 6 + 3 = 9. This is considered a more efficient strategy than counting the whole collection from 1.

See also: counting",counting,,Mathematics
Cross-section,"A cross-section of a solid is the intersection of the solid with a plane. The cross-section may differ for a given solid depending on the orientation in space of the slicing plane. For example, the cross-section of a sphere will be a circle (of different radius depending on the slicing plane), while the cross-section of a cube could be a square or other polygon (for example, triangle, hexagon) depending on the orientation of the slicing plane, as shown below:",,"cross_section_1.png,cross_section_2.png,cross_section_3.png",Mathematics
Cylinder,"A cylinder is a three-dimensional object that has parallel circular discs of equal radius at the ends. Each cross-section parallel to the ends is a circle with the same radius, and the centres of these circular cross-sections lie on a straight line, called the axis of the cylinder.

A cylinder may be said to be open or closed depending on whether the circular ends are included. For example, an open tube may be referred to as a cylinder, or a solid rod may also be referred to as a closed cylinder.

If a closed cylinder has radius [FORMULA] units, and height [FORMULA] units, then its surface area, [FORMULA] units2 is given by [FORMULA] and its volume [FORMULA] units3 is given by

See also: radius, circle",radius; circle,cylinder_1.png,Mathematics
