SubjectArea,Subject,Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration
English,English as an Additional Language,Level C1,Listening and Speaking,Text structures and linguistic features,VC2EALC1L10,Recognise and reproduce pronunciation patterns,,"Deleting and substituting phonemes (the smallest units of sound in words) to form new words; for example, substituting the ‘scr’ in ‘scratch’ with new initial sounds to form words such as ‘catch’, ‘batch’ and ‘hatch’"
English,English as an Additional Language,Level C1,Listening and Speaking,Text structures and linguistic features,VC2EALC1L10,Recognise and reproduce pronunciation patterns,,"Substituting a middle sound to form a new word; for example, changing ‘stack’ to ‘stick’"
English,English as an Additional Language,Level C1,Listening and Speaking,Text structures and linguistic features,VC2EALC1L11,Recognise and reproduce stress and intonation patterns with greater confidence and fluency,,"Using word stress, rhythm and intonation in familiar interactions; for example, using rising intonation for questions and stressing key words for emphasis"
English,English as an Additional Language,Level C1,Listening and Speaking,Text structures and linguistic features,VC2EALC1L11,Recognise and reproduce stress and intonation patterns with greater confidence and fluency,,Recognising emotions indicated by changes in intonation such as anger and humour
English,English as an Additional Language,Level C1,Listening and Speaking,Text structures and linguistic features,VC2EALC1L11,Recognise and reproduce stress and intonation patterns with greater confidence and fluency,,"Using strategies to support communication and engage a listener; for example, making eye contact and using facial expressions and gestures"
English,English as an Additional Language,Level C1,Listening and Speaking,Text structures and linguistic features,VC2EALC1L11,Recognise and reproduce stress and intonation patterns with greater confidence and fluency,,"Listening to audio books while following words on the page, then reading the text aloud"
English,English as an Additional Language,Level C1,Listening and Speaking,Plurilingual and cultural strategies,VC2EALC1L12,Identify differences between aspects of spoken English and other languages,,Recognising the sounds and words of English in interactions
English,English as an Additional Language,Level C1,Listening and Speaking,Plurilingual and cultural strategies,VC2EALC1L12,Identify differences between aspects of spoken English and other languages,,Attempting to clarify differences between English and other languages
English,English as an Additional Language,Level C1,Listening and Speaking,Plurilingual and cultural strategies,VC2EALC1L12,Identify differences between aspects of spoken English and other languages,,"Asking the teacher or peers about appropriate behaviour in certain situations, for example ‘Should I use eye contact?’ and ‘Is it okay to shake hands?’"
English,English as an Additional Language,Level C1,Listening and Speaking,Plurilingual and cultural strategies,VC2EALC1L12,Identify differences between aspects of spoken English and other languages,,Exploring the nature of social interactions with familiar people and in known settings
English,English as an Additional Language,Level C1,Listening and Speaking,Plurilingual and cultural strategies,VC2EALC1L13,Ask for repetition or clarification to confirm understanding of spoken communication and ask for help,,Attending to a listener’s body language or asking directly whether their own speech has been understood
English,English as an Additional Language,Level C1,Listening and Speaking,Plurilingual and cultural strategies,VC2EALC1L13,Ask for repetition or clarification to confirm understanding of spoken communication and ask for help,,"Attempting to re-pronounce words using different pronunciation, stress or pace"
English,English as an Additional Language,Level C1,Listening and Speaking,Plurilingual and cultural strategies,VC2EALC1L13,Ask for repetition or clarification to confirm understanding of spoken communication and ask for help,,"Using a narrow range of simple, formulaic expressions to ask for repetition or rephrasing, for example ‘Please repeat.’ and ‘What does it mean?’"
English,English as an Additional Language,Level C1,Listening and Speaking,Plurilingual and cultural strategies,VC2EALC1L14,Draw on a range of home language resources when listening and speaking,,Asking for clarification from other home language speakers
English,English as an Additional Language,Level C1,Listening and Speaking,Plurilingual and cultural strategies,VC2EALC1L14,Draw on a range of home language resources when listening and speaking,,Asking home language peers to explain an idea in a home language and asking for a translation into English
English,English as an Additional Language,Level C1,Listening and Speaking,Plurilingual and cultural strategies,VC2EALC1L14,Draw on a range of home language resources when listening and speaking,,Formulating questions in English and a home language to clarify classroom instructions or new ideas and vocabulary
English,English as an Additional Language,Level C1,Listening and Speaking,Plurilingual and cultural strategies,VC2EALC1L15,Listen and speak appropriately during small-group interactions,,Listening and identifying topics and functions of group interactions such as to discuss ideas or to allocate tasks
English,English as an Additional Language,Level C1,Listening and Speaking,Plurilingual and cultural strategies,VC2EALC1L15,Listen and speak appropriately during small-group interactions,,"Performing a range of collaborative functions using simple language; for example, affirming (such as ‘yes’ and ‘good’), disagreeing (such as ‘no’ and ‘no good’) and staging (such as ‘next’ and ‘okay’)"
English,English as an Additional Language,Level C1,Listening and Speaking,Plurilingual and cultural strategies,VC2EALC1L15,Listen and speak appropriately during small-group interactions,,"Using a home language to help learning, for example by taking notes or writing down key vocabulary"
English,English as an Additional Language,Level C1,Reading and Viewing,Communication,VC2EALC1R01,"Understand the main themes or ideas of familiar and unfamiliar texts, with teacher support",,"Reading a narrow range of familiar text types such as simple recount, narrative and procedure"
English,English as an Additional Language,Level C1,Reading and Viewing,Communication,VC2EALC1R01,"Understand the main themes or ideas of familiar and unfamiliar texts, with teacher support",,"Understanding classroom labels, such as those on lockers or desks, and signs around the school, such as ‘front office’ and ‘toilets’"
English,English as an Additional Language,Level C1,Reading and Viewing,Communication,VC2EALC1R01,"Understand the main themes or ideas of familiar and unfamiliar texts, with teacher support",,"Understanding the main ideas in a range of familiar and unfamiliar texts, for example in their own writing, peers’ writing and the teacher’s writing"
English,English as an Additional Language,Level C1,Reading and Viewing,Communication,VC2EALC1R01,"Understand the main themes or ideas of familiar and unfamiliar texts, with teacher support",,Applying subject knowledge and understanding of common or learnt vocabulary to understand the main meaning of a short text
English,English as an Additional Language,Level C1,Reading and Viewing,Communication,VC2EALC1R02,"Extract specific information from a range of simple texts based on predictable language structures and vocabulary, with teacher support",,"Following print instructions to conduct a simple task or experiment, for example in a science lesson on magnets"
English,English as an Additional Language,Level C1,Reading and Viewing,Communication,VC2EALC1R02,"Extract specific information from a range of simple texts based on predictable language structures and vocabulary, with teacher support",,"Understanding key words in questions or instructions, and matching these to illustrations"
English,English as an Additional Language,Level C1,Reading and Viewing,Communication,VC2EALC1R02,"Extract specific information from a range of simple texts based on predictable language structures and vocabulary, with teacher support",,Finding information in a digital text by following hyperlinks and headings
English,English as an Additional Language,Level C1,Reading and Viewing,Communication,VC2EALC1R02,"Extract specific information from a range of simple texts based on predictable language structures and vocabulary, with teacher support",,Dramatising or drawing parts of a story
English,English as an Additional Language,Level C1,Reading and Viewing,Communication,VC2EALC1R02,"Extract specific information from a range of simple texts based on predictable language structures and vocabulary, with teacher support",,Answering simple or ‘true or false’ questions or sequencing information
English,English as an Additional Language,Level C1,Reading and Viewing,Communication,VC2EALC1R02,"Extract specific information from a range of simple texts based on predictable language structures and vocabulary, with teacher support",,Summarising key points or representing information in a visual form
English,English as an Additional Language,Level C1,Reading and Viewing,Communication,VC2EALC1R03,"Extract specific information from simple charts, tables or maps, with teacher support",,Locating city or country names on a map
English,English as an Additional Language,Level C1,Reading and Viewing,Communication,VC2EALC1R03,"Extract specific information from simple charts, tables or maps, with teacher support",,Identifying information in a cell of a table by using row and column headings
English,English as an Additional Language,Level C1,Reading and Viewing,Communication,VC2EALC1R03,"Extract specific information from simple charts, tables or maps, with teacher support",,Pointing to and reading out the names of features on a labelled diagram
English,English as an Additional Language,Level C1,Reading and Viewing,Communication,VC2EALC1R04,"Use contextual cues to work out the literal meaning of unfamiliar words in a simple text, with teacher support",,"Using information in a text, such as images or descriptions, to deduce meanings"
English,English as an Additional Language,Level C1,Reading and Viewing,Communication,VC2EALC1R04,"Use contextual cues to work out the literal meaning of unfamiliar words in a simple text, with teacher support",,Using background or content knowledge to deduce meanings of words or phrases
English,English as an Additional Language,Level C1,Reading and Viewing,Text structures and linguistic features,VC2EALC1R05,Use organisational and visual elements to suggest the content of a text,,Categorising texts as either fiction or non-fiction
English,English as an Additional Language,Level C1,Reading and Viewing,Text structures and linguistic features,VC2EALC1R05,Use organisational and visual elements to suggest the content of a text,,"Suggesting the purpose and audience of a range of common news media texts such as websites, news reports, opinion columns and persuasive letters"
English,English as an Additional Language,Level C1,Reading and Viewing,Text structures and linguistic features,VC2EALC1R05,Use organisational and visual elements to suggest the content of a text,,"Recognising the function of features of an instructional text such as a title, illustrations and imperative verbs"
English,English as an Additional Language,Level C1,Reading and Viewing,Text structures and linguistic features,VC2EALC1R05,Use organisational and visual elements to suggest the content of a text,,"Referring to visuals such as text titles, supporting pictures, graphs and charts to predict and locate content in a text"
English,English as an Additional Language,Level C1,Reading and Viewing,Text structures and linguistic features,VC2EALC1R05,Use organisational and visual elements to suggest the content of a text,,"Using organisational or visual features to preview or summarise a studied text; for example, constructing a simple dot-point list or mind map"
English,English as an Additional Language,Level C1,Reading and Viewing,Text structures and linguistic features,VC2EALC1R05,Use organisational and visual elements to suggest the content of a text,,"Using organisational features such as layout, illustrations and headings to find information in texts"
English,English as an Additional Language,Level C1,Reading and Viewing,Text structures and linguistic features,VC2EALC1R06,Identify what is being referred to by simple cohesive devices in a simple text,,Understanding common coordinating conjunctions (such as ‘and’ and ‘but’) and subordinating conjunctions (such as ‘as’ and ‘when’)
English,English as an Additional Language,Level C1,Reading and Viewing,Text structures and linguistic features,VC2EALC1R06,Identify what is being referred to by simple cohesive devices in a simple text,,"Matching cohesive devices (such as ‘this’, ‘that’ and ‘those’) to the items they refer to"
English,English as an Additional Language,Level C1,Reading and Viewing,Text structures and linguistic features,VC2EALC1R07,Recognise basic sentence and question patterns,,Ordering words and phrases to create grammatical and logical sentences and questions
English,English as an Additional Language,Level C1,Reading and Viewing,Text structures and linguistic features,VC2EALC1R07,Recognise basic sentence and question patterns,,"Pointing out the subject, verb and object in sentences, for example in ‘She bought some fruit.’"
English,English as an Additional Language,Level C1,Reading and Viewing,Text structures and linguistic features,VC2EALC1R07,Recognise basic sentence and question patterns,,"Identifying question stems such as ‘Who’, ‘What’ and ‘Why’"
English,English as an Additional Language,Level C1,Reading and Viewing,Text structures and linguistic features,VC2EALC1R08,Recognise common imperatives,,"Recognising and following classroom instructions containing familiar imperatives such as ‘read’, ‘answer’, ‘find out’ and ‘complete’"
English,English as an Additional Language,Level C1,Reading and Viewing,Text structures and linguistic features,VC2EALC1R08,Recognise common imperatives,,"Following simple sets of instructions, for example when asked ‘Read page one. Answer the set question.’"
English,English as an Additional Language,Level C1,Reading and Viewing,Text structures and linguistic features,VC2EALC1R09,Understand simple descriptive language within sentences,,Understanding simple noun groups with adjectives (such as in ‘the small chair’) and/or simple possessive pronouns (such as in ‘my brother’s bag’)
English,English as an Additional Language,Level C1,Reading and Viewing,Text structures and linguistic features,VC2EALC1R09,Understand simple descriptive language within sentences,,Understanding describers and classifiers in short noun groups such as ‘small animals’ and ‘wild animals’
English,English as an Additional Language,Level C1,Reading and Viewing,Text structures and linguistic features,VC2EALC1R09,Understand simple descriptive language within sentences,,"Recognising common prepositions indicating time and place such as ‘in’, ‘on’ and ‘at’"
English,English as an Additional Language,Level C1,Reading and Viewing,Text structures and linguistic features,VC2EALC1R10,"Recognise words for everyday items and actions, and topic-specific vocabulary that has been taught",,Recognising in an unfamiliar text the topic-specific vocabulary that has been taught
English,English as an Additional Language,Level C1,Reading and Viewing,Text structures and linguistic features,VC2EALC1R10,"Recognise words for everyday items and actions, and topic-specific vocabulary that has been taught",,Identifying topic-specific words in environmental print examples in the classroom
English,English as an Additional Language,Level C1,Reading and Viewing,Text structures and linguistic features,VC2EALC1R10,"Recognise words for everyday items and actions, and topic-specific vocabulary that has been taught",,"Recognising words commonly used in classroom speech when they are printed in other contexts, for example on signs, on notices and in classroom texts"
English,English as an Additional Language,Level C1,Reading and Viewing,Text structures and linguistic features,VC2EALC1R11,"Pronounce a range of words comprehensibly when reading aloud, based on knowledge of vocabulary and phoneme–grapheme correspondences",,Pronouncing basic vocabulary or phrases accurately and reading them fluently
English,English as an Additional Language,Level C1,Reading and Viewing,Text structures and linguistic features,VC2EALC1R11,"Pronounce a range of words comprehensibly when reading aloud, based on knowledge of vocabulary and phoneme–grapheme correspondences",,Sounding out syllables and phonemes (the smallest units of sound in words) when reading unfamiliar words
English,English as an Additional Language,Level C1,Reading and Viewing,Text structures and linguistic features,VC2EALC1R11,"Pronounce a range of words comprehensibly when reading aloud, based on knowledge of vocabulary and phoneme–grapheme correspondences",,Applying knowledge of phoneme–grapheme correspondences and familiar letter patterns to predict pronunciation
English,English as an Additional Language,Level C1,Reading and Viewing,Text structures and linguistic features,VC2EALC1R11,"Pronounce a range of words comprehensibly when reading aloud, based on knowledge of vocabulary and phoneme–grapheme correspondences",,Applying knowledge of less common sounds and words with similar letter patterns to alter pronunciation when reading aloud
English,English as an Additional Language,Level C1,Reading and Viewing,Text structures and linguistic features,VC2EALC1R11,"Pronounce a range of words comprehensibly when reading aloud, based on knowledge of vocabulary and phoneme–grapheme correspondences",,Reading words with digraphs in which one letter is not pronounced (such as in ‘knife’ and ‘thumb’) and using them in writing
English,English as an Additional Language,Level C1,Reading and Viewing,Text structures and linguistic features,VC2EALC1R11,"Pronounce a range of words comprehensibly when reading aloud, based on knowledge of vocabulary and phoneme–grapheme correspondences",,"Reading words with vowel digraphs (‘ee’, ‘oo’, ‘ai’, ‘ay’ and ‘ea’)"
English,English as an Additional Language,Level C1,Reading and Viewing,Text structures and linguistic features,VC2EALC1R11,"Pronounce a range of words comprehensibly when reading aloud, based on knowledge of vocabulary and phoneme–grapheme correspondences",,Using context to read the correct word when an unfamiliar word has more than one plausible pronunciation
English,English as an Additional Language,Level C1,Reading and Viewing,Text structures and linguistic features,VC2EALC1R12,Understand simple punctuation when reading,,"Using punctuation to identify the nature of sentences; for example, identifying statements by full stops and questions by question marks"
English,English as an Additional Language,Level C1,Reading and Viewing,Text structures and linguistic features,VC2EALC1R12,Understand simple punctuation when reading,,"Using punctuation to identify parts of a sentence, for example by pausing appropriately at full stops and commas"
English,English as an Additional Language,Level C1,Reading and Viewing,Plurilingual and cultural strategies,VC2EALC1R13,Identify differences in texts in English compared to home language(s),,"Comparing the purpose, structure and language of cultural texts; for example, comparing a folk story in a home language to a folk story from another culture"
English,English as an Additional Language,Level C1,Reading and Viewing,Plurilingual and cultural strategies,VC2EALC1R13,Identify differences in texts in English compared to home language(s),,"Comparing the structure and conventions of texts used in the classroom to texts in other languages, for example for stories in 2 languages"
English,English as an Additional Language,Level C1,Reading and Viewing,Plurilingual and cultural strategies,VC2EALC1R14,"Select suitable books to read, with teacher support",,"Skimming part of a book before selecting, to check for familiar language and ideas, illustrations and amount of print"
English,English as an Additional Language,Level C1,Reading and Viewing,Plurilingual and cultural strategies,VC2EALC1R14,"Select suitable books to read, with teacher support",,"Comparing books with those previously read, to predict the suitability of topic, language, length and structure"
English,English as an Additional Language,Level C1,Reading and Viewing,Plurilingual and cultural strategies,VC2EALC1R15,Draw on a range of home language resources when reading and viewing,,Writing notes in a home language about meaning and pronunciation when encountering unfamiliar words in texts
English,English as an Additional Language,Level C1,Reading and Viewing,Plurilingual and cultural strategies,VC2EALC1R15,Draw on a range of home language resources when reading and viewing,,"Using a bilingual dictionary to find translations of unfamiliar words, and noting these in a home language and English"
English,English as an Additional Language,Level C1,Reading and Viewing,Plurilingual and cultural strategies,VC2EALC1R15,Draw on a range of home language resources when reading and viewing,,Requesting help from peers or school staff who speak the same home language to find the meanings of unfamiliar words
English,English as an Additional Language,Level C1,Reading and Viewing,Plurilingual and cultural strategies,VC2EALC1R15,Draw on a range of home language resources when reading and viewing,,"Recording spellings, meanings and translations of unfamiliar words in a personal vocabulary list"
English,English as an Additional Language,Level C1,Reading and Viewing,Plurilingual and cultural strategies,VC2EALC1R16,Participate in teacher-led reading activities,,Following simple print texts that are read aloud at a moderate pace
English,English as an Additional Language,Level C1,Reading and Viewing,Plurilingual and cultural strategies,VC2EALC1R16,Participate in teacher-led reading activities,,"Expressing a personal response to a text (e.g. indicating enjoyment, satisfaction, agreement or disagreement) and giving simple reasons"
English,English as an Additional Language,Level C1,Reading and Viewing,Plurilingual and cultural strategies,VC2EALC1R16,Participate in teacher-led reading activities,,Comparing events from a text with personal experience
English,English as an Additional Language,Level C1,Reading and Viewing,Plurilingual and cultural strategies,VC2EALC1R16,Participate in teacher-led reading activities,,"Transforming part of a text into an unfamiliar text type; for example, creating an illustration or poem from a story"
English,English as an Additional Language,Level C1,Writing,Communication,VC2EALC1W01,"Write short, simple texts for various social purposes, with teacher support",,"Writing a narrow range of short texts for various social purposes related to familiar experiences; for example, composing a ‘thank you’ text message or email"
English,English as an Additional Language,Level C1,Writing,Communication,VC2EALC1W01,"Write short, simple texts for various social purposes, with teacher support",,Using model texts and templates to structure texts appropriately
English,English as an Additional Language,Level C1,Writing,Communication,VC2EALC1W01,"Write short, simple texts for various social purposes, with teacher support",,Incorporating some formulaic expressions copied from model texts (such as ‘Dear …’ and ‘Once upon a time’) into their own writing
English,English as an Additional Language,Level C1,Writing,Communication,VC2EALC1W02,"Write short information texts on familiar content, consisting of simple sentences or statements approximating sentences",,"Writing a narrow range of short school-based text types such as descriptive, instructional and procedural texts"
English,English as an Additional Language,Level C1,Writing,Communication,VC2EALC1W02,"Write short information texts on familiar content, consisting of simple sentences or statements approximating sentences",,"Following an appropriate structure for a text, using model texts or templates for support"
English,English as an Additional Language,Level C1,Writing,Communication,VC2EALC1W03,"Write to communicate personal ideas, with teacher support",,"Writing a narrow range of texts to communicate personal experiences and ideas, such as personal recounts and stories"
English,English as an Additional Language,Level C1,Writing,Communication,VC2EALC1W03,"Write to communicate personal ideas, with teacher support",,Following the structure of model texts such as a greeting or sequence of events
English,English as an Additional Language,Level C1,Writing,Communication,VC2EALC1W04,Label images using vocabulary learnt or practised in class,,Labelling parts of a familiar diagram
English,English as an Additional Language,Level C1,Writing,Communication,VC2EALC1W04,Label images using vocabulary learnt or practised in class,,Matching vocabulary from a list to items in an image or features on a map
English,English as an Additional Language,Level C1,Writing,Text structures and linguistic features,VC2EALC1W05,Organise subject matter and attempt to use the structure of a specified text type,,"Structuring simple stories; for example, including a beginning, a middle and an end"
English,English as an Additional Language,Level C1,Writing,Text structures and linguistic features,VC2EALC1W05,Organise subject matter and attempt to use the structure of a specified text type,,Writing information under headings or in a template to follow a basic text structure
English,English as an Additional Language,Level C1,Writing,Text structures and linguistic features,VC2EALC1W05,Organise subject matter and attempt to use the structure of a specified text type,,Sorting jumbled sentences into groups or short paragraphs based on related topics
English,English as an Additional Language,Level C1,Writing,Text structures and linguistic features,VC2EALC1W05,Organise subject matter and attempt to use the structure of a specified text type,,"Grouping related information and sentences to create a basic paragraph, although ideas may not be sequenced clearly within the paragraph"
English,English as an Additional Language,Level C1,Writing,Text structures and linguistic features,VC2EALC1W05,Organise subject matter and attempt to use the structure of a specified text type,,"Writing a topic sentence making a statement about a key idea, for example ‘Cars are bad for the environment.’"
English,English as an Additional Language,Level C1,Writing,Text structures and linguistic features,VC2EALC1W06,Use simple cohesive devices to structure writing,,Using common time and sequence markers to link and sequence ideas such as ‘Yesterday we …’ and ‘First we … Then … And then …’
English,English as an Additional Language,Level C1,Writing,Text structures and linguistic features,VC2EALC1W06,Use simple cohesive devices to structure writing,,"Including a narrow range of coordinating conjunctions such as ‘and’ and ‘but’, for example in ‘I caught a bus and then I walked.’"
English,English as an Additional Language,Level C1,Writing,Text structures and linguistic features,VC2EALC1W06,Use simple cohesive devices to structure writing,,"Experimenting with some common subordinating conjunctions such as ‘as’, ‘when’ and ‘until’"
English,English as an Additional Language,Level C1,Writing,Text structures and linguistic features,VC2EALC1W06,Use simple cohesive devices to structure writing,,"Employing pronouns to maintain cohesion and avoid repetition, for example in ‘Mary came to school early. She felt very tired.’"
English,English as an Additional Language,Level C1,Writing,Text structures and linguistic features,VC2EALC1W07,"Use single clauses, or use simple coordinating and subordinating conjunctions to combine clauses",,"Constructing basic sentences using single words for subjects, verbs and objects in the correct order, for example ‘I learn English.’ and ‘Yesterday, we watched movies.’"
English,English as an Additional Language,Level C1,Writing,Text structures and linguistic features,VC2EALC1W07,"Use single clauses, or use simple coordinating and subordinating conjunctions to combine clauses",,"Using noun–pronoun agreement, for example in ‘I like apples.’, with varying accuracy"
English,English as an Additional Language,Level C1,Writing,Text structures and linguistic features,VC2EALC1W07,"Use single clauses, or use simple coordinating and subordinating conjunctions to combine clauses",,"Constructing compound sentences with a range of coordinating conjunctions such as ‘and’ and ‘but’, for example ‘They knocked on door but nobody answered.’"
English,English as an Additional Language,Level C1,Writing,Text structures and linguistic features,VC2EALC1W07,"Use single clauses, or use simple coordinating and subordinating conjunctions to combine clauses",,"Constructing complex sentences using some common subordinating conjunctions such as ‘as’, ‘when’ and ‘until’, for example ‘When they arrived, they knocked on door.’"
English,English as an Additional Language,Level C1,Writing,Text structures and linguistic features,VC2EALC1W08,Experiment with different tenses and use some common irregular past tense verbs correctly,,"Using a small number of common irregular past tense verbs accurately such as ‘went’, ‘bought’ and ‘woke’"
English,English as an Additional Language,Level C1,Writing,Text structures and linguistic features,VC2EALC1W08,Experiment with different tenses and use some common irregular past tense verbs correctly,,"Matching simple present and past tense verbs to time words, for example in ‘Today I have …’, ‘Last week we went …’ and ‘They always sit …’"
